"TOA5","CR6Series_BVRplatform","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_20201005_3_bjorn.CR6","8305","BVRplatform"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-03-08 12:00:00",22176,14.26,13.44,11.46807,10.95953,4.124444,6.64776,6.219507,8.699274,4.706598,6.918878,5.262018,16.69177,16.71627,17.88149,6.275506,"NAN","NAN","NAN","NAN","NAN","NAN",210308,125729,7.035,0.04,0.07,0.04,99.66,12.09,-0.01,0,0.46,0.48,-0.25,-0.72,1.08,0.758,4.37,12.81,1.18,-0.0099703,8.156099
"2021-03-08 12:10:00",22177,14.28,14.02,14.1191,11.66149,5.199487,10.48599,8.214869,13.80453,6.279291,11.74963,7.113977,18.11892,20.78604,20.30374,8.237665,"NAN","NAN","NAN","NAN","NAN","NAN",210308,130724,8.973,0.05,0.07,0.04,99.15,11.47,0.03,0.15,0.79,0.82,-0.22,-0.63,0.96,0.675,4.37,12.81,1.18,"NAN","NAN"
"2021-03-08 12:20:00",22178,14.26,14.29,15.08843,15.17285,8.046686,15.6647,9.670221,17.2051,17.50042,12.71795,18.56646,29.35024,10.87591,11.70159,8.906183,"NAN","NAN","NAN","NAN","NAN","NAN",210308,131724,6.067,16.39,25.68,16.69,106.34,13.21,0.76,3.1,0.29,0.32,3.99,12,2.56,1.803,4.37,12.78,1.18,"NAN","NAN"
"2021-03-08 12:30:00",22179,14.24,14.43,14.80114,11.61907,6.279199,6.251611,6.21618,6.299646,6.471307,6.487939,6.297876,6.293817,6.041131,5.796686,5.735193,12.59303,105.8217,7.802353,12.38794,101.0656,6.610123,210308,132725,6.098,16.33,25.56,16.61,106.29,13.2,0.68,2.75,0.23,0.26,3.15,9.47,3.01,2.118,4.37,12.8,1.18,"NAN","NAN"
"2021-03-08 12:40:00",22180,14.24,14.54,13.90801,14.35873,6.578607,6.395135,6.559137,6.71911,6.140985,6.468561,6.200525,5.998102,6.158533,5.802026,5.874383,13.04482,107.686,7.082146,12.59141,102.5472,6.540939,210308,133725,6.14,16.37,25.59,16.63,106.42,13.2,1,4.03,0.48,0.51,3.07,9.25,3.25,2.291,4.37,12.79,1.19,"NAN","NAN"
"2021-03-08 12:50:00",22181,14.24,14.71,14.59323,16.36047,6.265893,6.052362,5.943933,5.833276,5.712671,5.66369,5.571832,5.692926,5.533899,5.531763,5.493616,13.43774,108.2124,6.093475,12.77756,102.0227,5.75779,210308,134725,8.83,0.06,0.09,0.06,101,11.73,-0.01,0.01,0.51,0.53,-0.26,-0.75,1.05,0.736,4.37,12.81,1.18,"NAN","NAN"
"2021-03-08 13:00:00",22182,14.2,15.19,12.68652,13.84036,6.325555,6.138025,5.961694,5.839319,5.730005,5.686914,5.524377,5.542779,5.501489,5.513696,5.486017,13.52631,108.6722,6.001533,12.85816,102.3289,5.6287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN"
"2021-03-08 13:10:00",22183,14.21,15.25,14.03494,15.19277,6.404779,6.264764,6.008722,5.881708,5.834192,5.704248,5.520074,5.50094,5.499353,5.514612,5.474267,13.5434,108.8092,6.001373,12.87951,102.4152,5.596733,210308,130800,6.32,15.53,24.15,15.7,104.53,12.91,0.41,1.69,0.26,0.28,2.94,8.85,2.38,1.674,4.33,12.72,1.17,15.67085,5.548017
