"TOA5","CR6_BVR","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_20200813_bjorn.CR6","7440","TempTest"
"TIMESTAMP","RECORD","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","ModbusReadTime"
"TS","RN","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-08-17 10:20:00",0,24.99,23.42,21.12,21.91,21.03,20.69,20.49,19.67,19.5,19.45,0,18.94,18.94,7791
"2020-08-17 10:24:00",1,25.04,23.35,21.49,21.9,21.3,21.17,20.95,20.27,20,19.92,20.48,19.88,20.26,6771
"2020-08-17 10:26:00",2,25.1,23.45,21.19,21.73,21.05,21.05,21.16,20.22,20.22,20.03,20.4,20.15,20.29,6772
"2020-08-17 10:40:00",3,25.87,24.19,21.01,21.26,21.08,21.64,21.34,20.6,20.73,21.12,22.2,21.8,21.71,6772
"2020-08-17 10:42:00",4,25.31,23.98,21.15,21.54,21.36,21.86,21.41,20.76,20.81,21.53,22.36,22.04,21.78,6772
"2020-08-17 10:44:00",5,25.65,24.29,21.18,21.44,21.64,21.88,21.33,20.84,20.83,22.01,22.62,22.38,21.91,6772
"2020-08-17 10:46:00",6,25.65,24.34,20.98,21.59,22.13,21.99,21.17,20.64,20.76,22.47,22.97,22.61,21.9,6773
"2020-08-17 10:56:00",7,25.93,24.62,21.8,22.57,24.33,22.9,21.86,22.43,21.7,23.81,24.69,24.78,22.63,6774
"2020-08-17 11:00:00",8,26.35,25.29,21.47,22.32,23.65,22.66,21.38,22.42,21.37,23.47,24.17,24.3,22.78,6773
"2020-08-17 11:02:00",9,25.73,24.65,21.6,22.24,23.41,22.73,21.58,22.55,21.7,23.38,23.95,24.3,22.81,6774
"2020-08-17 11:04:00",10,26.48,25.85,25.09,24.76,24.8,24.35,17.71,15.39,13.89,12.47,10.89,10.38,10.44,6774
"2020-08-17 11:06:00",11,27.47,27.65,25.16,24.87,24.81,24.34,17.52,15.28,13.53,12.32,11.35,10.71,10.33,6773
"2020-08-17 11:08:00",12,28.51,29.82,25.22,24.99,24.83,24.26,17.44,15.01,13.48,12.21,10.86,10.44,10.29,6773
"2020-08-17 10:20:00",0,24.99,23.42,21.12,21.91,21.03,20.69,20.49,19.67,19.5,19.45,0,18.94,18.94,7791
"2020-08-17 10:24:00",1,25.04,23.35,21.49,21.9,21.3,21.17,20.95,20.27,20,19.92,20.48,19.88,20.26,6771
"2020-08-17 10:26:00",2,25.1,23.45,21.19,21.73,21.05,21.05,21.16,20.22,20.22,20.03,20.4,20.15,20.29,6772
"2020-08-17 10:40:00",3,25.87,24.19,21.01,21.26,21.08,21.64,21.34,20.6,20.73,21.12,22.2,21.8,21.71,6772
"2020-08-17 10:42:00",4,25.31,23.98,21.15,21.54,21.36,21.86,21.41,20.76,20.81,21.53,22.36,22.04,21.78,6772
"2020-08-17 10:44:00",5,25.65,24.29,21.18,21.44,21.64,21.88,21.33,20.84,20.83,22.01,22.62,22.38,21.91,6772
"2020-08-17 10:46:00",6,25.65,24.34,20.98,21.59,22.13,21.99,21.17,20.64,20.76,22.47,22.97,22.61,21.9,6773
"2020-08-17 10:56:00",7,25.93,24.62,21.8,22.57,24.33,22.9,21.86,22.43,21.7,23.81,24.69,24.78,22.63,6774
"2020-08-17 11:00:00",8,26.35,25.29,21.47,22.32,23.65,22.66,21.38,22.42,21.37,23.47,24.17,24.3,22.78,6773
"2020-08-17 11:02:00",9,25.73,24.65,21.6,22.24,23.41,22.73,21.58,22.55,21.7,23.38,23.95,24.3,22.81,6774
"2020-08-17 11:04:00",10,26.48,25.85,25.09,24.76,24.8,24.35,17.71,15.39,13.89,12.47,10.89,10.38,10.44,6774
"2020-08-17 11:06:00",11,27.47,27.65,25.16,24.87,24.81,24.34,17.52,15.28,13.53,12.32,11.35,10.71,10.33,6773
"2020-08-17 11:08:00",12,28.51,29.82,25.22,24.99,24.83,24.26,17.44,15.01,13.48,12.21,10.86,10.44,10.29,6773
