"TOA5","CR6_BVR","CR6","13030","CR6.Std.10.01 CR6-WIFI.05","CPU:BVR_Platform_20200625_realtimetemp.CR6","18883","BVRplatform"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-06-25 13:30:00",0,13.87,29.11,30.95754,29.44723,30.86169,28.40325,25.1986,24.35916,28.98644,26.34728,26.50207,26.78146,0,0,31.58901,7.637065,91.02678,24.17671,7.639048,90.39836,23.79228,200625,142821,21.153,22.46,24.24,15.75,134.25,11.93,1.06,4.27,0.07,0.09,5.13,15.42,2.34,1.649,4.16,12.62,1.18,0.0034623,28.23115
"2020-06-25 13:40:00",1,14.04,28.93,36.56051,35.27758,37.48229,32.31268,28.35314,25.87387,35.32833,29.47717,28.52987,29.02694,30.77133,32.61395,33.0209,7.430842,93.48372,27.1342,7.767276,94.65252,25.37496,200625,143801,21.159,22.47,24.25,15.76,134.61,11.96,1.04,4.23,0.08,0.11,5.13,15.43,2.35,1.657,4.19,12.58,1.18,0.0028178,30.82273
"2020-06-25 13:50:00",2,14.03,28.92,25.93066,25.41897,24.92886,20.98553,18.7922,17.30578,15.71264,14.33361,13.35211,12.47973,30.77133,32.61395,33.0209,6.935261,74.37724,18.74255,0.339875,3.277776,13.7218,200625,144755,21.226,22.53,24.28,15.78,134.81,11.97,1.03,4.18,0.06,0.08,5.1,15.32,2.36,1.666,4.2,12.58,1.19,16.99827,10.18197
"2020-06-25 14:00:00",3,14.02,29.11,25.46917,25.35613,24.57784,20.44833,18.59069,16.81561,15.02133,13.59344,12.81802,11.72952,30.77133,32.61395,33.0209,7.004236,73.06096,17.38891,0.180466,1.630894,10.85006,200625,145755,21.195,22.46,24.22,15.75,134.66,11.96,1.07,4.34,0.08,0.1,5.12,15.4,2.37,1.674,4.21,12.58,1.18,16.9994,9.495551
"2020-06-25 14:10:00",4,13.86,29.38,25.72079,25.37103,24.454,20.3796,18.61968,16.8132,14.75884,13.42361,12.5061,11.56606,30.77133,32.61395,33.0209,7.010234,72.6454,17.07345,0.187775,1.660357,9.91886,200625,150755,21.145,22.49,24.28,15.78,135.25,12.02,0.96,3.89,0.11,0.13,5.14,15.46,2.38,1.681,4.21,12.41,1.18,16.99849,9.44512
"2020-06-25 14:20:00",5,13.85,29.51,25.46713,25.10037,24.44631,20.40362,18.56475,16.8254,14.80667,13.32891,12.36163,11.56768,30.77133,32.61395,33.0209,7.029979,72.68363,16.96382,0.102222,0.897807,9.63418,200625,151755,21.137,22.47,24.26,15.77,134.86,11.99,1.04,4.21,0.1,0.12,5.13,15.43,2.39,1.689,4.22,12.39,1.17,16.99904,9.453826
"2020-06-25 14:30:00",6,13.84,29.61,25.31381,24.92813,24.14764,20.41335,18.43838,16.85537,14.73757,13.31481,12.33209,11.55953,30.77133,32.61395,33.0209,7.151786,73.96968,16.9811,0.076531,0.670619,9.53724,200625,152755,21.219,22.52,24.27,15.78,135.82,12.06,1.31,5.29,0.12,0.14,5.15,15.49,2.4,1.694,4.22,12.39,1.18,17.00005,9.461988
"2020-06-25 14:40:00",7,13.84,29.82,25.25866,24.82318,23.7015,20.46069,18.45126,16.87954,14.61178,13.30288,12.3644,11.49081,30.77133,32.61395,33.0209,7.117555,73.58908,16.96382,0.03957,0.346167,9.46791,200625,153755,21.224,22.52,24.27,15.77,136.03,12.07,0.84,3.39,0.07,0.09,5.17,15.53,2.41,1.7,4.23,12.38,1.18,16.99967,9.430612
