MiniDOT Logger Concatenated Data File
Sensor:             7392-024261
Concatenation Date: 2020Mar16 12:54:09 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1575664500,           2019-12-06 20:35:00,           2019-12-06 15:35:00,      3.330000,      7.293000,         11.292000,                    93.704678,      0.993000
                1575665100,           2019-12-06 20:45:00,           2019-12-06 15:45:00,      3.340000,      7.655000,         11.259000,                    94.269240,      0.995000
                1575665700,           2019-12-06 20:55:00,           2019-12-06 15:55:00,      3.350000,      5.741000,         11.456000,                    91.431165,      0.988000
                1575666300,           2019-12-06 21:05:00,           2019-12-06 16:05:00,      3.350000,      5.167000,         11.587000,                    91.127049,      0.990000
                1575666900,           2019-12-06 21:15:00,           2019-12-06 16:15:00,      3.350000,      5.038000,         11.634000,                    91.192905,      0.992000
                1575667500,           2019-12-06 21:25:00,           2019-12-06 16:25:00,      3.350000,      4.998000,         11.555000,                    90.480166,      0.993000
                1575668100,           2019-12-06 21:35:00,           2019-12-06 16:35:00,      3.350000,      4.968000,         11.552000,                    90.386587,      0.993000
                1575668700,           2019-12-06 21:45:00,           2019-12-06 16:45:00,      3.350000,      4.988000,         11.568000,                    90.558565,      0.993000
                1575669300,           2019-12-06 21:55:00,           2019-12-06 16:55:00,      3.350000,      4.968000,         11.545000,                    90.331817,      0.993000
                1575669900,           2019-12-06 22:05:00,           2019-12-06 17:05:00,      3.350000,      5.018000,         11.572000,                    90.660097,      0.994000
                1575670500,           2019-12-06 22:15:00,           2019-12-06 17:15:00,      3.360000,      5.008000,         11.598000,                    90.840332,      0.994000
                1575671100,           2019-12-06 22:25:00,           2019-12-06 17:25:00,      3.360000,      5.008000,         11.526000,                    90.276398,      0.992000
                1575671700,           2019-12-06 22:35:00,           2019-12-06 17:35:00,      3.360000,      5.008000,         11.553000,                    90.487873,      0.992000
                1575672300,           2019-12-06 22:45:00,           2019-12-06 17:45:00,      3.360000,      5.038000,         11.608000,                    90.989104,      0.994000
                1575672900,           2019-12-06 22:55:00,           2019-12-06 17:55:00,      3.360000,      5.018000,         11.557000,                    90.542581,      0.993000
                1575673500,           2019-12-06 23:05:00,           2019-12-06 18:05:00,      3.360000,      5.048000,         11.566000,                    90.683289,      0.994000
                1575674100,           2019-12-06 23:15:00,           2019-12-06 18:15:00,      3.360000,      5.038000,         11.522000,                    90.314995,      0.992000
                1575674700,           2019-12-06 23:25:00,           2019-12-06 18:25:00,      3.360000,      5.048000,         11.560000,                    90.636246,      0.993000
