"Plot Title: hobo46"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10789315, SEN S/N: 10789315)","Coupler Attached (LGR S/N: 10789315)","Coupler Detached (LGR S/N: 10789315)","Host Connected (LGR S/N: 10789315)","End Of File (LGR S/N: 10789315)"
1,06/20/19 02:00:00 PM,37.604,,,,
2,06/20/19 02:10:00 PM,34.796,,,,
3,06/20/19 02:20:00 PM,32.291,,,,
4,06/20/19 02:30:00 PM,30.356,,,,
5,06/20/19 02:40:00 PM,29.552,,,,
6,06/20/19 02:50:00 PM,29.152,,,,
7,06/20/19 03:00:00 PM,27.961,,,,
8,06/20/19 03:10:00 PM,27.665,,,,
9,06/20/19 03:20:00 PM,27.567,,,,
10,06/20/19 03:30:00 PM,27.173,,,,
11,06/20/19 03:40:00 PM,27.173,,,,
12,06/20/19 03:50:00 PM,27.075,,,,
13,06/20/19 04:00:00 PM,26.977,,,,
14,06/20/19 04:10:00 PM,26.977,,,,
15,06/20/19 04:20:00 PM,28.060,,,,
16,06/20/19 04:30:00 PM,29.152,,,,
17,06/20/19 04:40:00 PM,30.356,,,,
18,06/20/19 04:50:00 PM,30.356,,,,
19,06/20/19 05:00:00 PM,28.357,,,,
20,06/20/19 05:10:00 PM,24.931,,,,
21,06/20/19 05:20:00 PM,24.545,,,,
22,06/20/19 05:30:00 PM,24.255,,,,
23,06/20/19 05:40:00 PM,24.062,,,,
24,06/20/19 05:50:00 PM,23.869,,,,
25,06/20/19 06:00:00 PM,23.773,,,,
26,06/20/19 06:10:00 PM,23.581,,,,
27,06/20/19 06:20:00 PM,23.484,,,,
28,06/20/19 06:30:00 PM,23.388,,,,
29,06/20/19 06:40:00 PM,23.388,,,,
30,06/20/19 06:50:00 PM,23.292,,,,
31,06/20/19 07:00:00 PM,23.196,,,,
32,06/20/19 07:10:00 PM,23.196,,,,
33,06/20/19 07:20:00 PM,23.100,,,,
34,06/20/19 07:30:00 PM,23.004,,,,
35,06/20/19 07:40:00 PM,23.004,,,,
36,06/20/19 07:50:00 PM,23.004,,,,
37,06/20/19 08:00:00 PM,22.908,,,,
