"Plot Title: hobo18"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10789313, SEN S/N: 10789313)","Host Connected (LGR S/N: 10789313)","Coupler Attached (LGR S/N: 10789313)","End Of File (LGR S/N: 10789313)"
1,06/20/19 02:00:00 PM,35.009,,,
2,06/20/19 02:10:00 PM,33.535,,,
3,06/20/19 02:20:00 PM,32.188,,,
4,06/20/19 02:30:00 PM,30.963,,,
5,06/20/19 02:40:00 PM,30.659,,,
6,06/20/19 02:50:00 PM,30.457,,,
7,06/20/19 03:00:00 PM,30.255,,,
8,06/20/19 03:10:00 PM,30.154,,,
9,06/20/19 03:20:00 PM,30.054,,,
10,06/20/19 03:30:00 PM,29.953,,,
11,06/20/19 03:40:00 PM,29.752,,,
12,06/20/19 03:50:00 PM,29.552,,,
13,06/20/19 04:00:00 PM,29.452,,,
14,06/20/19 04:10:00 PM,29.252,,,
15,06/20/19 04:20:00 PM,28.953,,,
16,06/20/19 04:30:00 PM,29.053,,,
17,06/20/19 04:40:00 PM,29.752,,,
18,06/20/19 04:50:00 PM,30.356,,,
19,06/20/19 05:00:00 PM,29.953,,,
20,06/20/19 05:10:00 PM,27.764,,,
21,06/20/19 05:20:00 PM,26.879,,,
22,06/20/19 05:30:00 PM,26.977,,,
23,06/20/19 05:40:00 PM,26.879,,,
24,06/20/19 05:50:00 PM,26.683,,,
25,06/20/19 06:00:00 PM,26.488,,,
26,06/20/19 06:10:00 PM,26.195,,,
27,06/20/19 06:20:00 PM,26.000,,,
28,06/20/19 06:30:00 PM,25.805,,,
29,06/20/19 06:40:00 PM,25.513,,,
30,06/20/19 06:50:00 PM,25.319,,,
31,06/20/19 07:00:00 PM,25.222,,,
32,06/20/19 07:10:00 PM,25.028,,,
33,06/20/19 07:20:00 PM,24.835,,,
34,06/20/19 07:30:00 PM,24.738,,,
35,06/20/19 07:40:00 PM,24.545,,,
36,06/20/19 07:50:00 PM,24.448,,,
37,06/20/19 08:00:00 PM,24.351,,,
38,06/20/19 08:10:00 PM,24.255,,,
39,06/20/19 08:20:00 PM,24.158,,,
40,06/20/19 08:30:00 PM,24.062,,,
41,06/20/19 08:40:00 PM,23.966,,,
42,06/20/19 08:50:00 PM,23.869,,,
43,06/20/19 09:00:00 PM,23.869,,,
44,06/20/19 09:10:00 PM,23.773,,,
45,06/20/19 09:20:00 PM,23.677,,,
46,06/20/19 09:30:00 PM,23.677,,,
47,06/20/19 09:40:00 PM,23.581,,,
48,06/20/19 09:50:00 PM,23.581,,,
49,06/20/19 10:00:00 PM,23.484,,,
50,06/20/19 10:10:00 PM,23.388,,,
51,06/20/19 10:20:00 PM,23.388,,,
52,06/20/19 10:30:00 PM,23.388,,,
53,06/20/19 10:40:00 PM,23.292,,,
54,06/20/19 10:50:00 PM,23.292,,,
55,06/20/19 11:00:00 PM,23.196,,,
56,06/20/19 11:10:00 PM,23.196,,,
57,06/20/19 11:20:00 PM,23.196,,,
58,06/20/19 11:30:00 PM,23.100,,,
59,06/20/19 11:40:00 PM,23.100,,,
60,06/20/19 11:50:00 PM,23.100,,,
61,06/21/19 12:00:00 AM,23.004,,,
62,06/21/19 12:10:00 AM,23.004,,,
63,06/21/19 12:20:00 AM,23.004,,,
64,06/21/19 12:30:00 AM,23.004,,,
65,06/21/19 12:40:00 AM,23.004,,,
66,06/21/19 12:50:00 AM,22.908,,,
67,06/21/19 01:00:00 AM,22.908,,,
68,06/21/19 01:10:00 AM,22.908,,,
69,06/21/19 01:20:00 AM,22.908,,,
70,06/21/19 01:30:00 AM,22.908,,,
71,06/21/19 01:40:00 AM,22.812,,,
72,06/21/19 01:50:00 AM,22.812,,,
73,06/21/19 02:00:00 AM,22.812,,,
74,06/21/19 02:10:00 AM,22.812,,,
75,06/21/19 02:20:00 AM,22.812,,,
76,06/21/19 02:30:00 AM,22.812,,,
77,06/21/19 02:40:00 AM,22.812,,,
78,06/21/19 02:50:00 AM,22.812,,,
79,06/21/19 03:00:00 AM,22.812,,,
80,06/21/19 03:10:00 AM,22.717,,,
81,06/21/19 03:20:00 AM,22.717,,,
