"Plot Title: hobo23"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10647209, SEN S/N: 10647209)","Host Connected (LGR S/N: 10647209)","Coupler Attached (LGR S/N: 10647209)","Stopped (LGR S/N: 10647209)","End Of File (LGR S/N: 10647209)"
1,05/14/20 12:30:00 PM,23.773,,,,
2,05/14/20 12:40:00 PM,23.773,,,,
3,05/14/20 12:50:00 PM,19.948,,,,
4,05/14/20 01:00:00 PM,26.781,,,,
5,05/14/20 01:10:00 PM,14.134,,,,
6,05/14/20 01:20:00 PM,13.173,,,,
7,05/14/20 01:30:00 PM,12.690,,,,
8,05/14/20 01:40:00 PM,12.594,,,,
9,05/14/20 01:50:00 PM,12.690,,,,
10,05/14/20 02:00:00 PM,12.690,,,,
11,05/14/20 02:10:00 PM,12.690,,,,
12,05/14/20 02:20:00 PM,12.401,,,,
13,05/14/20 02:30:00 PM,12.207,,,,
14,05/14/20 02:40:00 PM,12.207,,,,
15,05/14/20 02:50:00 PM,12.401,,,,
16,05/14/20 03:00:00 PM,12.401,,,,
17,05/14/20 03:10:00 PM,12.401,,,,
18,05/14/20 03:20:00 PM,12.497,,,,
19,05/14/20 03:30:00 PM,12.401,,,,
20,05/14/20 03:40:00 PM,12.401,,,,
21,05/14/20 03:50:00 PM,12.401,,,,
22,05/14/20 04:00:00 PM,12.497,,,,
23,05/14/20 04:10:00 PM,12.497,,,,
24,05/14/20 04:20:00 PM,12.594,,,,
25,05/14/20 04:30:00 PM,12.594,,,,
26,05/14/20 04:40:00 PM,12.690,,,,
27,05/14/20 04:50:00 PM,12.883,,,,
28,05/14/20 05:00:00 PM,12.787,,,,
29,05/14/20 05:10:00 PM,12.690,,,,
30,05/14/20 05:20:00 PM,12.690,,,,
31,05/14/20 05:30:00 PM,12.787,,,,
32,05/14/20 05:40:00 PM,12.883,,,,
33,05/14/20 05:50:00 PM,12.883,,,,
34,05/14/20 06:00:00 PM,12.980,,,,
35,05/14/20 06:10:00 PM,12.980,,,,
36,05/14/20 06:20:00 PM,13.076,,,,
37,05/14/20 06:30:00 PM,13.076,,,,
38,05/14/20 06:40:00 PM,13.173,,,,
39,05/14/20 06:50:00 PM,13.365,,,,
40,05/14/20 07:00:00 PM,13.461,,,,
41,05/14/20 07:10:00 PM,13.461,,,,
42,05/14/20 07:20:00 PM,13.461,,,,
43,05/14/20 07:30:00 PM,13.461,,,,
44,05/14/20 07:40:00 PM,13.076,,,,
45,05/14/20 07:50:00 PM,13.173,,,,
46,05/14/20 08:00:00 PM,13.365,,,,
47,05/14/20 08:10:00 PM,12.883,,,,
48,05/14/20 08:20:00 PM,12.497,,,,
49,05/14/20 08:30:00 PM,12.690,,,,
50,05/14/20 08:40:00 PM,12.787,,,,
51,05/14/20 08:50:00 PM,12.787,,,,
52,05/14/20 09:00:00 PM,12.787,,,,
53,05/14/20 09:10:00 PM,12.883,,,,
54,05/14/20 09:20:00 PM,12.883,,,,
55,05/14/20 09:30:00 PM,12.787,,,,
56,05/14/20 09:40:00 PM,12.883,,,,
57,05/14/20 09:50:00 PM,12.980,,,,
58,05/14/20 10:00:00 PM,12.980,,,,
59,05/14/20 10:10:00 PM,12.883,,,,
60,05/14/20 10:20:00 PM,12.883,,,,
61,05/14/20 10:30:00 PM,12.690,,,,
62,05/14/20 10:40:00 PM,12.497,,,,
63,05/14/20 10:50:00 PM,12.401,,,,
64,05/14/20 11:00:00 PM,12.497,,,,
65,05/14/20 11:10:00 PM,12.594,,,,
66,05/14/20 11:20:00 PM,12.787,,,,
67,05/14/20 11:30:00 PM,12.787,,,,
68,05/14/20 11:40:00 PM,12.787,,,,
69,05/14/20 11:50:00 PM,12.883,,,,
70,05/15/20 12:00:00 AM,12.980,,,,
71,05/15/20 12:10:00 AM,12.980,,,,
72,05/15/20 12:20:00 AM,12.980,,,,
73,05/15/20 12:30:00 AM,13.076,,,,
74,05/15/20 12:40:00 AM,13.076,,,,
75,05/15/20 12:50:00 AM,13.173,,,,
76,05/15/20 01:00:00 AM,13.173,,,,
77,05/15/20 01:10:00 AM,13.173,,,,
78,05/15/20 01:20:00 AM,13.173,,,,
79,05/15/20 01:30:00 AM,13.173,,,,
80,05/15/20 01:40:00 AM,13.173,,,,
81,05/15/20 01:50:00 AM,13.076,,,,
82,05/15/20 02:00:00 AM,13.076,,,,
83,05/15/20 02:10:00 AM,13.076,,,,
84,05/15/20 02:20:00 AM,13.076,,,,
85,05/15/20 02:30:00 AM,13.076,,,,
86,05/15/20 02:40:00 AM,13.076,,,,
87,05/15/20 02:50:00 AM,13.076,,,,
88,05/15/20 03:00:00 AM,13.173,,,,
89,05/15/20 03:10:00 AM,13.173,,,,
90,05/15/20 03:20:00 AM,13.076,,,,
91,05/15/20 03:30:00 AM,12.980,,,,
92,05/15/20 03:40:00 AM,12.980,,,,
93,05/15/20 03:50:00 AM,12.980,,,,
94,05/15/20 04:00:00 AM,12.980,,,,
95,05/15/20 04:10:00 AM,13.076,,,,
96,05/15/20 04:20:00 AM,13.076,,,,
97,05/15/20 04:30:00 AM,13.076,,,,
98,05/15/20 04:40:00 AM,13.076,,,,
99,05/15/20 04:50:00 AM,13.173,,,,
100,05/15/20 05:00:00 AM,13.173,,,,
101,05/15/20 05:10:00 AM,13.173,,,,
102,05/15/20 05:20:00 AM,13.173,,,,
103,05/15/20 05:30:00 AM,13.173,,,,
104,05/15/20 05:40:00 AM,13.173,,,,
105,05/15/20 05:50:00 AM,13.173,,,,
106,05/15/20 06:00:00 AM,13.269,,,,
107,05/15/20 06:10:00 AM,13.269,,,,
108,05/15/20 06:20:00 AM,13.269,,,,
109,05/15/20 06:30:00 AM,13.269,,,,
110,05/15/20 06:40:00 AM,13.365,,,,
111,05/15/20 06:50:00 AM,13.365,,,,
112,05/15/20 07:00:00 AM,13.365,,,,
113,05/15/20 07:10:00 AM,13.365,,,,
114,05/15/20 07:20:00 AM,13.365,,,,
115,05/15/20 07:30:00 AM,13.365,,,,
116,05/15/20 07:40:00 AM,13.365,,,,
117,05/15/20 07:50:00 AM,13.365,,,,
118,05/15/20 08:00:00 AM,13.269,,,,
119,05/15/20 08:10:00 AM,13.269,,,,
120,05/15/20 08:20:00 AM,13.365,,,,
121,05/15/20 08:30:00 AM,13.365,,,,
122,05/15/20 08:40:00 AM,13.269,,,,
123,05/15/20 08:50:00 AM,13.269,,,,
124,05/15/20 09:00:00 AM,13.269,,,,
125,05/15/20 09:10:00 AM,13.269,,,,
126,05/15/20 09:20:00 AM,13.173,,,,
127,05/15/20 09:30:00 AM,13.076,,,,
128,05/15/20 09:40:00 AM,13.076,,,,
129,05/15/20 09:50:00 AM,13.076,,,,
130,05/15/20 10:00:00 AM,13.076,,,,
131,05/15/20 10:10:00 AM,12.980,,,,
132,05/15/20 10:20:00 AM,12.980,,,,
133,05/15/20 10:30:00 AM,12.980,,,,
134,05/15/20 10:40:00 AM,13.076,,,,
135,05/15/20 10:50:00 AM,13.076,,,,
136,05/15/20 11:00:00 AM,12.883,,,,
137,05/15/20 11:10:00 AM,12.883,,,,
138,05/15/20 11:20:00 AM,12.690,,,,
139,05/15/20 11:30:00 AM,12.594,,,,
140,05/15/20 11:40:00 AM,12.594,,,,
141,05/15/20 11:50:00 AM,12.594,,,,
142,05/15/20 12:00:00 PM,12.497,,,,
143,05/15/20 12:10:00 PM,12.594,,,,
144,05/15/20 12:20:00 PM,12.304,,,,
145,05/15/20 12:30:00 PM,12.304,,,,
146,05/15/20 12:40:00 PM,12.401,,,,
147,05/15/20 12:50:00 PM,12.497,,,,
148,05/15/20 01:00:00 PM,12.594,,,,
149,05/15/20 01:10:00 PM,12.594,,,,
150,05/15/20 01:20:00 PM,12.594,,,,
151,05/15/20 01:30:00 PM,12.883,,,,
152,05/15/20 01:40:00 PM,12.883,,,,
153,05/15/20 01:50:00 PM,12.980,,,,
154,05/15/20 02:00:00 PM,12.980,,,,
155,05/15/20 02:10:00 PM,13.076,,,,
156,05/15/20 02:20:00 PM,13.173,,,,
157,05/15/20 02:30:00 PM,13.269,,,,
158,05/15/20 02:40:00 PM,13.269,,,,
159,05/15/20 02:50:00 PM,13.269,,,,
