"Plot Title: hobo3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2413140, SEN S/N: 2413140)","Host Connected (LGR S/N: 2413140)","Coupler Attached (LGR S/N: 2413140)","Coupler Detached (LGR S/N: 2413140)","Stopped (LGR S/N: 2413140)","End Of File (LGR S/N: 2413140)"
1,06/20/19 02:00:00 PM,32.807,,,,,
2,06/20/19 02:10:00 PM,31.574,,,,,
3,06/20/19 02:20:00 PM,29.953,,,,,
4,06/20/19 02:30:00 PM,28.655,,,,,
5,06/20/19 02:40:00 PM,28.456,,,,,
6,06/20/19 02:50:00 PM,27.961,,,,,
7,06/20/19 03:00:00 PM,27.665,,,,,
8,06/20/19 03:10:00 PM,27.961,,,,,
9,06/20/19 03:20:00 PM,28.060,,,,,
10,06/20/19 03:30:00 PM,28.060,,,,,
11,06/20/19 03:40:00 PM,28.060,,,,,
12,06/20/19 03:50:00 PM,28.159,,,,,
13,06/20/19 04:00:00 PM,28.159,,,,,
14,06/20/19 04:10:00 PM,28.159,,,,,
15,06/20/19 04:20:00 PM,28.159,,,,,
16,06/20/19 04:30:00 PM,28.555,,,,,
17,06/20/19 04:40:00 PM,29.652,,,,,
18,06/20/19 04:50:00 PM,30.356,,,,,
19,06/20/19 05:00:00 PM,29.752,,,,,
20,06/20/19 05:10:00 PM,27.173,,,,,
21,06/20/19 05:20:00 PM,26.097,,,,,
22,06/20/19 05:30:00 PM,25.805,,,,,
23,06/20/19 05:40:00 PM,25.610,,,,,
24,06/20/19 05:50:00 PM,25.416,,,,,
25,06/20/19 06:00:00 PM,25.222,,,,,
26,06/20/19 06:10:00 PM,25.028,,,,,
27,06/20/19 06:20:00 PM,24.835,,,,,
28,06/20/19 06:30:00 PM,24.738,,,,,
29,06/20/19 06:40:00 PM,24.545,,,,,
30,06/20/19 06:50:00 PM,24.448,,,,,
31,06/20/19 07:00:00 PM,24.351,,,,,
32,06/20/19 07:10:00 PM,24.158,,,,,
33,06/20/19 07:20:00 PM,24.062,,,,,
34,06/20/19 07:30:00 PM,23.966,,,,,
35,06/20/19 07:40:00 PM,23.966,,,,,
36,06/20/19 07:50:00 PM,23.869,,,,,
37,06/20/19 08:00:00 PM,23.773,,,,,
38,06/20/19 08:10:00 PM,23.677,,,,,
39,06/20/19 08:20:00 PM,23.581,,,,,
40,06/20/19 08:30:00 PM,23.581,,,,,
41,06/20/19 08:40:00 PM,23.484,,,,,
42,06/20/19 08:50:00 PM,23.484,,,,,
43,06/20/19 09:00:00 PM,23.388,,,,,
44,06/20/19 09:10:00 PM,23.388,,,,,
45,06/20/19 09:20:00 PM,23.292,,,,,
46,06/20/19 09:30:00 PM,23.292,,,,,
47,06/20/19 09:40:00 PM,23.196,,,,,
48,06/20/19 09:50:00 PM,23.196,,,,,
49,06/20/19 10:00:00 PM,23.196,,,,,
50,06/20/19 10:10:00 PM,23.100,,,,,
51,06/20/19 10:20:00 PM,23.100,,,,,
52,06/20/19 10:30:00 PM,23.004,,,,,
53,06/20/19 10:40:00 PM,23.004,,,,,
54,06/20/19 10:50:00 PM,23.004,,,,,
55,06/20/19 11:00:00 PM,22.908,,,,,
56,06/20/19 11:10:00 PM,22.908,,,,,
57,06/20/19 11:20:00 PM,22.908,,,,,
58,06/20/19 11:30:00 PM,22.908,,,,,
59,06/20/19 11:40:00 PM,22.812,,,,,
60,06/20/19 11:50:00 PM,22.812,,,,,
61,06/21/19 12:00:00 AM,22.812,,,,,
62,06/21/19 12:10:00 AM,22.812,,,,,
63,06/21/19 12:20:00 AM,22.812,,,,,
64,06/21/19 12:30:00 AM,22.717,,,,,
65,06/21/19 12:40:00 AM,22.717,,,,,
66,06/21/19 12:50:00 AM,22.717,,,,,
67,06/21/19 01:00:00 AM,22.717,,,,,
68,06/21/19 01:10:00 AM,22.717,,,,,
69,06/21/19 01:20:00 AM,22.717,,,,,
70,06/21/19 01:30:00 AM,22.621,,,,,
71,06/21/19 01:40:00 AM,22.621,,,,,
72,06/21/19 01:50:00 AM,22.621,,,,,
73,06/21/19 02:00:00 AM,22.621,,,,,
74,06/21/19 02:10:00 AM,22.621,,,,,
75,06/21/19 02:20:00 AM,22.621,,,,,
76,06/21/19 02:30:00 AM,22.621,,,,,
77,06/21/19 02:40:00 AM,22.621,,,,,
78,06/21/19 02:50:00 AM,22.525,,,,,
