"Plot Title: hobo16"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 874438, SEN S/N: 874438)","Coupler Attached (LGR S/N: 874438)","Host Connected (LGR S/N: 874438)","End Of File (LGR S/N: 874438)"
1,04/23/24 02:00:00 PM,20.043,,,
2,04/23/24 02:10:00 PM,20.043,,,
3,04/23/24 02:20:00 PM,20.043,,,
4,04/23/24 02:30:00 PM,20.138,,,
5,04/23/24 02:40:00 PM,19.567,,,
6,04/23/24 02:50:00 PM,20.138,,,
7,04/23/24 03:00:00 PM,19.758,,,
8,04/23/24 03:10:00 PM,19.758,,,
9,04/23/24 03:20:00 PM,19.853,,,
10,04/23/24 03:30:00 PM,19.662,,,
11,04/23/24 03:40:00 PM,19.567,,,
12,04/23/24 03:50:00 PM,18.996,,,
13,04/23/24 04:00:00 PM,19.187,,,
14,04/23/24 04:10:00 PM,18.901,,,
15,04/23/24 04:20:00 PM,18.901,,,
16,04/23/24 04:30:00 PM,18.806,,,
17,04/23/24 04:40:00 PM,18.806,,,
18,04/23/24 04:50:00 PM,18.140,,,
19,04/23/24 05:00:00 PM,18.521,,,
20,04/23/24 05:10:00 PM,18.045,,,
21,04/23/24 05:20:00 PM,17.475,,,
22,04/23/24 05:30:00 PM,17.379,,,
23,04/23/24 05:40:00 PM,17.284,,,
24,04/23/24 05:50:00 PM,17.189,,,
25,04/23/24 06:00:00 PM,17.094,,,
26,04/23/24 06:10:00 PM,17.094,,,
27,04/23/24 06:20:00 PM,17.189,,,
28,04/23/24 06:30:00 PM,17.189,,,
29,04/23/24 06:40:00 PM,17.094,,,
30,04/23/24 06:50:00 PM,17.094,,,
31,04/23/24 07:00:00 PM,16.999,,,
32,04/23/24 07:10:00 PM,16.999,,,
33,04/23/24 07:20:00 PM,16.999,,,
34,04/23/24 07:30:00 PM,16.999,,,
35,04/23/24 07:40:00 PM,16.999,,,
36,04/23/24 07:50:00 PM,16.903,,,
37,04/23/24 08:00:00 PM,16.903,,,
38,04/23/24 08:10:00 PM,16.808,,,
39,04/23/24 08:20:00 PM,16.808,,,
40,04/23/24 08:30:00 PM,16.618,,,
41,04/23/24 08:40:00 PM,16.618,,,
42,04/23/24 08:50:00 PM,16.523,,,
43,04/23/24 09:00:00 PM,16.523,,,
44,04/23/24 09:10:00 PM,16.523,,,
45,04/23/24 09:20:00 PM,16.427,,,
46,04/23/24 09:30:00 PM,16.427,,,
47,04/23/24 09:40:00 PM,16.332,,,
48,04/23/24 09:50:00 PM,16.332,,,
49,04/23/24 10:00:00 PM,16.332,,,
50,04/23/24 10:10:00 PM,16.237,,,
51,04/23/24 10:20:00 PM,16.237,,,
52,04/23/24 10:30:00 PM,16.141,,,
53,04/23/24 10:40:00 PM,16.046,,,
54,04/23/24 10:50:00 PM,16.046,,,
55,04/23/24 11:00:00 PM,15.951,,,
56,04/23/24 11:10:00 PM,15.855,,,
57,04/23/24 11:20:00 PM,15.760,,,
58,04/23/24 11:30:00 PM,15.760,,,
59,04/23/24 11:40:00 PM,15.664,,,
60,04/23/24 11:50:00 PM,15.569,,,
61,04/24/24 12:00:00 AM,15.664,,,
62,04/24/24 12:10:00 AM,15.569,,,
63,04/24/24 12:20:00 AM,15.569,,,
64,04/24/24 12:30:00 AM,15.569,,,
65,04/24/24 12:40:00 AM,15.569,,,
66,04/24/24 12:50:00 AM,15.569,,,
67,04/24/24 01:00:00 AM,15.473,,,
68,04/24/24 01:10:00 AM,15.473,,,
69,04/24/24 01:20:00 AM,15.378,,,
70,04/24/24 01:30:00 AM,15.378,,,
71,04/24/24 01:40:00 AM,15.282,,,
72,04/24/24 01:50:00 AM,15.282,,,
73,04/24/24 02:00:00 AM,15.187,,,
74,04/24/24 02:10:00 AM,15.187,,,
75,04/24/24 02:20:00 AM,15.091,,,
76,04/24/24 02:30:00 AM,14.996,,,
77,04/24/24 02:40:00 AM,14.996,,,
78,04/24/24 02:50:00 AM,14.996,,,
79,04/24/24 03:00:00 AM,14.900,,,
80,04/24/24 03:10:00 AM,14.900,,,
81,04/24/24 03:20:00 AM,14.804,,,
82,04/24/24 03:30:00 AM,14.804,,,
83,04/24/24 03:40:00 AM,14.804,,,
84,04/24/24 03:50:00 AM,14.709,,,
85,04/24/24 04:00:00 AM,14.709,,,
86,04/24/24 04:10:00 AM,14.709,,,
87,04/24/24 04:20:00 AM,14.709,,,
88,04/24/24 04:30:00 AM,14.613,,,
89,04/24/24 04:40:00 AM,14.613,,,
90,04/24/24 04:50:00 AM,14.613,,,
91,04/24/24 05:00:00 AM,14.613,,,
92,04/24/24 05:10:00 AM,14.613,,,
93,04/24/24 05:20:00 AM,14.613,,,
94,04/24/24 05:30:00 AM,14.517,,,
95,04/24/24 05:40:00 AM,14.517,,,
96,04/24/24 05:50:00 AM,14.517,,,
97,04/24/24 06:00:00 AM,14.804,,,
98,04/24/24 06:10:00 AM,14.804,,,
99,04/24/24 06:20:00 AM,14.900,,,
100,04/24/24 06:30:00 AM,14.900,,,
101,04/24/24 06:40:00 AM,14.900,,,
102,04/24/24 06:50:00 AM,14.900,,,
103,04/24/24 07:00:00 AM,14.900,,,
104,04/24/24 07:10:00 AM,14.900,,,
105,04/24/24 07:20:00 AM,14.804,,,
106,04/24/24 07:30:00 AM,14.900,,,
107,04/24/24 07:40:00 AM,14.996,,,
108,04/24/24 07:50:00 AM,14.804,,,
109,04/24/24 08:00:00 AM,14.804,,,
110,04/24/24 08:10:00 AM,14.900,,,
111,04/24/24 08:20:00 AM,14.900,,,
112,04/24/24 08:30:00 AM,14.996,,,
113,04/24/24 08:40:00 AM,14.996,,,
114,04/24/24 08:50:00 AM,14.900,,,
115,04/24/24 09:00:00 AM,14.996,,,
116,04/24/24 09:10:00 AM,15.091,,,
117,04/24/24 09:20:00 AM,14.996,,,
118,04/24/24 09:30:00 AM,15.091,,,
119,04/24/24 09:40:00 AM,15.187,,,
120,04/24/24 09:50:00 AM,15.282,,,
121,04/24/24 10:00:00 AM,15.569,,,
122,04/24/24 10:10:00 AM,15.760,,,
123,04/24/24 10:20:00 AM,15.951,,,
124,04/24/24 10:30:00 AM,16.523,,,
125,04/24/24 10:40:00 AM,17.189,,,
126,04/24/24 10:50:00 AM,17.475,,,
127,04/24/24 11:00:00 AM,17.665,,,
128,04/24/24 11:10:00 AM,17.379,,,
129,04/24/24 11:20:00 AM,16.523,,,
130,04/24/24 11:30:00 AM,16.618,,,
131,04/24/24 11:40:00 AM,17.570,,,
132,04/24/24 11:50:00 AM,18.140,,,
133,04/24/24 12:00:00 PM,17.475,,,
134,04/24/24 12:10:00 PM,18.140,,,
135,04/24/24 12:20:00 PM,16.808,,,
136,04/24/24 12:30:00 PM,17.475,,,
137,04/24/24 12:40:00 PM,17.855,,,
138,04/24/24 12:50:00 PM,18.711,,,
139,04/24/24 01:00:00 PM,18.236,,,
140,04/24/24 01:10:00 PM,17.855,,,
141,04/24/24 01:20:00 PM,17.475,,,
142,04/24/24 01:30:00 PM,18.045,,,
143,04/24/24 01:40:00 PM,18.236,,,
144,04/24/24 01:50:00 PM,18.521,,,
145,04/24/24 02:00:00 PM,18.806,,,
146,04/24/24 02:10:00 PM,18.711,,,
147,04/24/24 02:20:00 PM,17.855,,,
148,04/24/24 02:30:00 PM,17.665,,,
149,04/24/24 02:40:00 PM,18.616,,,
150,04/24/24 02:50:00 PM,18.711,,,
151,04/24/24 03:00:00 PM,18.806,,,
152,04/24/24 03:10:00 PM,18.901,,,
153,04/24/24 03:20:00 PM,19.092,,,
154,04/24/24 03:30:00 PM,19.092,,,
155,04/24/24 03:40:00 PM,19.092,,,
156,04/24/24 03:50:00 PM,18.996,,,
157,04/24/24 04:00:00 PM,18.901,,,
158,04/24/24 04:10:00 PM,18.616,,,
159,04/24/24 04:20:00 PM,18.616,,,
160,04/24/24 04:30:00 PM,18.806,,,
161,04/24/24 04:40:00 PM,18.901,,,
162,04/24/24 04:50:00 PM,18.711,,,
163,04/24/24 05:00:00 PM,18.806,,,
164,04/24/24 05:10:00 PM,18.521,,,
