"Plot Title: hobo36"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2413142, SEN S/N: 2413142)","Coupler Attached (LGR S/N: 2413142)","Coupler Detached (LGR S/N: 2413142)","Host Connected (LGR S/N: 2413142)","End Of File (LGR S/N: 2413142)"
1,04/23/24 02:00:00 PM,14.709,,,,
2,04/23/24 02:10:00 PM,14.900,,,,
3,04/23/24 02:20:00 PM,15.187,,,,
4,04/23/24 02:30:00 PM,15.473,,,,
5,04/23/24 02:40:00 PM,15.473,,,,
6,04/23/24 02:50:00 PM,15.473,,,,
7,04/23/24 03:00:00 PM,15.569,,,,
8,04/23/24 03:10:00 PM,15.855,,,,
9,04/23/24 03:20:00 PM,16.046,,,,
10,04/23/24 03:30:00 PM,15.951,,,,
11,04/23/24 03:40:00 PM,16.332,,,,
12,04/23/24 03:50:00 PM,16.332,,,,
13,04/23/24 04:00:00 PM,16.427,,,,
14,04/23/24 04:10:00 PM,16.999,,,,
15,04/23/24 04:20:00 PM,16.713,,,,
16,04/23/24 04:30:00 PM,16.713,,,,
17,04/23/24 04:40:00 PM,16.808,,,,
18,04/23/24 04:50:00 PM,16.713,,,,
19,04/23/24 05:00:00 PM,16.618,,,,
20,04/23/24 05:10:00 PM,16.523,,,,
21,04/23/24 05:20:00 PM,16.427,,,,
22,04/23/24 05:30:00 PM,16.141,,,,
23,04/23/24 05:40:00 PM,16.141,,,,
24,04/23/24 05:50:00 PM,16.046,,,,
25,04/23/24 06:00:00 PM,15.951,,,,
26,04/23/24 06:10:00 PM,15.760,,,,
27,04/23/24 06:20:00 PM,15.664,,,,
28,04/23/24 06:30:00 PM,15.664,,,,
29,04/23/24 06:40:00 PM,15.569,,,,
30,04/23/24 06:50:00 PM,15.569,,,,
31,04/23/24 07:00:00 PM,15.569,,,,
32,04/23/24 07:10:00 PM,15.378,,,,
33,04/23/24 07:20:00 PM,15.282,,,,
34,04/23/24 07:30:00 PM,15.187,,,,
35,04/23/24 07:40:00 PM,15.091,,,,
36,04/23/24 07:50:00 PM,14.996,,,,
37,04/23/24 08:00:00 PM,14.996,,,,
38,04/23/24 08:10:00 PM,14.900,,,,
39,04/23/24 08:20:00 PM,14.804,,,,
40,04/23/24 08:30:00 PM,14.709,,,,
41,04/23/24 08:40:00 PM,14.613,,,,
42,04/23/24 08:50:00 PM,14.517,,,,
43,04/23/24 09:00:00 PM,14.421,,,,
44,04/23/24 09:10:00 PM,14.421,,,,
45,04/23/24 09:20:00 PM,14.325,,,,
46,04/23/24 09:30:00 PM,14.230,,,,
47,04/23/24 09:40:00 PM,14.230,,,,
48,04/23/24 09:50:00 PM,14.230,,,,
49,04/23/24 10:00:00 PM,14.134,,,,
50,04/23/24 10:10:00 PM,14.038,,,,
51,04/23/24 10:20:00 PM,13.942,,,,
52,04/23/24 10:30:00 PM,13.846,,,,
53,04/23/24 10:40:00 PM,13.750,,,,
54,04/23/24 10:50:00 PM,13.750,,,,
55,04/23/24 11:00:00 PM,13.654,,,,
56,04/23/24 11:10:00 PM,13.558,,,,
57,04/23/24 11:20:00 PM,13.461,,,,
58,04/23/24 11:30:00 PM,13.461,,,,
59,04/23/24 11:40:00 PM,13.461,,,,
60,04/23/24 11:50:00 PM,13.461,,,,
61,04/24/24 12:00:00 AM,13.365,,,,
62,04/24/24 12:10:00 AM,13.269,,,,
63,04/24/24 12:20:00 AM,13.269,,,,
64,04/24/24 12:30:00 AM,13.173,,,,
65,04/24/24 12:40:00 AM,13.173,,,,
66,04/24/24 12:50:00 AM,13.076,,,,
67,04/24/24 01:00:00 AM,12.980,,,,
68,04/24/24 01:10:00 AM,12.980,,,,
69,04/24/24 01:20:00 AM,12.980,,,,
70,04/24/24 01:30:00 AM,12.980,,,,
71,04/24/24 01:40:00 AM,12.883,,,,
72,04/24/24 01:50:00 AM,12.883,,,,
73,04/24/24 02:00:00 AM,12.883,,,,
74,04/24/24 02:10:00 AM,12.690,,,,
75,04/24/24 02:20:00 AM,12.690,,,,
76,04/24/24 02:30:00 AM,12.690,,,,
77,04/24/24 02:40:00 AM,12.594,,,,
