"TOA5","CR3000_CCRdam","CR3000","13423","CR3000.Std.32.05","CPU:CCRdam_20230228.CR3","10433","ccre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","EXO_Date_1","EXO_Time_1","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure_1","EXO_depth_1","EXO_battery_1","EXO_cablepower_1","EXO_wiper_1","EXO_Date_9","EXO_Time_9","EXO_wtr_9","Cond_9","SpCond_9","TDS_9","dosat_9","doobs_9","fDOM_RFU_9","fDOM_QSU_9","EXO_pressure_9","EXO_depth_9","EXO_battery_9","EXO_cablepower_9","EXO_wiper_9","Lvl_psi","Lvl_Temp_C"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-02-28 12:30:00",1,12.98,26.08,8.164026,8.157434,8.158503,8.085352,8.036585,8.003199,7.935785,7.679925,7.478296,7.359979,7.350427,7.168115,7.131616,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",230228,122605,7.778,59.3,88.37,57.44,98.56,11.74,4.9,15.15,12.42,8.73,2.83,12.14,1.21,27.23852,7.129545
"2023-02-28 12:40:00",2,12.93,25.01,8.244593,8.166254,8.163324,8.123285,8.097864,8.114618,8.076746,8.087244,8.087488,7.991052,7.408258,7.249292,7.133234,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",230228,123604,8.128,59.79,88.21,57.34,100.57,11.87,4.81,14.87,12.41,8.728,2.83,12.12,1.22,27.23391,7.13585
"2023-02-28 12:50:00",3,12.97,24.55,8.2922,8.248743,8.19668,8.132349,8.109369,8.088923,8.101954,8.109949,8.13534,7.938379,7.287988,7.141748,7.138116,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",230228,124606,7.982,59.53,88.2,57.33,99.78,11.82,4.85,15.01,12.42,8.731,2.83,12.12,1.21,27.23123,7.134868
"2023-02-28 13:00:00",4,12.97,24.39,8.301142,8.296228,8.255365,8.20257,8.174372,8.173944,8.170527,8.160944,8.214075,7.575067,7.291894,7.126794,7.12887,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",230228,125606,8.164,59.94,88.35,57.43,100.48,11.85,4.8,14.86,12.42,8.732,2.84,12.12,1.22,27.24501,7.12074
"2023-02-28 13:10:00",5,12.97,24.13,8.285089,8.294764,8.282251,8.249598,8.235346,8.239222,8.21612,8.221216,8.21612,7.480829,7.276575,7.114862,7.058771,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",230228,130605,8.143,59.94,88.4,57.46,100.41,11.85,4.81,14.89,12.41,8.729,2.83,12.12,1.23,27.2412,7.096229
"2023-02-28 13:20:00",6,12.98,23.91,8.28161,8.296625,8.300745,8.287073,8.24444,8.222467,8.226221,8.196619,8.170954,7.780603,7.330957,7.083124,7.04577,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",230228,131605,8.173,59.95,88.35,57.43,100.61,11.86,4.81,14.89,12.42,8.736,2.84,12.13,1.21,27.24759,7.042841
"2023-02-28 13:30:00",7,12.98,23.75,8.294153,8.347864,8.346277,8.326899,8.303522,8.227045,8.214808,8.20672,8.161646,7.915033,7.800287,7.065362,7.040857,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",230228,132604,8.291,60.11,88.29,57.39,101.26,11.91,4.76,14.73,12.42,8.736,2.83,12.12,1.22,27.23757,7.024171
"2023-02-28 13:40:00",8,12.98,23.76,8.320154,8.376368,8.381952,8.366236,8.345087,8.340723,8.354395,8.337549,8.324152,8.228937,7.983057,6.984308,7.034112,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",230228,133603,8.351,60.19,88.25,57.36,101.51,11.92,4.76,14.74,12.43,8.738,2.83,12.12,1.21,27.23926,7.011849
"2023-02-28 13:50:00",9,12.98,23.73,8.351892,8.393549,8.38003,8.355646,8.330774,8.315607,8.32696,8.32873,8.329279,8.201166,7.383539,6.992578,7.021478,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",230228,134604,8.362,60.17,88.19,57.32,101.52,11.92,4.75,14.71,12.43,8.738,2.83,12.12,1.21,27.23686,7.008604
