"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20230124.CR6","28960","fcre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_9"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-02-07 12:00:00",0,13.94,13.45,5.34646,4.799707,4.586481,4.48858,4.394433,4.388605,4.406702,4.371606,4.371759,4.311731,12.08201,93.13215,4.392982,12.23277,94.09365,4.311501,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.19266,4.300607
"2023-02-07 12:10:00",1,13.9,13.8,5.351587,4.797204,4.605157,4.497461,4.398096,4.389429,4.419458,4.390527,4.391626,4.366663,12.0972,93.24847,4.392647,12.18517,93.91146,4.386467,230207,121052,4.413,23.06,38.01,24.7,100.34,13.01,0.4,1.94,0.21,0.25,4.87,14.59,0,4.53,3.19,5.96,12.9,1.18,13.19394,4.352093
"2023-02-07 12:20:00",2,13.86,14.25,5.312646,4.855463,4.659509,4.503778,4.401178,4.389825,4.422296,4.416681,4.401819,4.360315,12.05373,92.91342,4.392647,12.16007,93.71009,4.38327,230207,122052,4.434,23.08,38.01,24.71,100.43,13.02,0.52,2.47,0.24,0.29,4.88,14.6,0,4.53,3.187,5.96,12.88,1.19,13.1932,4.344426
"2023-02-07 12:30:00",3,14.8,14.29,5.284692,4.957147,4.681787,4.50448,4.403924,4.387475,4.424432,4.423883,4.404779,4.371179,12.03497,92.76921,4.392822,12.13978,93.55864,4.385277,230207,123052,4.417,23.07,38.01,24.71,100.41,13.02,0.57,2.73,0.27,0.32,4.88,14.6,0,4.52,3.185,5.96,14.6,1.1,13.19239,4.346875
"2023-02-07 12:40:00",4,13.71,14.26,5.257776,5.009088,4.698877,4.51568,4.406671,4.386804,4.42312,4.425561,4.402582,4.375452,12.02836,92.71945,4.393318,12.1597,93.72375,4.389976,230207,124052,4.408,23.06,38.01,24.71,100.4,13.02,0.56,2.69,0.25,0.3,4.89,14.64,0,4.52,3.183,5.96,12.79,1.24,13.19513,4.354848
"2023-02-07 12:50:00",5,14.01,14.58,5.284601,5.093011,4.734643,4.526666,4.40542,4.384698,4.424066,4.426416,4.406457,4.384393,12.01466,92.61225,4.392647,12.13489,93.54185,4.393829,230207,125052,4.447,23.09,38.01,24.71,100.6,13.03,0.44,2.09,0.24,0.28,4.88,14.61,0,4.52,3.179,5.97,12.66,1.15,13.19483,4.361391
"2023-02-07 13:00:00",6,13.17,15.05,5.268762,5.08996,4.769311,4.527246,4.403924,4.385919,4.424097,4.428125,4.406518,4.384088,11.97812,92.32897,4.391975,12.11183,93.36576,4.394508,230207,130052,4.502,23.13,38.01,24.7,100.78,13.04,0.55,2.65,0.24,0.29,4.85,14.52,0,4.51,3.176,5.96,12.93,1.19,13.19447,4.36057
"2023-02-07 13:10:00",7,13.74,15.3,5.28222,5.105859,4.786188,4.538965,4.402246,4.389032,4.429895,4.428918,4.408533,4.385705,11.96314,92.21478,4.392487,12.04527,92.85423,4.395172,230207,131052,4.496,23.12,38.01,24.7,100.83,13.05,0.68,3.26,0.28,0.34,4.86,14.55,0,4.51,3.175,5.96,13.01,1.15,13.19453,4.360305
