"TOA5","CR6Series_BVRplatform","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_20201005_3_bjorn.CR6","8305","BVRplatform"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-11-10 11:30:00",5181,14.23,21.55,33.06365,18.26064,14.18551,14.20745,14.05877,13.95916,14.69085,13.43502,13.58654,13.21102,13.2434,13.95501,15.66882,10.31576,99.9044,13.91235,10.76398,102.2457,13.03854,201110,122859,14.267,0.08,0.09,0.06,99.15,10.16,0,0.03,0.36,0.39,-0.3,-0.85,0.64,0.45,4.39,12.64,1.18,-0.002951,12.62197
"2020-11-10 11:40:00",5182,14.22,21.72,33.06365,19.10082,14.01602,12.73507,12.11535,12.02679,11.92312,11.87945,11.72717,11.63931,11.4956,11.47827,11.33471,7.837469,72.96769,12.1468,4.479719,41.03017,11.43048,201110,123859,13.921,23.16,29.38,19.1,98.73,10.19,3.23,12.97,0.55,0.57,4.17,12.55,1.49,1.051,4.39,12.66,1.18,15.39284,11.355
"2020-11-10 11:50:00",5183,14.2,21.82,33.06365,18.8984,13.93893,12.62228,12.01885,11.90161,11.84756,11.82675,11.70156,11.59777,11.4598,11.42355,11.27844,7.788005,72.34473,12.04804,4.395808,40.2188,11.3842,201110,124859,13.861,23.14,29.4,19.11,99.58,10.29,2.8,11.24,0.49,0.51,4.16,12.52,1.51,1.061,4.39,12.65,1.19,15.39444,11.34305
"2020-11-10 12:00:00",5184,14.2,21.92,33.06365,19.16876,13.81857,12.64007,12.01861,11.88812,11.83428,11.81744,11.67199,11.57781,11.45782,11.40411,11.25848,7.828462,72.6629,12.01308,4.345447,39.73657,11.36074,201110,125859,13.801,23.09,29.37,19.09,100.21,10.37,2.58,10.38,0.51,0.54,4.18,12.57,1.51,1.065,4.39,12.68,1.17,15.39513,11.3328
"2020-11-10 12:10:00",5185,14.19,22.06,33.06365,19.25399,13.83898,12.72796,12.00591,11.87454,11.82214,11.80001,11.65063,11.56991,11.46716,11.39565,11.23632,7.806353,72.44696,12.00663,3.727565,34.07904,11.35134,201110,130859,12.687,22.71,29.69,19.3,86.48,9.18,3.5,14.05,0.64,0.66,4.11,12.36,2.82,1.988,4.39,12.62,1.18,15.39556,11.32979
"2020-11-10 12:20:00",5186,14.11,22.21,33.06365,19.02944,13.85012,12.59091,12.00994,11.87219,11.83004,11.80364,11.64514,11.56631,11.45788,11.3865,11.2084,7.765071,72.05385,12.00049,3.405447,31.12324,11.33621,201110,131859,12.405,22.69,29.88,19.42,81.26,8.68,3.42,13.72,0.59,0.61,4.1,12.33,2.84,2.002,4.39,12.48,1.18,15.39487,11.31327
"2020-11-10 12:30:00",5187,14.11,22.46,33.06365,19.39324,13.80499,12.52615,12.02609,11.87222,11.83209,11.80621,11.65063,11.56631,11.46124,11.36984,11.24246,7.732775,71.76213,12.0054,3.30527,30.20903,11.33806,201110,132859,12.36,22.66,29.87,19.42,81.23,8.68,4.1,16.44,0.68,0.7,4.1,12.34,2.85,2.008,4.39,12.59,1.17,15.39464,11.3227
"2020-11-10 12:40:00",5188,14.22,22.63,33.06365,19.3627,13.56008,12.51583,12.04086,11.87338,11.83013,11.79504,11.62527,11.55258,11.46819,11.35754,11.25167,7.771177,72.11676,12.00432,3.287147,30.04547,11.34114,201110,133859,12.395,22.68,29.87,19.42,80.97,8.65,3.47,13.95,0.56,0.58,4.1,12.33,2.85,2.009,4.39,12.64,1.17,15.39569,11.33141
