"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20180828.CR6","52416","Catwalk"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-01-21 14:40:00",20806,13.9,0.393,2.487024,2.407251,2.370874,2.346368,2.268091,2.286615,2.333459,2.901941,3.498132,3.586572,11.9776,87.26093,2.274872,11.19988,84.55599,3.602905,190121,143934,2.298,17.81,31.44,20.44,101.98,13.99,0.72,2.97,0.2,0.25,4.19,12.61,2.71,1.905,5.88,12.94,1.18
"2019-01-21 14:50:00",20807,13.88,0.922,2.469018,2.416376,2.336603,2.319177,2.25982,2.281213,2.361627,3.321405,3.517389,3.528711,11.96253,87.16629,2.281265,11.1997,84.55537,3.603241,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2019-01-21 15:00:00",20808,13.86,1.401,2.447931,2.379938,2.259363,2.283624,2.25451,2.296503,2.591852,3.298242,3.492639,3.479089,11.95596,87.15155,2.295265,11.19672,84.50374,3.590187,190121,145934,2.221,17.78,31.47,20.46,101.94,14.01,1.18,4.84,0.26,0.31,4.19,12.62,2.71,1.911,5.88,12.9,1.18
"2019-01-21 15:10:00",20809,13.87,1.732,2.434717,2.34707,2.277154,2.279199,2.271448,2.303674,2.487848,3.141107,3.413476,3.466852,11.94257,87.09081,2.310806,11.20936,84.48871,3.541023,190121,150934,2.228,17.78,31.46,20.45,101.88,14,0.78,3.2,0.22,0.27,4.19,12.62,2.72,1.916,5.88,12.9,1.17
"2019-01-21 15:20:00",20810,13.85,2.085,2.472803,2.355951,2.31344,2.356042,2.326349,2.39245,2.574182,3.194299,3.3724,3.465967,11.93257,87.27031,2.417618,11.19771,84.48038,3.576462,190121,151934,2.242,17.79,31.47,20.46,101.95,14.01,0.79,3.25,0.24,0.3,4.21,12.68,2.71,1.91,5.87,12.9,1.18
"2019-01-21 15:30:00",20811,13.87,2.432,2.466821,2.39425,2.368707,2.374567,2.377527,2.449304,2.62008,3.118646,3.442316,3.537134,11.98057,87.70165,2.451408,11.20308,84.48892,3.562218,190121,152934,2.337,17.84,31.45,20.45,102.24,14.01,0.69,2.85,0.23,0.28,4.19,12.62,2.71,1.908,5.88,12.91,1.17
"2019-01-21 15:40:00",20812,13.87,2.748,2.4768,2.42428,2.388147,2.375207,2.311304,2.383874,2.746942,3.106134,3.319879,3.54693,11.98193,87.61531,2.410896,11.20221,84.52354,3.580521,190121,153934,2.36,17.85,31.45,20.44,102.32,14.01,0.6,2.51,0.19,0.24,4.18,12.58,2.71,1.909,5.88,12.91,1.18
"2019-01-21 15:50:00",20813,13.87,3.005,2.505182,2.459894,2.40484,2.395105,2.30401,2.364435,2.720483,3.168054,3.367639,3.551385,11.97279,87.39617,2.346725,11.19535,84.51379,3.59935,190121,154934,2.377,17.86,31.44,20.44,102.39,14.02,0.78,3.24,0.23,0.28,4.17,12.57,2.71,1.911,5.87,12.91,1.17
