"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20220505.CR6","10572","Catwalk"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_9"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-09-12 16:20:00",18765,13.19,30.48,24.60467,23.579,23.22671,21.91812,15.60269,11.98193,11.84771,11.85107,11.83499,11.81274,-0.11651,-1.079924,11.95182,-0.093537,-0.864975,11.84953,220912,171901,23.402,37.96,39.15,25.45,95.97,8.17,3.2,14.13,0.27,0.22,5.93,18.61,3,2.31,1.633,5.81,13.44,1.21,13.02141,11.79541
"2022-09-12 16:30:00",18766,13.36,30.77,24.6412,23.55386,23.17843,21.83773,15.83477,11.95852,11.85006,11.85241,11.83309,11.81664,-0.117377,-1.088397,11.96933,-0.09347,-0.864322,11.848,220912,172901,23.39,37.69,38.89,25.28,94.39,8.04,3.71,16.37,0.28,0.23,6.08,19.05,2.82,2.34,1.652,5.82,12.7,1.21,13.02075,11.79706
"2022-09-12 16:40:00",18767,13.4,31.12,24.7987,23.57275,23.17361,21.89468,15.81652,11.98702,11.8467,11.85262,11.83288,11.81472,-0.11748,-1.089717,11.98421,-0.093677,-0.86626,11.84907,220912,173901,23.401,37.54,38.72,25.17,93.74,7.98,4,17.67,0.28,0.22,6.18,19.34,2.55,2.35,1.662,5.81,12.31,1.21,13.02032,11.79714
"2022-09-12 16:50:00",18768,13.21,31.17,25.01626,23.54797,23.15847,21.97201,15.17687,11.9895,11.84442,11.84847,11.83193,11.81497,-0.116909,-1.084758,11.99772,-0.093691,-0.866372,11.84846,220912,174901,23.388,37.55,38.74,25.18,92.19,7.85,4.06,17.97,0.26,0.21,6.27,19.63,2.74,2.36,1.67,5.81,12.12,1.21,13.02069,11.79765
"2022-09-12 17:00:00",18769,13.17,30.9,25.13394,23.4923,23.12799,22.07098,15.12564,12.03152,11.84524,11.84759,11.83257,11.81555,-0.116404,-1.080748,12.02519,-0.093809,-0.867454,11.848,220912,175901,23.283,37.68,38.95,25.32,84.46,7.21,4.44,19.66,0.31,0.27,6.46,20.18,2.95,2.37,1.674,5.81,12.16,1.21,13.0217,11.79842
"2022-09-12 17:10:00",18770,13.12,30.53,25.00479,23.50332,23.15783,21.85287,14.95666,12.06945,11.84643,11.84973,11.83236,11.8157,-0.116878,-1.085832,12.05312,-0.093646,-0.865991,11.8503,220912,180901,23.32,37.66,38.91,25.29,88.21,7.52,3.98,17.58,0.22,0.16,6.31,19.74,2.85,2.38,1.679,5.81,12.13,1.21,13.02178,11.79837
"2022-09-12 17:20:00",18771,13.14,30.14,24.99002,23.46966,23.1705,22.02377,14.96929,12.23269,11.84515,11.85211,11.83438,11.81567,-0.117041,-1.089054,12.12212,-0.092722,-0.857421,11.84861,220912,181901,23.316,37.73,38.98,25.34,89.8,7.66,3.84,16.96,0.33,0.29,6.36,19.88,2.8,2.38,1.683,5.81,12.12,1.21,13.02235,11.797
"2022-09-12 17:30:00",18772,13.05,29.78,25.01016,23.47454,23.15063,22.10217,14.84365,12.42785,11.85006,11.85211,11.83477,11.81939,-0.116186,-1.086065,12.32431,-0.094065,-0.869914,11.85246,220912,182901,23.294,37.68,38.95,25.32,85.34,7.28,4.16,18.39,0.27,0.22,6.42,20.07,2.66,2.39,1.685,5.81,12.02,1.21,13.02173,11.80083
