"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20180828.CR6","52416","Catwalk"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-01-15 14:20:00",19940,13.86,8.84,3.850122,3.656305,3.556909,3.567621,3.486749,3.503473,3.605646,3.617486,3.600397,3.574243,11.63705,87.69228,3.532356,11.27171,85.0785,3.594093,190115,141936,3.596,18.65,31.55,20.51,102.38,13.56,1.19,4.85,0.22,0.27,4.36,13.13,2.48,1.743,5.88,12.9,1.18
"2019-01-15 14:30:00",19941,13.91,8.12,3.775659,3.670129,3.573236,3.587884,3.515588,3.519647,3.575311,3.582635,3.559778,3.577051,11.66313,87.84127,3.512001,11.26992,85.05006,3.587486,190115,142936,3.604,18.65,31.54,20.5,102.43,13.57,1.14,4.65,0.2,0.25,4.32,13.03,2.48,1.746,5.88,12.9,1.18
"2019-01-15 14:40:00",19942,13.87,8.52,3.783655,3.704217,3.587213,3.602289,3.515863,3.521631,3.566797,3.59585,3.565515,3.552637,11.65093,87.78887,3.528976,11.27381,85.05283,3.575783,190115,143936,3.596,18.65,31.55,20.51,102.38,13.56,0.62,2.58,0.17,0.23,4.32,13.01,2.49,1.753,5.87,12.9,1.17
"2019-01-15 14:50:00",19943,13.86,8.91,3.787256,3.691858,3.583093,3.616968,3.541528,3.543329,3.608301,3.596551,3.587121,3.581842,11.61722,87.58031,3.548477,11.24393,84.8852,3.601387,190115,144936,3.597,18.65,31.55,20.51,102.4,13.57,1.05,4.3,0.14,0.19,4.31,13,2.49,1.752,5.87,12.88,1.18
"2019-01-15 15:00:00",19944,12.95,10.39,3.774621,3.682733,3.616083,3.638452,3.538599,3.550683,3.593591,3.588617,3.559778,3.584253,11.64647,87.80526,3.550354,11.28272,85.23472,3.626465,190115,145936,3.593,18.65,31.56,20.51,102.23,13.55,0.83,3.41,0.18,0.23,4.31,13,2.49,1.751,5.88,12.12,1.18
"2019-01-15 15:10:00",19945,13,12.08,3.768915,3.68316,3.611078,3.617609,3.519037,3.551294,3.572137,3.65069,3.662927,3.660882,11.6629,87.90599,3.540504,11.30283,85.50994,3.680985,190115,150936,3.605,18.66,31.55,20.51,102.28,13.55,0.93,3.81,0.21,0.26,4.31,12.98,2.49,1.752,5.88,12.12,1.18
"2019-01-15 15:20:00",19946,13.01,13.15,3.781915,3.667779,3.616663,3.611108,3.528986,3.559137,3.625726,3.669824,3.659235,3.644952,11.65629,87.94617,3.579002,11.26618,85.21996,3.6754,190115,151936,3.594,18.65,31.56,20.51,102.27,13.55,1.11,4.53,0.2,0.26,4.31,13,2.49,1.753,5.87,12.12,1.17
"2019-01-15 15:30:00",19947,12.94,13.79,3.774896,3.694299,3.618036,3.620142,3.536371,3.564355,3.613489,3.657556,3.65954,3.653345,11.66518,87.99575,3.571548,11.26479,85.20698,3.67421,190115,152936,3.595,18.66,31.56,20.51,102.32,13.56,1.11,4.54,0.13,0.19,4.33,13.04,2.49,1.755,5.88,12.12,1.18
