"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20201022.CR6","5131","Catwalk"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-11-09 10:00:00",2593,13.75,22.33,13.591,13.47753,11.93029,11.8355,12.00064,11.75891,11.77761,11.78707,11.77316,11.75225,6.9213,63.89945,11.77805,6.606416,61.02203,11.79928,201109,105917,12.204,31.56,41.77,27.15,87.42,9.38,6.04,24.25,2.31,2.36,6.92,20.82,3.35,2.162,5.9,12.77,1.17
"2020-11-09 10:10:00",2594,13.74,22.61,13.70443,13.48065,11.93521,11.85906,11.99734,11.76672,11.78118,11.78802,11.77352,11.7546,6.901648,63.73785,11.79159,6.548585,60.48999,11.8008,201109,110917,12.104,31.58,41.9,27.24,83.65,8.99,4.48,18.01,1.91,1.96,6.91,20.79,3.36,2.169,5.9,12.76,1.18
"2020-11-09 10:20:00",2595,13.75,23.14,13.44628,13.48889,11.9468,11.85354,11.9971,11.7597,11.78115,11.78839,11.77407,11.75466,6.898251,63.69146,11.78129,6.526835,60.28962,11.80128,201109,111917,12.093,31.61,41.96,27.27,82.53,8.88,4.18,16.82,2.01,2.07,6.89,20.73,3.37,2.175,5.9,12.75,1.17
"2020-11-09 10:30:00",2596,13.73,23.98,13.49966,13.51769,11.95132,11.85073,11.98089,11.75408,11.77886,11.7868,11.77215,11.75451,6.901303,63.71335,11.77698,6.517361,60.19514,11.7962,201109,112917,12.157,31.51,41.75,27.14,87.21,9.37,8.99,36.08,2.28,2.33,6.89,20.72,3.37,2.178,5.9,12.75,1.18
"2020-11-09 10:40:00",2597,13.74,24.74,13.60674,13.53497,11.97567,11.85699,12.00305,11.7546,11.78021,11.78625,11.77255,11.75555,6.920126,63.88694,11.77682,6.494088,59.97695,11.79374,201109,113917,12.166,31.53,41.76,27.15,88.84,9.54,7.6,30.5,2.29,2.34,6.91,20.78,3.38,2.18,5.9,12.7,1.17
"2020-11-09 10:50:00",2598,13.7,25.35,13.61364,13.56341,11.971,11.8525,12.01556,11.75805,11.78012,11.78637,11.77285,11.75457,6.922447,63.90837,11.77682,6.532629,60.34085,11.79958,201109,114917,12.117,31.6,41.91,27.24,84.86,9.12,4.84,19.48,2.06,2.11,6.9,20.75,3.37,2.178,5.9,12.71,1.18
"2020-11-09 11:00:00",2599,13.72,25.84,13.77502,13.58743,11.97891,11.85488,11.97396,11.75906,11.77975,11.7879,11.77361,11.75601,6.914393,63.83568,11.77805,6.575486,60.73774,11.80035,201109,115917,12.187,31.36,41.53,26.99,93.79,10.06,5.67,22.77,2.26,2.31,6.94,20.89,3.37,2.176,5.9,12.7,1.18
"2020-11-09 11:10:00",2600,13.7,26.25,13.89507,13.51379,12.00826,11.83486,11.99352,11.7586,11.78311,11.7904,11.77392,11.75698,6.959974,64.2591,11.77975,6.585196,60.82507,11.79865,201109,120917,12.155,31.55,41.8,27.17,86.67,9.31,6.27,25.2,2.16,2.22,6.9,20.75,3.37,2.177,5.9,12.71,1.17
