"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20180828.CR6","52416","Catwalk"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2018-08-28 15:50:00",0,13.3,37.56,28.76333,25.0588,24.03643,22.15084,15.5422,13.18908,12.24957,12.06371,11.91693,11.81021,-0.064242,-0.611076,13.10106,-0.07374,-0.681767,11.84062,180828,154909,25.333,37.83,37.59,24.43,127.12,10.44,1.85,7.49,0.15,0.21,5.52,16.6,1.1,0.779,5.84,12.39,1.19
"2018-08-28 16:00:00",1,13.32,37.12,28.7109,25.03048,24.03744,22.16189,15.61874,13.22827,12.23525,12.0238,11.91152,11.81072,-0.064037,-0.609669,13.14061,-0.074369,-0.687697,11.84831,180828,155909,25.273,37.8,37.6,24.44,127.38,10.47,2.01,8.13,0.16,0.21,5.54,16.68,1.1,0.777,5.83,12.34,1.19
"2018-08-28 16:10:00",2,13.28,36.37,28.76467,25.02352,24.01849,22.07952,15.69299,13.32958,12.21319,12.01986,11.92672,11.81716,-0.063701,-0.60789,13.24609,-0.07448,-0.688739,11.84908,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2018-08-28 16:20:00",3,0,35.05,28.70864,25.00982,24.02252,22.06246,15.69384,13.33669,12.2221,12.02368,11.93295,11.81765,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2018-08-28 16:30:00",4,13.07,33.77,29.48702,24.96176,23.98049,21.94244,15.75558,13.34579,12.22207,12.08694,11.92864,11.80477,-0.063745,-0.608186,13.23667,-0.073999,-0.684243,11.84615,180828,162909,25.246,37.8,37.62,24.45,127.24,10.47,2.81,11.35,0.19,0.25,5.58,16.8,1.11,0.783,5.83,12.12,1.19
"2018-08-28 16:40:00",5,13.03,33.12,29.80087,24.91058,24.01577,21.85479,15.78036,13.32458,12.17721,12.10937,11.9338,11.80413,-0.063626,-0.606244,13.17693,-0.074372,-0.687715,11.84769,180828,163909,25.182,37.74,37.61,24.44,127.47,10.5,2.86,11.54,0.17,0.22,5.59,16.84,1.11,0.787,5.82,12.12,1.17
"2018-08-28 16:50:00",6,12.99,33.2,29.90484,24.88629,24.00057,21.97891,15.87103,13.29861,12.13626,12.11633,11.93487,11.80377,-0.064192,-0.611307,13.15262,-0.073947,-0.683494,11.82864,180828,164909,25.172,37.74,37.62,24.45,127.33,10.49,2.96,11.95,0.17,0.23,5.59,16.84,1.12,0.789,5.83,12.12,1.18
"2018-08-28 17:00:00",7,13,33.17,29.79684,24.87011,23.99883,21.94305,15.8597,13.31149,12.12771,12.10919,11.92855,11.80319,-0.064622,-0.615394,13.15246,-0.073989,-0.683837,11.82602,180828,165909,25.194,37.73,37.59,24.43,127.36,10.49,2.81,11.32,0.13,0.19,5.59,16.81,1.12,0.793,5.83,12.12,1.18
