"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20201022.CR6","5131","Catwalk"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-12-02 14:40:00",5933,13.9,10.19,8.596857,8.65307,8.538782,8.456568,8.483484,8.362665,8.213648,8.150934,8.067377,8.071955,10.99999,93.72869,8.371911,11.4901,97.23863,8.09137,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-12-02 14:50:00",5934,13.87,9.97,8.620783,8.779078,8.600031,8.474634,8.53628,8.366541,8.172358,8.131067,8.11236,8.088831,10.99859,93.72232,8.374306,12.27025,103.8433,8.092339,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-12-02 15:00:00",5935,13.87,10.27,8.617121,8.678431,8.544367,8.493006,8.536829,8.344141,8.181086,8.100885,8.081537,8.061792,10.93989,93.04504,8.296082,12.02302,101.6947,8.069642,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-12-02 15:10:00",5936,13.86,10.58,8.646631,8.690302,8.509607,8.497736,8.594233,8.237574,8.182337,8.075068,8.053949,8.006952,10.7533,91.34191,8.243798,11.04514,93.35968,8.041672,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-12-02 15:20:00",5937,13.84,11.33,8.562372,8.689692,8.478876,8.452204,8.553339,8.395258,8.164942,8.056849,7.999383,7.897913,10.75557,91.55017,8.328759,12.95335,109.3324,7.983147,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-12-02 15:30:00",5938,13.55,11.92,8.533228,8.624659,8.425745,8.426752,8.475977,8.315668,8.233912,8.140345,8.037806,7.952478,10.88499,92.61975,8.314576,13.21974,111.552,7.97258,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-12-02 15:40:00",5939,13.36,12.29,8.524897,8.643793,8.437128,8.42901,8.534571,8.326715,8.2651,8.064417,8.017847,7.904779,11.19312,95.25387,8.31984,13.28639,111.9821,7.924255,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2020-12-02 15:50:00",5940,13.27,12.48,8.643244,8.585108,8.429865,8.39419,8.368158,8.267694,8.153376,8.048578,8.000544,7.913568,11.81905,100.4799,8.278725,12.8695,108.4548,7.919144,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
