"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20201022.CR6","5131","Catwalk"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-02-26 12:40:00",0,13.77,7.59,5.358057,5.511774,5.562189,5.552026,5.530542,5.569849,5.557672,5.554986,5.687494,5.577905,12.41705,99.3113,5.823891,12.31773,99.1634,6.081673,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-02-26 12:50:00",1,13.53,8.31,6.247034,5.487634,5.493616,5.899866,5.512048,5.225275,6.197443,4.802484,5.335016,8.191431,12.48752,99.9355,5.847733,12.62263,101.6059,6.076927,210226,124848,5.233,19.8,31.81,20.68,106.38,13.5,6.24,25.17,0.45,0.35,4.77,14.27,2.99,1.907,5.78,12.48,1.21
"2021-02-26 13:00:00",2,13.55,8.6,5.234613,8.87063,5.229303,5.377649,5.512048,5.606348,5.996545,4.507349,4.472894,6.0646,12.54779,100.427,5.851334,12.09647,97.72225,6.21949,210226,125850,5.234,19.8,31.81,20.68,106.29,13.49,5.84,23.56,0.4,0.3,4.78,14.3,2.98,1.901,5.77,12.49,1.2
"2021-02-26 13:10:00",3,13.91,8.81,5.444116,5.395288,5.233728,5.132043,5.512048,4.918939,4.946771,4.92489,4.874963,4.628442,13.41556,105.0236,4.98835,12.96332,100.5804,4.643616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-02-26 13:20:00",4,13.5,8.9,5.446008,5.417413,5.191553,5.089624,5.512048,4.926172,4.955743,4.898553,4.781549,4.500055,13.4502,105.1554,4.937134,13.07515,101.2388,4.564247,210226,131847,5.24,19.8,31.81,20.68,106.37,13.5,8.61,34.78,0.56,0.46,4.78,14.29,2.55,1.6,5.77,12.44,1.2
"2021-02-26 13:30:00",5,13.64,8.7,5.416986,5.301935,5.168024,5.098444,5.512048,4.933954,4.969263,4.89187,4.710107,4.452356,13.58568,106.1969,4.930664,13.12378,101.3546,4.465706,210226,132847,5.254,19.81,31.81,20.67,106.4,13.5,6.74,27.18,0.69,0.59,4.77,14.26,2.55,1.6,5.78,12.51,1.21
"2021-02-26 13:40:00",6,13.46,8.81,4.633295,4.643945,5.260187,3.96676,7.872125,5.346643,5.346063,5.142389,5.012292,4.951379,13.76701,108.5889,5.280495,13.32244,103.9636,4.865417,210226,133852,4.511,0.05,0.09,0.06,100.05,12.94,0.03,0.05,0.24,0.14,0.11,0.25,0.05,-0.166,5.77,12.42,1.21
"2021-02-26 13:50:00",7,13.39,8.82,5.376245,5.281091,5.235162,5.090265,5.084924,4.984857,5.022577,4.934473,4.683649,4.41488,13.49056,105.5348,4.960594,13.62224,105.0595,4.412941,210226,134846,5.357,19.88,31.82,20.68,107.36,13.58,5.5,22.2,0.56,0.45,4.73,14.14,2.57,1.609,5.78,12.36,1.21
