"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20210107_waterbath.CR6","30172","Catwalk"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-01-07 10:41:00",11,13.94,3.781,3.694025,3.90722,3.688287,3.613855,3.988489,4.007501,1.986383,1.474878,3.405878,3.655237,13.61809,99.794,2.490341,13.64161,98.59265,1.981529,210107,104001,4.56,21.06,34.55,22.45,101.46,13.11,2.55,10.26,0.59,0.49,6.12,18.32,0.33,0.032,5.76,12.93,1.21
"2021-01-07 10:42:00",12,13.98,3.805,3.695123,3.908502,3.687158,3.614831,4.000543,3.819238,2.524103,1.728937,3.423639,3.654718,13.63816,99.8418,2.453651,13.70751,98.86043,1.90461,210107,104131,4.564,21.06,34.55,22.46,101.5,13.11,2.68,10.77,0.57,0.47,6.11,18.29,0.33,0.031,5.76,12.94,1.21
"2021-01-07 10:43:00",13,13.94,3.832,3.695581,3.91073,3.685266,3.616693,4.011377,3.356225,2.722681,1.885309,3.4414,3.654413,13.64657,99.6059,2.34362,13.79377,99.0113,1.731339,210107,104131,4.564,21.06,34.55,22.46,101.5,13.11,2.68,10.77,0.57,0.47,6.11,18.29,0.33,0.031,5.76,12.94,1.21
"2021-01-07 10:44:00",14,13.93,3.86,3.696313,3.921655,3.683374,3.61886,4.022607,3.151849,2.849969,2.045099,3.45556,3.655023,13.67951,99.7029,2.290771,13.88721,99.3051,1.593575,210107,104301,4.564,21.06,34.54,22.45,101.51,13.11,2.12,8.5,0.42,0.31,6.12,18.33,0.33,0.032,5.76,12.94,1.2
"2021-01-07 10:45:00",15,13.97,3.896,3.697412,3.914941,3.681451,3.620752,4.032068,3.391321,3.244287,2.254724,3.467035,3.654047,13.64312,99.6519,2.37001,13.7402,98.92155,1.840126,210107,104431,4.563,21.06,34.55,22.46,101.52,13.11,2.02,8.1,0.38,0.28,6.12,18.32,0.33,0.032,5.76,12.93,1.2
"2021-01-07 10:46:00",16,13.95,3.926,3.698389,3.919885,3.680383,3.622613,4.041315,3.445367,3.627374,2.487268,3.478082,3.654657,13.65384,99.6318,2.333603,13.74069,98.95718,1.851952,210107,104431,4.563,21.06,34.55,22.46,101.52,13.11,2.02,8.1,0.38,0.28,6.12,18.32,0.33,0.032,5.76,12.93,1.2
"2021-01-07 10:47:00",17,13.95,3.954,3.698541,3.928766,3.679773,3.625024,4.052179,3.490655,4.075769,2.736627,3.487665,3.654565,13.69859,99.7062,2.240646,13.81268,99.215,1.756248,210107,104601,4.566,21.06,34.54,22.45,101.51,13.11,2.36,9.45,0.55,0.45,6.13,18.34,0.33,0.032,5.76,12.93,1.21
"2021-01-07 10:48:00",18,13.95,4.003,3.699121,3.933435,3.678522,3.627313,4.060724,3.428613,4.312433,2.947198,3.496881,3.654565,13.68496,99.7473,2.292503,13.84818,99.3038,1.695442,210107,104731,4.561,21.06,34.54,22.45,101.52,13.11,2,8.03,0.37,0.27,6.11,18.29,0.33,0.031,5.76,12.92,1.21
