KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,18D102222,18D102222,18C102992,17K100864,18C100625,18C100625,18C102992,18D101168,18D101168,18D101168,17K100864,18C102992,18C102992,18D102222,18D102222,18C102992,18D101236,18C102992,17K100864,18D103367,18D103367
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi g,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Wiper Position volt,Temp ¡C,Vertical Position m,Battery V,Cable Pwr V
8/6/18,13:30:00,0,FCR,0.24,1.07,38.5,0.827,15.14,5.03,36.1,111.7,111.7,8.74,1.171,0.02,36.4,0.2,0.25,24,1.653,28.027,0.827,6.11,0
8/6/18,13:40:00,0,FCR,0.26,1.15,37.6,0.851,16.84,5.6,35.9,112.8,112.8,8.94,1.204,0.02,36,0.12,0.17,23,1.653,27.294,0.851,6.11,0
8/6/18,13:50:00,0,FCR,0.32,1.37,37.2,0.862,16.9,5.61,36,112.9,112.9,9.06,1.22,0.02,36.1,0.21,0.26,23,1.653,26.613,0.862,6.11,0
8/6/18,14:00:00,0,FCR,0.37,1.57,37.3,0.866,17.05,5.66,36,113.7,113.7,9.12,1.226,0.02,36.1,0.21,0.27,23,1.653,26.644,0.865,6.11,0
8/6/18,14:10:00,0,FCR,0.39,1.68,37.6,0.871,16.61,5.52,36.1,114.3,114.3,9.13,1.232,0.02,36.3,0.31,0.37,24,1.653,26.836,0.87,6.11,0
8/6/18,14:20:00,0,FCR,0.69,2.84,37.6,0.877,16.55,5.5,36.1,115.4,115.4,9.2,1.241,0.02,36.2,0.38,0.43,24,1.179,26.99,0.876,6.11,0
8/6/18,14:30:00,0,FCR,0.79,3.26,37.7,0.879,16.77,5.57,36,115.6,115.6,9.17,1.244,0.02,36.1,0.41,0.46,23,1.179,27.239,0.878,6.1,0
8/6/18,14:40:00,0,FCR,0.66,2.73,37.9,0.878,16.3,5.41,36.1,115.7,115.7,9.17,1.243,0.02,36.3,0.36,0.42,24,1.179,27.316,0.878,6.11,0
8/6/18,14:50:00,0,FCR,0.74,3.07,38,0.878,16.2,5.38,36.1,115.5,115.5,9.13,1.243,0.02,36.3,0.54,0.6,24,1.179,27.453,0.878,6.12,0
8/6/18,15:00:00,0,FCR,0.8,3.28,38,0.878,16.28,5.41,36.1,115.4,115.4,9.12,1.242,0.02,36.3,0.45,0.5,24,1.179,27.492,0.878,6.11,0
8/6/18,15:10:00,0,FCR,0.66,2.74,38.3,0.875,15.88,5.28,36.2,117.6,117.6,9.25,1.238,0.02,36.4,0.27,0.32,24,1.179,27.735,0.875,6.11,0
8/6/18,15:20:00,0,FCR,0.68,2.84,38.3,0.872,16,5.31,36.1,117.5,117.5,9.23,1.234,0.02,36.3,0.42,0.48,24,1.177,27.81,0.872,6.1,0
8/6/18,15:30:00,0,FCR,0.65,2.72,38.2,0.866,16.2,5.38,36.1,117.3,117.3,9.24,1.226,0.02,36.3,0.27,0.32,24,1.177,27.691,0.866,6.11,0
8/6/18,15:40:00,0,FCR,0.5,2.1,38.3,0.864,16.15,5.36,36.2,117.7,117.7,9.26,1.222,0.02,36.4,0.19,0.25,24,1.177,27.75,0.863,6.12,0
8/6/18,15:50:00,0,FCR,0.71,2.92,38.2,0.86,16.14,5.36,36.2,118.3,118.3,9.31,1.217,0.02,36.4,0.27,0.33,24,1.177,27.699,0.86,6.11,0
8/6/18,16:00:00,0,FCR,0.75,3.11,38.4,0.863,16.15,5.37,36.2,118.7,118.7,9.33,1.221,0.02,36.4,0.25,0.3,24,1.177,27.79,0.863,6.12,0
8/6/18,16:10:00,0,FCR,0.72,2.98,38.2,0.867,16.45,5.46,36.2,118,118,9.29,1.227,0.02,36.4,0.39,0.44,24,1.177,27.648,0.867,6.11,0
8/6/18,16:20:00,0,FCR,0.88,3.6,38.1,0.869,16.46,5.47,36.2,118.2,118.2,9.33,1.23,0.02,36.4,0.24,0.29,24,1.19,27.507,0.869,6.11,0
8/6/18,16:30:00,0,FCR,0.7,2.9,37.8,0.872,17.11,5.68,36.1,116.7,116.7,9.27,1.234,0.02,36.3,0.34,0.39,24,1.19,27.207,0.872,6.12,0
8/6/18,16:40:00,0,FCR,0.79,3.25,37.9,0.874,17.15,5.7,36.2,117.9,117.9,9.36,1.237,0.02,36.3,0.43,0.48,24,1.19,27.195,0.874,6.11,0
8/6/18,16:50:00,0,FCR,0.78,3.21,37.8,0.871,17.29,5.74,36.2,119.2,119.2,9.48,1.233,0.02,36.4,0.24,0.3,24,1.19,27.093,0.871,6.11,0
8/6/18,17:00:00,0,FCR,0.92,3.79,37.8,0.872,17.22,5.72,36.2,117.5,117.5,9.36,1.235,0.02,36.4,0.48,0.53,24,1.19,27.063,0.872,6.11,0
8/6/18,17:10:00,0,FCR,1.29,5.24,37.8,0.874,17.23,5.73,36.2,118.3,118.3,9.42,1.237,0.02,36.4,0.48,0.53,24,1.19,27.035,0.873,6.11,0
8/6/18,17:20:00,0,FCR,0.88,3.61,37.6,0.874,17.41,5.78,36.2,118.8,118.8,9.48,1.237,0.02,36.3,0.36,0.41,24,1.175,26.884,0.874,6.12,0
8/6/18,17:30:00,0,FCR,0.98,4.03,37.5,0.879,17.58,5.84,36.1,118.1,118.1,9.46,1.244,0.02,36.3,0.3,0.36,24,1.175,26.714,0.879,6.11,0
8/6/18,17:40:00,0,FCR,1.02,4.2,37.2,0.884,17.88,5.94,36,117.4,117.4,9.43,1.251,0.02,36.1,0.52,0.57,23,1.175,26.581,0.884,6.11,0
8/6/18,17:50:00,0,FCR,1.2,4.9,37.2,0.891,18.18,6.04,36.1,117.9,117.9,9.48,1.261,0.02,36.2,0.56,0.61,24,1.175,26.496,0.891,6.11,0
8/6/18,18:00:00,0,FCR,0.95,3.89,37.1,0.894,18.43,6.12,36,118.7,118.7,9.56,1.266,0.02,36.1,0.41,0.46,23,1.175,26.385,0.894,6.11,0
8/6/18,18:10:00,0,FCR,0.99,4.06,37.2,0.893,18.09,6.01,36.1,117.4,117.4,9.44,1.265,0.02,36.2,0.46,0.51,24,1.175,26.508,0.893,6.12,0
8/6/18,18:20:00,0,FCR,1.09,4.46,37,0.888,18.73,6.23,36,118.2,118.2,9.54,1.257,0.02,36.1,0.57,0.62,23,1.175,26.315,0.888,6.1,0
8/6/18,18:30:00,0,FCR,1.04,4.24,37.1,0.884,18.6,6.18,36.1,118.8,118.8,9.57,1.252,0.02,36.2,0.52,0.57,24,1.175,26.368,0.884,6.11,0
8/6/18,18:40:00,0,FCR,1.08,4.41,37.1,0.883,18.4,6.11,36.1,118.7,118.7,9.56,1.25,0.02,36.2,0.36,0.41,24,1.175,26.422,0.883,6.11,0
8/6/18,18:50:00,0,FCR,1.03,4.21,37.2,0.883,18.27,6.07,36,117.8,117.8,9.48,1.25,0.02,36.2,0.41,0.46,24,1.175,26.443,0.883,6.11,0
8/6/18,19:00:00,0,FCR,0.98,4.01,37.1,0.884,18.62,6.19,36.1,118,118,9.51,1.251,0.02,36.2,0.6,0.65,24,1.175,26.371,0.884,6.11,0
8/6/18,19:10:00,0,FCR,1.36,5.55,37.1,0.882,18.63,6.19,36,119.2,119.2,9.61,1.248,0.02,36.1,0.57,0.63,23,1.175,26.345,0.881,6.11,0
8/6/18,19:20:00,0,FCR,1.16,4.73,37,0.88,18.69,6.21,36,119.1,119.1,9.61,1.246,0.02,36.1,0.51,0.56,23,1.179,26.3,0.88,6.11,0
8/6/18,19:30:00,0,FCR,1,4.08,37.1,0.88,18.47,6.14,36,119,119,9.58,1.246,0.02,36.1,0.47,0.53,23,1.179,26.438,0.88,6.1,0
