:852&1606293115-1.9.0-281&17:296&32:194&33:213&18:105
&852&1606293305&17:10000,12.6&32:-1.0,-1.0,-1,-1.00&33:152.5,13.5,973,15.68&18:10000,11.5&0:37.2
&852&1606293645&17:10000,12.7&32:-1.0,-1.0,-1,-1.00&33:152.8,13.5,973,15.70&18:10000,11.4&0:37.5
&852&1606293954&17:10000,12.9&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.4&0:37.3
&852&1606294254&17:10000,13.1&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.4&0:37.0
&852&1606294554&17:10000,13.1&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.4&0:37.0
&852&1606294854&17:10000,13.1&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.4&0:37.2
&852&1606295154&17:10000,13.1&32:-1.0,-1.0,-1,-1.00&33:152.8,13.6,973,15.71&18:10000,11.4&0:37.2
&852&1606295454&17:10000,13.1&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.4&0:37.2
&852&1606295754&17:10000,13.0&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.3&0:37.3
&852&1606296054&17:10000,13.1&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.3&0:37.1
&852&1606296354&17:10000,13.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.3&0:37.0
&852&1606296654&17:10000,13.4&32:-1.0,-1.0,-1,-1.00&33:153.2,13.4,973,15.74&18:10000,11.3&0:36.9
&852&1606296954&17:10000,13.6&32:-1.0,-1.0,-1,-1.00&33:153.1,13.4,973,15.73&18:10000,11.3&0:36.8
&852&1606297254&17:10000,13.7&32:-1.0,-1.0,-1,-1.00&33:152.9,13.4,973,15.72&18:10000,11.2&0:36.7
&852&1606297554&17:10000,13.7&32:-1.0,-1.0,-1,-1.00&33:153.3,13.5,973,15.75&18:10000,11.3&0:36.6
&852&1606297854&17:10000,13.8&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.3&0:36.2
&852&1606298154&17:10000,13.8&32:-1.0,-1.0,-1,-1.00&33:153.2,13.4,973,15.74&18:10000,11.4&0:36.3
&852&1606298454&17:10000,13.9&32:-1.0,-1.0,-1,-1.00&33:153.2,13.5,973,15.74&18:10000,11.4&0:35.9
&852&1606298754&17:10000,14.1&32:-1.0,-1.0,-1,-1.00&33:153.3,13.6,973,15.75&18:10000,11.4&0:35.9
&852&1606299054&17:10000,14.1&32:-1.0,-1.0,-1,-1.00&33:153.1,13.5,973,15.73&18:10000,11.4&0:35.8
&852&1606299354&17:10000,14.1&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.4&0:35.4
&852&1606299654&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:153.2,13.7,974,15.72&18:10000,11.5&0:35.8
&852&1606299954&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.5&0:35.7
&852&1606300254&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.6&0:36.2
&852&1606300554&17:10000,14.3&32:-1.0,-1.0,-1,-1.00&33:153.5,13.8,974,15.76&18:10000,11.6&0:36.8
&852&1606300854&17:10000,14.3&32:-1.0,-1.0,-1,-1.00&33:152.9,13.7,974,15.70&18:10000,11.6&0:37.2
&852&1606301154&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:153.1,13.6,974,15.72&18:10000,11.5&0:37.6
&852&1606301454&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.1,13.6,974,15.72&18:10000,11.5&0:38.1
&852&1606301754&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:153.1,13.6,974,15.72&18:10000,11.5&0:38.5
&852&1606302054&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.5&0:38.7
&852&1606302354&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:153.3,13.6,974,15.74&18:10000,11.5&0:39.2
