:1053&1619399974-1.9.0-281&17:296&32:194&33:213&18:105
&1053&1619399999&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:145.3,10.9,986,14.73&18:65535,655.3&0:11.4
&1053&1619400335&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.2,10.6,985,14.85&18:65535,655.3&0:10.7
&1053&1619400675&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:145.9,10.6,986,14.80&18:65535,655.3&0:10.3
&1053&1619400975&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.2,10.1,984,14.86&18:65535,655.3&0:9.7
&1053&1619401275&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.4,10.1,984,14.88&18:65535,655.3&0:9.2
&1053&1619401575&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.3,10.1,984,14.86&18:65535,655.3&0:9.0
&1053&1619401875&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.2,10.1,984,14.86&18:65535,655.3&0:8.8
&1053&1619402175&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.1,10.1,984,14.85&18:65535,655.3&0:8.6
&1053&1619402475&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:145.8,10.1,984,14.82&18:65535,655.3&0:8.6
&1053&1619402775&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.1,9.9,984,14.85&18:65535,655.3&0:8.4
&1053&1619403075&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.0,9.9,984,14.84&18:65535,655.3&0:8.2
&1053&1619403375&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.0,10.0,984,14.84&18:65535,655.3&0:8.2
&1053&1619403675&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:145.9,10.0,984,14.83&18:65535,655.3&0:8.1
&1053&1619403975&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:145.9,10.0,984,14.83&18:65535,655.3&0:8.1
&1053&1619404275&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:145.9,10.2,984,14.83&18:65535,655.3&0:8.0
&1053&1619404575&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:146.1,10.1,984,14.84&18:65535,655.3&0:7.8
&1053&1619404875&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:145.9,10.1,984,14.83&18:65535,655.3&0:7.7
&1053&1619405175&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:145.9,10.1,984,14.83&18:65535,655.3&0:7.6
