:907&1612252032-1.9.0-281&17:296&32:194&33:213&18:105
&907&1612252225&17:10000,23.0&32:-1.0,-1.0,-1,-1.00&33:101.8,19.8,875,11.63&18:10000,17.8&0:46.7
&907&1612252560&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:101.4,20.0,876,11.58&18:10000,17.9&0:46.8
&907&1612252872&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:101.6,20.1,876,11.59&18:10000,17.9&0:46.4
&907&1612253172&17:10000,23.0&32:-1.0,-1.0,-1,-1.00&33:101.1,20.0,875,11.56&18:10000,17.9&0:46.0
&907&1612253472&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:101.2,19.9,875,11.57&18:10000,17.9&0:45.6
&907&1612253772&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:101.2,19.9,875,11.57&18:10000,17.8&0:45.4
&907&1612254072&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:101.2,19.9,875,11.57&18:10000,17.8&0:45.4
&907&1612254372&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:101.0,19.9,875,11.55&18:10000,17.9&0:45.3
&907&1612254672&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:101.0,19.9,875,11.54&18:10000,17.9&0:45.2
&907&1612254972&17:10000,23.4&32:-1.0,-1.0,-1,-1.00&33:101.0,20.0,875,11.54&18:10000,18.0&0:45.2
&907&1612255272&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:100.9,20.2,876,11.52&18:10000,18.1&0:45.3
&907&1612255572&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:101.1,20.2,876,11.54&18:10000,18.1&0:45.6
&907&1612255872&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:101.0,20.2,876,11.53&18:10000,18.2&0:45.4
&907&1612256172&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:100.9,20.3,876,11.52&18:10000,18.3&0:45.5
&907&1612256472&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:101.0,20.4,877,11.52&18:10000,18.4&0:45.8
&907&1612256772&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:101.0,20.5,877,11.51&18:10000,18.4&0:46.0
&907&1612257072&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:100.9,20.5,877,11.50&18:10000,18.5&0:46.1
&907&1612257372&17:10000,23.6&32:-1.0,-1.0,-1,-1.00&33:101.0,20.6,878,11.51&18:10000,18.5&0:46.2
&907&1612257672&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:100.8,20.7,878,11.48&18:10000,18.6&0:46.2
&907&1612257972&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:100.9,20.7,878,11.50&18:10000,18.7&0:46.4
&907&1612258272&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:100.7,20.7,878,11.47&18:10000,18.7&0:46.5
&907&1612258572&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:100.8,20.8,879,11.47&18:10000,18.7&0:46.3
&907&1612258872&17:10000,23.4&32:-1.0,-1.0,-1,-1.00&33:100.8,20.8,878,11.48&18:10000,18.8&0:46.2
&907&1612259172&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:100.8,20.8,878,11.48&18:10000,18.8&0:45.8
&907&1612259472&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:100.8,20.8,879,11.46&18:10000,18.8&0:45.7
&907&1612259772&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:100.8,20.9,879,11.47&18:10000,18.8&0:45.8
&907&1612260072&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:100.7,20.9,879,11.46&18:10000,18.8&0:46.0
&907&1612260372&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:100.7,20.9,879,11.45&18:10000,18.8&0:46.6
&907&1612260672&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:100.5,21.0,879,11.44&18:10000,18.9&0:46.6
&907&1612260972&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:100.7,21.1,880,11.44&18:10000,19.1&0:46.6
&907&1612261272&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:100.8,21.2,880,11.45&18:10000,19.2&0:46.6
&907&1612261572&17:10000,23.4&32:-1.0,-1.0,-1,-1.00&33:100.7,21.2,880,11.44&18:10000,19.2&0:46.6
&907&1612261872&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:100.6,21.2,880,11.44&18:10000,19.2&0:46.5
&907&1612262172&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:100.8,21.2,880,11.46&18:10000,19.2&0:46.8
&907&1612262472&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:100.8,21.2,881,11.45&18:10000,19.2&0:46.5
&907&1612262772&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:100.8,21.2,880,11.45&18:10000,19.2&0:46.5
&907&1612263072&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:100.7,21.1,880,11.44&18:10000,19.0&0:46.6
&907&1612263372&17:10000,22.9&32:-1.0,-1.0,-1,-1.00&33:100.8,21.1,880,11.45&18:10000,19.0&0:46.5
&907&1612263672&17:10000,23.0&32:-1.0,-1.0,-1,-1.00&33:100.7,21.1,880,11.44&18:10000,19.0&0:46.3
&907&1612263972&17:10000,22.8&32:-1.0,-1.0,-1,-1.00&33:100.5,21.1,879,11.44&18:10000,19.0&0:46.4
&907&1612264272&17:10000,22.9&32:-1.0,-1.0,-1,-1.00&33:100.8,21.1,879,11.46&18:10000,19.0&0:46.5
&907&1612264572&17:10000,22.9&32:-1.0,-1.0,-1,-1.00&33:100.6,21.1,879,11.44&18:10000,19.0&0:46.6
&907&1612264872&17:10000,22.9&32:-1.0,-1.0,-1,-1.00&33:100.7,21.1,880,11.44&18:10000,19.0&0:46.5
&907&1612265172&17:10000,23.0&32:-1.0,-1.0,-1,-1.00&33:100.8,21.1,880,11.46&18:10000,19.1&0:46.5
&907&1612265472&17:10000,23.0&32:-1.0,-1.0,-1,-1.00&33:100.8,21.1,880,11.46&18:10000,19.0&0:46.4
&907&1612265772&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:100.4,20.7,877,11.45&18:10000,18.5&0:46.5
&907&1612266072&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:100.5,20.5,877,11.46&18:10000,18.4&0:46.6
&907&1612266372&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:100.5,20.4,876,11.47&18:10000,18.4&0:46.7
&907&1612266672&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:100.3,20.4,876,11.45&18:10000,18.4&0:47.0
&907&1612266972&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:100.6,20.3,876,11.48&18:10000,18.3&0:47.1
