:610&1617625353-1.9.0-281&17:296&32:194&33:213&18:105
&610&1617625545&17:8493,14.6&32:124.6,15.4,976,12.77&33:191.0,15.7,980,19.49&18:10000,14.1&0:30.5
&610&1617625885&17:0,0.0&32:124.4,15.5,977,12.73&33:191.1,15.7,980,19.50&18:10000,14.0&0:30.5
&610&1617626194&17:0,0.0&32:124.0,15.5,977,12.69&33:191.2,15.7,980,19.51&18:65535,655.3&0:30.3
&610&1617626494&17:0,0.0&32:124.2,15.6,977,12.71&33:191.2,15.7,980,19.51&18:0,0.0&0:29.8
&610&1617626794&17:0,0.0&32:124.0,15.6,977,12.69&33:190.7,15.6,980,19.45&18:65535,655.3&0:29.7
&610&1617627094&17:8632,14.6&32:124.0,15.5,977,12.69&33:191.0,15.7,980,19.49&18:0,0.0&0:29.6
&610&1617627394&17:0,0.0&32:124.2,15.4,977,12.72&33:190.7,15.7,980,19.46&18:0,0.0&0:29.5
&610&1617627694&17:8622,14.6&32:124.5,15.5,977,12.74&33:191.0,15.7,980,19.49&18:0,0.0&0:29.5
&610&1617627994&17:0,0.0&32:124.4,15.5,977,12.73&33:191.2,15.7,980,19.51&18:65535,655.3&0:29.6
&610&1617628294&17:8540,14.6&32:124.1,15.6,977,12.70&33:190.8,15.7,980,19.47&18:0,0.0&0:29.6
&610&1617628594&17:0,0.0&32:124.3,15.6,977,12.72&33:191.2,15.6,980,19.51&18:0,0.0&0:29.5
&610&1617628894&17:0,0.0&32:124.3,15.6,977,12.72&33:191.2,15.7,980,19.51&18:0,0.0&0:29.5
&610&1617629194&17:0,0.0&32:124.3,15.6,977,12.73&33:191.1,15.7,980,19.50&18:65535,655.3&0:29.7
&610&1617629494&17:0,0.0&32:124.2,15.6,977,12.71&33:190.7,15.7,980,19.46&18:0,0.0&0:30.0
&610&1617629794&17:0,0.0&32:124.2,15.7,977,12.71&33:191.0,15.6,980,19.49&18:0,0.0&0:30.2
&610&1617630094&17:0,0.0&32:124.2,15.7,977,12.71&33:191.0,15.6,980,19.49&18:0,0.0&0:30.3
&610&1617630394&17:8468,14.7&32:124.2,15.7,977,12.72&33:191.0,15.6,980,19.49&18:0,0.0&0:30.5
&610&1617630694&17:0,0.0&32:124.0,15.7,977,12.69&33:191.1,15.7,980,19.50&18:0,0.0&0:30.9
&610&1617630994&17:8657,14.8&32:124.2,15.8,977,12.71&33:191.1,15.7,980,19.50&18:65535,655.3&0:31.8
&610&1617631294&17:0,0.0&32:123.9,15.8,978,12.67&33:190.8,15.7,980,19.47&18:0,0.0&0:32.4
&610&1617631594&17:0,0.0&32:123.8,15.8,978,12.65&33:190.8,15.7,980,19.47&18:65535,655.3&0:32.6
&610&1617631894&17:0,0.0&32:124.0,15.8,977,12.69&33:190.7,15.7,980,19.46&18:0,0.0&0:32.5
&610&1617632194&17:8587,14.8&32:123.8,15.8,977,12.67&33:190.7,15.6,980,19.46&18:65535,655.3&0:32.4
&610&1617632494&17:0,0.0&32:123.9,15.8,977,12.68&33:191.1,15.7,980,19.50&18:0,0.0&0:32.4
