:735&1602246497-1.9.0-281&17:296&32:194&33:213&18:105
&735&1602246601&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.6,12.4,891,12.97&18:10000,10.6&0:18.5
&735&1602246911&17:10000,10.4&32:-1.0,-1.0,-1,-1.00&33:115.4,12.5,891,12.96&18:10000,10.6&0:18.6
&735&1602247221&17:10000,10.4&32:-1.0,-1.0,-1,-1.00&33:115.5,12.5,891,12.96&18:10000,10.5&0:19.2
&735&1602247521&17:10000,10.4&32:0.0,0.0,0,0.00&33:115.4,12.4,891,12.96&18:10000,10.6&0:18.2
&735&1602247821&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.7,12.4,891,12.99&18:10000,10.6&0:17.8
&735&1602248121&17:10000,10.4&32:0.0,0.0,0,0.00&33:115.8,12.5,891,12.99&18:10000,10.6&0:17.6
&735&1602248421&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.4,12.4,891,12.95&18:10000,10.6&0:17.0
&735&1602248721&17:10000,10.3&32:-1.0,-1.0,-1,-1.00&33:115.8,12.4,891,13.00&18:10000,10.6&0:17.1
&735&1602249021&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.5,12.4,891,12.96&18:10000,10.6&0:17.3
&735&1602249321&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.4,12.4,891,12.95&18:10000,10.6&0:17.5
&735&1602249621&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.4,12.4,891,12.95&18:10000,10.6&0:17.5
&735&1602249921&17:10000,10.2&32:-1.0,-1.0,-1,-1.00&33:115.4,12.4,891,12.95&18:10000,10.6&0:17.9
&735&1602250221&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.3,12.4,891,12.94&18:10000,10.6&0:18.2
&735&1602250521&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.3,12.4,891,12.95&18:10000,10.5&0:18.6
&735&1602250821&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.3,12.4,891,12.94&18:10000,10.6&0:18.8
&735&1602251121&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.2,12.4,891,12.93&18:10000,10.5&0:19.0
&735&1602251421&17:10000,10.3&32:-1.0,-1.0,-1,-1.00&33:115.2,12.4,891,12.93&18:10000,10.6&0:19.0
&735&1602251721&17:10000,10.3&32:0.0,0.0,0,0.00&33:115.2,12.4,891,12.93&18:10000,10.5&0:19.1
&735&1602252021&17:10000,10.2&32:0.0,0.0,0,0.00&33:115.1,12.4,891,12.92&18:10000,10.6&0:19.1
&735&1602252321&17:10000,10.2&32:0.0,0.0,0,0.00&33:115.1,12.4,891,12.92&18:10000,10.5&0:19.2
&735&1602252621&17:10000,10.2&32:0.0,0.0,0,0.00&33:115.3,12.4,891,12.94&18:10000,10.5&0:19.6
&735&1602252921&17:10000,10.2&32:0.0,0.0,0,0.00&33:115.3,12.4,891,12.94&18:10000,10.5&0:19.5
&735&1602253221&17:10000,10.2&32:-1.0,-1.0,-1,-1.00&33:115.1,12.4,891,12.92&18:10000,10.5&0:19.2
&735&1602253521&17:10000,10.2&32:-1.0,-1.0,-1,-1.00&33:115.2,12.4,891,12.93&18:10000,10.5&0:18.6
&735&1602253821&17:10000,10.2&32:0.0,0.0,0,0.00&33:115.1,12.4,891,12.92&18:10000,10.5&0:18.0
&735&1602254121&17:10000,10.1&32:-1.0,-1.0,-1,-1.00&33:114.9,12.4,891,12.90&18:10000,10.5&0:17.4
&735&1602254421&17:10000,10.1&32:0.0,0.0,0,0.00&33:115.2,12.4,891,12.93&18:10000,10.6&0:16.9
&735&1602254721&17:10000,10.2&32:0.0,0.0,0,0.00&33:115.0,12.4,891,12.90&18:10000,10.5&0:16.4
&735&1602255021&17:10000,10.1&32:0.0,0.0,0,0.00&33:115.1,12.4,891,12.92&18:10000,10.5&0:16.0
&735&1602255321&17:10000,10.1&32:-1.0,-1.0,-1,-1.00&33:115.2,12.4,891,12.93&18:10000,10.5&0:15.8
&735&1602255621&17:10000,10.1&32:-1.0,-1.0,-1,-1.00&33:115.1,12.4,891,12.92&18:10000,10.5&0:15.6
&735&1602255921&17:10000,10.1&32:-1.0,-1.0,-1,-1.00&33:115.1,12.4,891,12.92&18:10000,10.5&0:15.1
&735&1602256221&17:10000,10.1&32:-1.0,-1.0,-1,-1.00&33:115.1,12.4,891,12.92&18:10000,10.5&0:14.8
&735&1602256521&17:10000,10.1&32:0.0,0.0,0,0.00&33:115.2,12.4,891,12.93&18:10000,10.5&0:14.7
&735&1602256821&17:10000,10.1&32:0.0,0.0,0,0.00&33:115.1,12.4,891,12.92&18:10000,10.5&0:14.3
&735&1602257121&17:10000,10.1&32:0.0,0.0,0,0.00&33:115.0,12.4,891,12.90&18:10000,10.5&0:14.2
&735&1602257421&17:10000,10.1&32:-1.0,-1.0,-1,-1.00&33:115.0,12.4,891,12.91&18:10000,10.5&0:14.0
&735&1602257721&17:10000,10.1&32:0.0,0.0,0,0.00&33:115.0,12.4,891,12.91&18:10000,10.5&0:13.7
&735&1602258021&17:10000,10.1&32:0.0,0.0,0,0.00&33:114.9,12.4,891,12.89&18:10000,10.5&0:13.6
&735&1602258321&17:10000,10.0&32:-1.0,-1.0,-1,-1.00&33:114.9,12.4,891,12.90&18:10000,10.5&0:13.1
&735&1602258621&17:10000,10.1&32:0.0,0.0,0,0.00&33:114.8,12.4,891,12.88&18:10000,10.5&0:13.1
&735&1602258921&17:10000,10.0&32:0.0,0.0,0,0.00&33:114.9,12.4,891,12.89&18:10000,10.5&0:12.8
&735&1602259221&17:10000,10.1&32:0.0,0.0,0,0.00&33:114.8,12.4,891,12.88&18:10000,10.4&0:12.9
&735&1602259521&17:10000,10.1&32:0.0,0.0,0,0.00&33:114.8,12.4,891,12.88&18:10000,10.5&0:12.5
&735&1602259821&17:10000,10.0&32:0.0,0.0,0,0.00&33:114.8,12.4,891,12.88&18:10000,10.4&0:12.5
&735&1602260121&17:10000,10.1&32:0.0,0.0,0,0.00&33:114.8,12.4,891,12.88&18:10000,10.5&0:12.3
&735&1602260421&17:10000,10.0&32:-1.0,-1.0,-1,-1.00&33:114.7,12.4,891,12.88&18:10000,10.5&0:12.0
&735&1602260721&17:10000,10.1&32:0.0,0.0,0,0.00&33:114.8,12.4,891,12.88&18:10000,10.4&0:11.9
&735&1602261021&17:10000,10.1&32:-1.0,-1.0,-1,-1.00&33:114.9,12.4,891,12.89&18:10000,10.5&0:11.5
&735&1602261321&17:10000,10.0&32:0.0,0.0,0,0.00&33:114.6,12.4,891,12.86&18:10000,10.5&0:11.4
&735&1602261621&17:10000,10.0&32:0.0,0.0,0,0.00&33:114.9,12.4,891,12.90&18:10000,10.4&0:11.2
&735&1602261921&17:10000,10.0&32:0.0,0.0,0,0.00&33:114.6,12.4,891,12.86&18:10000,10.5&0:10.9
&735&1602262221&17:10000,10.0&32:0.0,0.0,0,0.00&33:114.6,12.4,891,12.86&18:10000,10.5&0:10.9
&735&1602262521&17:10000,10.1&32:0.0,0.0,0,0.00&33:114.5,12.4,891,12.85&18:10000,10.5&0:10.5
&735&1602262821&17:10000,10.0&32:0.0,0.0,0,0.00&33:114.8,12.4,891,12.89&18:10000,10.5&0:10.2
&735&1602263121&17:10000,10.0&32:0.0,0.0,0,0.00&33:114.8,12.4,891,12.89&18:10000,10.5&0:10.0
&735&1602263421&17:10000,10.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,10.5&0:9.6
&735&1602263721&17:10000,10.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.5&0:9.5
&735&1602264021&17:10000,10.0&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,10.5&0:9.3
&735&1602264321&17:10000,10.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,10.5&0:9.1
&735&1602264621&17:10000,10.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,10.4&0:8.8
&735&1602264921&17:10000,10.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,10.5&0:8.6
&735&1602265221&17:10000,10.0&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,10.4&0:8.5
&735&1602265521&17:10000,10.0&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,10.4&0:8.4
&735&1602265821&17:10000,10.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.4&0:8.2
&735&1602266121&17:10000,10.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,10.4&0:8.1
&735&1602266421&17:10000,10.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,10.4&0:8.0
&735&1602266721&17:10000,9.9&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,10.4&0:7.7
