:738&1602509593-1.9.0-281&17:296&32:194&33:213&18:105
&738&1602509700&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:117.1,11.5,892,13.13&18:10000,9.6&0:24.3
&738&1602510012&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:117.3,11.5,892,13.15&18:10000,9.6&0:24.4
&738&1602510322&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:117.3,11.6,892,13.16&18:10000,9.6&0:24.7
&738&1602510622&17:10000,9.4&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.7&0:24.1
&738&1602510922&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:117.5,11.6,892,13.17&18:10000,9.7&0:23.7
&738&1602511222&17:10000,9.4&32:-1.0,-1.0,-1,-1.00&33:117.4,11.6,892,13.16&18:10000,9.6&0:23.7
&738&1602511522&17:10000,9.4&32:-1.0,-1.0,-1,-1.00&33:117.5,11.6,892,13.17&18:10000,9.6&0:24.0
&738&1602511822&17:10000,9.4&32:-1.0,-1.0,-1,-1.00&33:117.3,11.5,892,13.15&18:10000,9.6&0:24.6
&738&1602512122&17:10000,9.4&32:-1.0,-1.0,-1,-1.00&33:117.3,11.5,892,13.15&18:10000,9.5&0:24.9
&738&1602512422&17:10000,9.4&32:-1.0,-1.0,-1,-1.00&33:117.5,11.5,892,13.18&18:10000,9.5&0:25.0
&738&1602512722&17:10000,9.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:24.6
&738&1602513022&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:117.6,11.5,892,13.18&18:10000,9.5&0:24.1
&738&1602513322&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:117.5,11.4,892,13.17&18:10000,9.5&0:23.6
&738&1602513622&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:117.7,11.4,892,13.19&18:10000,9.5&0:23.2
&738&1602513922&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:22.7
&738&1602514222&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:22.4
&738&1602514522&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,9.5&0:22.1
&738&1602514822&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:21.7
&738&1602515122&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.6&0:21.3
&738&1602515422&17:10000,9.4&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,9.5&0:21.1
&738&1602515722&17:10000,9.4&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.6&0:20.8
&738&1602516022&17:10000,9.4&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:20.5
&738&1602516322&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:117.5,11.5,892,13.18&18:10000,9.6&0:20.1
&738&1602516622&17:10000,9.3&32:0.0,0.0,0,0.00&33:117.5,11.5,892,13.18&18:10000,9.6&0:19.8
&738&1602516922&17:10000,9.4&32:0.0,0.0,0,0.00&33:117.8,11.5,892,13.20&18:10000,9.5&0:19.5
&738&1602517222&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:117.5,11.5,892,13.17&18:10000,9.5&0:19.1
&738&1602517522&17:10000,9.3&32:-1.0,-1.0,-1,-1.00&33:117.5,11.5,892,13.17&18:10000,9.5&0:18.7
&738&1602517822&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:117.8,11.5,892,13.20&18:10000,9.5&0:18.4
&738&1602518122&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:18.1
&738&1602518422&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:17.9
&738&1602518722&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:17.6
&738&1602519022&17:10000,9.2&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,9.5&0:17.3
&738&1602519322&17:10000,9.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:16.9
&738&1602519622&17:10000,9.1&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,9.5&0:16.6
&738&1602519922&17:10000,9.1&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:16.4
&738&1602520222&17:10000,9.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,9.5&0:16.2
&738&1602520522&17:10000,9.1&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:15.9
&738&1602520822&17:10000,9.1&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,9.5&0:15.7
&738&1602521122&17:10000,9.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:15.5
&738&1602521422&17:10000,9.1&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:15.2
&738&1602521722&17:10000,9.1&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.5&0:14.9
&738&1602522022&17:10000,9.1&32:-1.0,-1.0,-1,-1.00&33:117.3,11.5,892,13.16&18:10000,9.5&0:14.7
&738&1602522322&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.5,11.5,892,13.18&18:10000,9.5&0:14.5
&738&1602522622&17:10000,9.1&32:-1.0,-1.0,-1,-1.00&33:117.6,11.5,892,13.18&18:10000,9.5&0:14.3
&738&1602522922&17:10000,9.1&32:0.0,0.0,0,0.00&33:117.5,11.4,892,13.18&18:10000,9.5&0:14.1
&738&1602523222&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.5,11.4,892,13.18&18:10000,9.5&0:14.0
&738&1602523522&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.5,11.4,892,13.18&18:10000,9.5&0:13.7
&738&1602523822&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.8,11.4,892,13.21&18:10000,9.4&0:13.5
&738&1602524122&17:10000,9.1&32:0.0,0.0,0,0.00&33:117.8,11.4,892,13.21&18:10000,9.4&0:13.3
&738&1602524422&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.5,11.5,892,13.18&18:10000,9.4&0:13.2
&738&1602524722&17:10000,9.0&32:0.0,0.0,0,0.00&33:117.8,11.4,892,13.21&18:10000,9.5&0:13.1
&738&1602525022&17:10000,9.0&32:0.0,0.0,0,0.00&33:117.5,11.4,892,13.17&18:10000,9.5&0:13.0
&738&1602525322&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.8,11.4,892,13.20&18:10000,9.5&0:12.8
&738&1602525622&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.5,11.4,892,13.18&18:10000,9.5&0:12.6
&738&1602525922&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.7,11.4,892,13.20&18:10000,9.4&0:12.4
&738&1602526222&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.7,11.4,892,13.20&18:10000,9.5&0:12.3
&738&1602526522&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:117.7,11.4,892,13.20&18:10000,9.4&0:12.2
&738&1602526822&17:10000,8.9&32:0.0,0.0,0,0.00&33:117.6,11.4,892,13.18&18:10000,9.4&0:12.1
&738&1602527122&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.4,11.4,892,13.16&18:10000,9.4&0:12.0
&738&1602527422&17:10000,9.0&32:0.0,0.0,0,0.00&33:117.6,11.4,892,13.19&18:10000,9.4&0:11.9
&738&1602527722&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.6,11.4,892,13.19&18:10000,9.4&0:11.7
&738&1602528022&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,9.4&0:11.6
