:827&1601373191-1.9.0-281&17:296&32:194&33:213&18:105
&827&1601373302&17:10000,4.0&32:1.0,194.4,3,1.00&33:0.0,0.0,0,0.00&18:10000,3.3&0:7.4
&827&1601373611&17:10000,4.0&32:147.1,167.3,198,239.20&33:146.4,5.5,956,15.32&18:10000,3.4&0:8.0
&827&1601373922&17:10000,4.0&32:300.0,185.7,200,300.00&33:146.2,5.5,956,15.29&18:10000,3.4&0:8.5
&827&1601374222&17:10000,4.0&32:300.0,0.0,0,0.00&33:146.4,5.5,956,15.32&18:10000,3.3&0:8.0
&827&1601374522&17:10000,4.0&32:300.0,220.9,4,1.00&33:146.4,5.4,956,15.32&18:10000,3.4&0:7.7
&827&1601374822&17:10000,4.0&32:0.0,18.3,148,229.70&33:146.4,5.5,956,15.31&18:10000,3.4&0:7.6
&827&1601375122&17:10000,4.0&32:191.5,261.0,300,300.00&33:146.2,5.5,956,15.29&18:10000,3.5&0:7.5
&827&1601375422&17:10000,4.0&32:300.0,232.9,167,168.90&33:146.5,5.7,957,15.31&18:10000,3.7&0:7.6
&827&1601375722&17:10000,4.0&32:300.0,69.7,300,224.20&33:146.5,5.9,958,15.29&18:10000,3.8&0:7.7
&827&1601376022&17:10000,4.0&32:300.0,0.0,0,95.60&33:146.6,6.0,958,15.30&18:10000,3.9&0:7.8
&827&1601376322&17:10000,4.0&32:209.3,300.0,295,300.00&33:146.5,6.3,959,15.28&18:10000,4.2&0:7.8
&827&1601376622&17:10000,4.0&32:0.0,0.0,300,205.30&33:146.6,6.4,959,15.29&18:10000,4.2&0:7.8
&827&1601376922&17:10000,4.0&32:300.0,300.0,300,208.80&33:146.3,6.3,960,15.24&18:10000,4.2&0:7.8
&827&1601377222&17:10000,4.0&32:300.0,300.0,203,300.00&33:146.6,6.4,960,15.27&18:10000,4.3&0:7.9
&827&1601377522&17:10000,4.0&32:300.0,195.2,200,208.20&33:146.4,6.5,960,15.25&18:10000,4.3&0:8.0
&827&1601377822&17:10000,4.0&32:300.0,226.1,300,233.10&33:146.4,6.5,960,15.25&18:10000,4.3&0:7.8
&827&1601378122&17:10000,3.9&32:251.3,287.4,300,300.00&33:146.5,6.5,960,15.26&18:10000,4.3&0:7.8
&827&1601378422&17:10000,4.0&32:0.0,0.0,0,156.70&33:146.4,6.4,960,15.25&18:10000,4.4&0:7.8
&827&1601378722&17:10000,4.0&32:0.0,120.4,173,176.70&33:146.6,6.4,960,15.27&18:10000,4.3&0:7.8
&827&1601379022&17:10000,4.0&32:300.0,300.0,2,1.00&33:146.4,6.2,959,15.26&18:10000,4.2&0:7.6
&827&1601379322&17:10000,3.9&32:300.0,300.0,300,2.00&33:146.6,6.1,959,15.28&18:10000,4.1&0:7.7
&827&1601379622&17:10000,4.0&32:105.9,251.6,2,1.00&33:146.4,6.1,959,15.26&18:10000,4.0&0:7.7
&827&1601379922&17:10000,4.0&32:0.0,0.0,2,1.00&33:146.6,6.0,958,15.31&18:10000,3.9&0:7.7
&827&1601380222&17:10000,4.0&32:159.7,300.0,2,1.00&33:146.3,6.0,958,15.27&18:10000,3.9&0:7.7
&827&1601380522&17:10000,4.0&32:300.0,0.0,2,1.00&33:146.6,6.0,958,15.30&18:10000,3.9&0:7.8
&827&1601380822&17:10000,4.0&32:300.0,0.0,300,196.30&33:146.2,6.0,958,15.27&18:10000,3.9&0:7.7
&827&1601381122&17:10000,4.0&32:271.3,0.0,217,188.50&33:146.2,6.0,958,15.26&18:10000,3.9&0:7.6
&827&1601381422&17:10000,4.0&32:300.0,0.0,2,1.00&33:146.6,6.0,958,15.30&18:10000,3.9&0:7.5
