:953&1602245022-1.9.0-281&17:296&32:194&33:213&18:105
&953&1602245102&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:116.7,22.1,896,13.03&18:65535,655.3&0:48.5
&953&1602245415&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:116.9,22.1,896,13.04&18:65535,655.3&0:45.4
&953&1602245725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:116.8,22.1,896,13.04&18:65535,655.3&0:44.5
&953&1602246025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.0,22.2,896,13.05&18:65535,655.3&0:43.0
&953&1602246325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:116.9,22.1,896,13.04&18:65535,655.3&0:42.6
&953&1602246625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:116.9,22.2,896,13.04&18:65535,655.3&0:42.8
&953&1602246925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.0,22.1,896,13.06&18:65535,655.3&0:42.5
&953&1602247225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.0,22.2,896,13.06&18:65535,655.3&0:42.8
&953&1602247525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.0,22.1,896,13.06&18:65535,655.3&0:42.1
&953&1602247825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.0,22.1,896,13.06&18:65535,655.3&0:42.2
&953&1602248125&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:116.8,22.2,896,13.04&18:65535,655.3&0:41.4
&953&1602248425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.1,22.2,896,13.07&18:65535,655.3&0:41.3
&953&1602248725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.1,22.1,896,13.07&18:65535,655.3&0:41.0
&953&1602249025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.3,22.2,896,13.09&18:65535,655.3&0:40.6
&953&1602249325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.3,22.2,896,13.09&18:65535,655.3&0:40.3
&953&1602249625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.2,22.1,896,13.08&18:65535,655.3&0:39.8
&953&1602249925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.3,22.1,896,13.09&18:65535,655.3&0:39.1
&953&1602250225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.3,22.2,896,13.09&18:65535,655.3&0:38.7
&953&1602250525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.2,22.2,896,13.08&18:65535,655.3&0:38.0
&953&1602250825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.4,22.2,896,13.11&18:65535,655.3&0:37.7
&953&1602251125&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.2,22.2,896,13.08&18:65535,655.3&0:37.3
&953&1602251425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.3,22.2,896,13.09&18:65535,655.3&0:36.7
&953&1602251725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.2,22.2,896,13.08&18:65535,655.3&0:36.6
&953&1602252025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.4,22.2,896,13.10&18:65535,655.3&0:36.3
&953&1602252325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.4,22.2,896,13.11&18:65535,655.3&0:35.9
&953&1602252625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.2,897,13.10&18:65535,655.3&0:36.0
&953&1602252925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.3,22.3,897,13.08&18:65535,655.3&0:35.9
