:875&1608728987-1.9.0-281&17:296&32:194&33:213&18:105
&875&1608729345&17:0,0.0&32:0.0,0.0,0,0.00&33:215.8,19.4,1053,20.49&18:10000,17.1&0:49.9
&875&1608729685&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:215.6,19.4,1053,20.48&18:10000,17.1&0:49.6
&875&1608729985&17:10000,20.5&32:-1.0,-1.0,-1,-1.00&33:216.0,19.3,1053,20.51&18:10000,17.1&0:48.4
&875&1608730285&17:10000,20.5&32:-1.0,-1.0,-1,-1.00&33:216.2,19.3,1053,20.53&18:10000,17.0&0:47.6
&875&1608730585&17:10000,20.6&32:0.0,0.0,0,0.00&33:1.0,216.0,1052,20.53&18:10000,17.0&0:47.0
&875&1608730885&17:0,0.0&32:0.0,0.0,0,0.00&33:1.0,216.3,1052,20.56&18:10000,16.9&0:46.3
&875&1608731185&17:10000,20.7&32:0.0,0.0,0,0.00&33:1.0,215.9,1053,20.51&18:10000,17.1&0:46.0
&875&1608731485&17:0,0.0&32:0.0,0.0,0,0.00&33:1.0,216.2,1053,20.53&18:10000,17.1&0:45.5
&875&1608731785&17:0,0.0&32:0.0,0.0,0,0.00&33:1.0,216.3,1053,20.54&18:10000,17.2&0:45.0
&875&1608732085&17:0,0.0&32:0.0,0.0,0,0.00&33:1.0,216.4,1054,20.53&18:10000,17.3&0:44.8
&875&1608732385&17:0,0.0&32:0.0,0.0,0,0.00&33:1.0,216.3,1054,20.52&18:10000,17.4&0:44.7
&875&1608732685&17:0,0.0&32:0.0,0.0,0,0.00&33:1.0,216.5,1054,20.54&18:10000,17.3&0:44.5
&875&1608732985&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:216.4,19.4,1054,20.53&18:10000,17.3&0:44.4
&875&1608733285&17:10000,20.8&32:0.0,0.0,0,0.00&33:1.0,216.7,1054,20.56&18:10000,17.2&0:44.4
&875&1608733585&17:10000,20.8&32:0.0,0.0,0,0.00&33:216.6,19.3,1054,20.55&18:10000,17.2&0:44.4
&875&1608733885&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:216.4,19.5,1055,20.51&18:10000,17.3&0:44.7
&875&1608734185&17:10000,20.7&32:0.0,0.0,0,0.00&33:1.0,216.4,1055,20.51&18:10000,17.5&0:44.2
&875&1608734485&17:10000,20.7&32:0.0,0.0,0,0.00&33:1.0,217.0,1056,20.55&18:10000,17.5&0:44.1
&875&1608734785&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:216.8,19.7,1056,20.53&18:10000,17.6&0:43.9
&875&1608735085&17:10000,21.0&32:-1.0,-1.0,-1,-1.00&33:217.2,19.7,1056,20.56&18:10000,17.6&0:43.9
&875&1608735385&17:10000,21.0&32:0.0,0.0,0,0.00&33:1.0,217.1,1056,20.56&18:10000,17.7&0:43.6
&875&1608735685&17:10000,21.1&32:-1.0,-1.0,-1,-1.00&33:217.0,19.8,1057,20.53&18:10000,17.7&0:43.3
&875&1608735985&17:10000,21.0&32:0.0,0.0,0,0.00&33:1.0,217.4,1057,20.56&18:10000,17.7&0:43.0
&875&1608736285&17:10000,21.0&32:0.0,0.0,0,0.00&33:1.0,217.3,1057,20.56&18:10000,17.7&0:42.8
&875&1608736585&17:10000,20.9&32:0.0,0.0,0,0.00&33:1.0,217.4,1057,20.57&18:10000,17.7&0:42.4
&875&1608736885&17:0,0.0&32:0.0,0.0,0,0.00&33:1.0,217.7,1057,20.60&18:10000,17.6&0:42.1
&875&1608737185&17:10000,21.1&32:0.0,0.0,0,0.00&33:1.0,217.4,1056,20.59&18:10000,17.6&0:41.9
&875&1608737485&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:217.4,19.7,1056,20.59&18:10000,17.5&0:41.6
&875&1608737785&17:10000,21.0&32:0.0,0.0,0,0.00&33:1.0,217.5,1056,20.60&18:10000,17.3&0:41.2
&875&1608738085&17:10000,21.0&32:0.0,0.0,0,0.00&33:1.0,217.3,1055,20.59&18:10000,17.2&0:40.9
&875&1608738385&17:10000,21.1&32:-1.0,-1.0,-1,-1.00&33:217.3,19.5,1055,20.59&18:10000,17.2&0:40.8
&875&1608738685&17:10000,21.0&32:0.0,0.0,0,0.00&33:1.0,217.3,1056,20.58&18:10000,17.3&0:40.4
&875&1608738985&17:10000,21.0&32:0.0,0.0,0,0.00&33:1.0,217.8,1056,20.63&18:10000,17.4&0:40.2
&875&1608739285&17:10000,20.9&32:0.0,0.0,0,0.00&33:1.0,217.4,1056,20.59&18:10000,17.4&0:39.7
&875&1608739585&17:10000,21.0&32:0.0,0.0,0,0.00&33:1.0,217.7,1056,20.61&18:10000,17.5&0:39.6
