:819&1611236963-1.9.0-281&17:296&32:194&33:213&18:105
&819&1611237001&17:10000,1.5&32:281.2,281.4,254,250.10&33:-1.0,-1.0,-1,-1.00&18:10000,1.6&0:21.0
&819&1611237325&17:10000,1.5&32:269.0,264.8,270,283.30&33:139.5,3.7,929,15.01&18:10000,1.6&0:20.6
&819&1611237660&17:10000,1.5&32:300.0,294.1,261,261.90&33:139.4,3.7,929,15.01&18:10000,1.6&0:20.3
&819&1611237960&17:10000,1.5&32:300.0,300.0,279,300.00&33:139.4,3.7,929,15.01&18:10000,1.6&0:19.5
&819&1611238260&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,139.4,929,15.00&18:10000,1.6&0:18.6
&819&1611238560&17:10000,1.4&32:1.0,1.0,1,1.00&33:1.0,139.7,929,15.04&18:10000,1.6&0:18.3
&819&1611238860&17:10000,1.4&32:300.0,300.0,300,300.00&33:139.4,3.7,929,15.01&18:10000,1.6&0:18.5
&819&1611239160&17:10000,1.4&32:115.1,276.5,300,300.00&33:139.2,3.7,929,14.98&18:10000,1.6&0:18.0
&819&1611239460&17:10000,1.4&32:300.0,300.0,300,300.00&33:139.4,3.7,929,15.01&18:10000,1.6&0:18.4
&819&1611239760&17:10000,1.4&32:1.0,1.0,1,1.00&33:1.0,139.1,929,14.98&18:10000,1.6&0:17.7
&819&1611240060&17:10000,1.3&32:1.0,1.0,1,1.00&33:1.0,139.4,929,15.01&18:10000,1.6&0:17.6
&819&1611240360&17:10000,1.3&32:1.0,1.0,1,1.00&33:1.0,139.4,929,15.01&18:10000,1.6&0:17.4
&819&1611240660&17:10000,1.3&32:1.0,1.0,1,1.00&33:1.0,139.4,929,15.00&18:10000,1.6&0:17.2
&819&1611240960&17:10000,1.3&32:1.0,1.0,1,1.00&33:1.0,139.3,929,15.00&18:10000,1.6&0:17.2
&819&1611241260&17:10000,1.3&32:300.0,300.0,300,300.00&33:139.4,3.7,929,15.00&18:10000,1.6&0:17.6
&819&1611241560&17:10000,1.3&32:300.0,300.0,300,300.00&33:139.3,3.7,929,15.00&18:10000,1.6&0:17.6
&819&1611241860&17:10000,1.3&32:97.7,284.8,300,2.00&33:139.3,3.7,929,14.99&18:10000,1.6&0:17.1
&819&1611242160&17:10000,1.3&32:1.0,1.0,1,1.00&33:1.0,139.6,929,15.02&18:10000,1.6&0:17.0
&819&1611242460&17:10000,1.3&32:0.0,2.0,1,1.00&33:1.0,139.6,4,15.02&18:10000,1.6&0:16.9
&819&1611242760&17:10000,1.3&32:0.0,106.5,300,300.00&33:139.3,3.7,929,14.99&18:10000,1.6&0:17.1
