:796&1607981296-1.9.0-281&17:296&32:194&33:213&18:105
&796&1607981401&17:10000,1.9&32:2.0,1.0,1,1.00&33:129.6,4.2,902,14.37&18:10000,2.2&0:14.5
&796&1607981708&17:10000,1.9&32:0.0,0.0,0,0.00&33:129.9,4.3,902,14.40&18:10000,2.3&0:14.1
&796&1607982019&17:10000,1.9&32:0.0,0.0,0,0.00&33:129.9,4.3,902,14.40&18:10000,2.2&0:14.3
&796&1607982319&17:10000,1.9&32:0.0,0.0,0,0.00&33:129.9,4.4,902,14.40&18:10000,2.3&0:13.3
&796&1607982619&17:10000,1.8&32:0.0,0.0,0,2.00&33:129.9,4.3,902,14.40&18:10000,2.3&0:12.8
&796&1607982919&17:10000,1.9&32:0.0,0.0,0,0.00&33:129.8,4.3,902,14.39&18:10000,2.2&0:12.4
&796&1607983219&17:10000,1.8&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.2&0:11.8
&796&1607983519&17:10000,1.8&32:0.0,0.0,0,0.00&33:129.8,4.2,902,14.39&18:10000,2.2&0:12.0
&796&1607983819&17:10000,1.8&32:0.0,0.0,0,0.00&33:129.7,4.2,902,14.39&18:10000,2.2&0:11.8
&796&1607984119&17:10000,1.8&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.2&0:11.2
&796&1607984419&17:10000,1.8&32:0.0,0.0,0,0.00&33:130.1,4.2,902,14.42&18:10000,2.2&0:11.6
&796&1607984719&17:10000,1.8&32:0.0,0.0,0,0.00&33:130.0,4.2,902,14.42&18:10000,2.2&0:10.9
&796&1607985019&17:10000,1.8&32:0.0,0.0,0,0.00&33:129.7,4.2,902,14.37&18:10000,2.2&0:10.7
&796&1607985319&17:10000,1.8&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.2&0:10.5
&796&1607985619&17:10000,1.8&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.2&0:10.4
&796&1607985919&17:10000,1.8&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.2&0:10.4
&796&1607986219&17:10000,1.9&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,2.2&0:10.3
&796&1607986519&17:10000,1.8&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,2.2&0:10.2
&796&1607986819&17:10000,1.8&32:0.0,0.0,0,0.00&33:129.9,4.2,902,14.40&18:10000,2.2&0:10.5
&796&1607987119&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.8,4.2,902,14.39&18:10000,2.2&0:10.3
&796&1607987419&17:10000,1.8&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.2&0:9.8
&796&1607987719&17:10000,1.8&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.2&0:9.8
&796&1607988019&17:10000,1.8&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.2&0:9.7
&796&1607988319&17:10000,1.8&32:0.0,0.0,0,0.00&33:129.6,4.2,902,14.36&18:10000,2.2&0:10.0
&796&1607988619&17:10000,1.8&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,2.1&0:9.6
&796&1607988919&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.5,4.2,902,14.36&18:10000,2.1&0:9.8
&796&1607989219&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.8,4.2,902,14.39&18:10000,2.2&0:9.6
&796&1607989519&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.5,4.2,902,14.35&18:10000,2.1&0:9.4
&796&1607989819&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.7,4.2,902,14.38&18:10000,2.1&0:9.2
