:723&1601373196-1.9.0-281&17:296&32:194&33:213&18:105
&723&1601373302&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:118.4,16.4,906,13.07&18:10000,14.4&0:24.7
&723&1601373612&17:0,0.0&32:0.0,0.0,0,0.00&33:118.6,16.3,906,13.09&18:10000,14.5&0:27.7
&723&1601373921&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:118.5,16.3,906,13.08&18:10000,14.5&0:29.8
&723&1601374221&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:118.3,16.3,906,13.06&18:10000,14.4&0:30.5
&723&1601374521&17:10000,14.4&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:27.0
&723&1601374821&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.5&0:26.4
&723&1601375121&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:118.7,16.3,906,13.10&18:10000,14.4&0:23.9
&723&1601375421&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:118.7,16.3,906,13.10&18:10000,14.5&0:23.4
&723&1601375721&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:118.7,16.3,906,13.10&18:10000,14.4&0:25.6
&723&1601376021&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:26.1
&723&1601376321&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:26.4
&723&1601376621&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:26.6
&723&1601376921&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:27.0
&723&1601377221&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:27.3
&723&1601377521&17:10000,14.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:27.5
&723&1601377821&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:27.7
&723&1601378121&17:65535,655.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:27.7
&723&1601378421&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:27.9
&723&1601378721&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:28.0
&723&1601379021&17:0,0.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:28.0
&723&1601379321&17:0,0.0&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:28.2
&723&1601379621&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:28.4
&723&1601379921&17:0,0.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:28.7
&723&1601380221&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:28.8
&723&1601380521&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:28.9
&723&1601380821&17:0,0.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:29.0
&723&1601381121&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:29.0
&723&1601381421&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:29.3
&723&1601381721&17:0,0.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:29.5
&723&1601382021&17:65535,655.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:29.9
&723&1601382321&17:65535,655.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:30.4
&723&1601382621&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:30.7
&723&1601382921&17:0,0.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:30.7
&723&1601383221&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:30.5
&723&1601383521&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:30.4
&723&1601383821&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:119.6,16.3,906,13.20&18:10000,14.4&0:30.4
&723&1601384121&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:30.4
&723&1601384421&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:30.5
&723&1601384721&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:30.4
&723&1601385021&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:30.3
&723&1601385321&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:30.0
&723&1601385621&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:119.6,16.3,906,13.20&18:10000,14.4&0:29.9
&723&1601385921&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:29.9
&723&1601386221&17:65535,655.3&32:0.0,0.0,0,0.00&33:119.6,16.2,906,13.20&18:10000,14.4&0:29.8
