:724&1601387188-1.9.0-281&17:296&32:194&33:213&18:105
&724&1601387399&17:65535,655.3&32:0.0,0.0,0,0.00&33:119.9,16.2,906,13.23&18:10000,14.3&0:27.7
&724&1601387720&17:0,0.0&32:0.0,0.0,0,0.00&33:119.8,16.2,906,13.22&18:10000,14.3&0:28.7
&724&1601388030&17:65535,655.3&32:0.0,0.0,0,0.00&33:119.7,16.1,906,13.21&18:10000,14.3&0:28.5
&724&1601388330&17:65535,655.3&32:0.0,0.0,0,0.00&33:119.7,16.2,906,13.21&18:10000,14.4&0:28.2
&724&1601388630&17:65535,655.3&32:0.0,0.0,0,0.00&33:119.7,16.2,906,13.21&18:10000,14.3&0:27.9
&724&1601388930&17:65535,655.3&32:0.0,0.0,0,0.00&33:119.6,16.2,906,13.20&18:10000,14.4&0:27.7
&724&1601389230&17:65535,655.3&32:0.0,0.0,0,0.00&33:119.7,16.2,906,13.21&18:10000,14.4&0:27.6
&724&1601389530&17:65535,655.3&32:0.0,0.0,0,0.00&33:119.7,16.2,906,13.21&18:10000,14.4&0:27.5
&724&1601389830&17:65535,655.3&32:0.0,0.0,0,0.00&33:119.7,16.2,906,13.22&18:10000,14.4&0:27.2
&724&1601390130&17:65535,655.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:26.7
&724&1601390430&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:26.4
&724&1601390730&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:26.2
&724&1601391030&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:26.3
&724&1601391330&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:26.1
&724&1601391630&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:25.5
&724&1601391930&17:65535,655.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:25.7
&724&1601392230&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:25.1
&724&1601392530&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:24.9
&724&1601392830&17:65535,655.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:24.6
&724&1601393130&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:24.5
&724&1601393430&17:65535,655.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.4&0:24.3
&724&1601393730&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.4&0:24.1
&724&1601394030&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.5&0:23.9
&724&1601394330&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.5&0:23.5
&724&1601394630&17:0,0.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.5&0:23.3
&724&1601394930&17:10000,14.6&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.5&0:23.0
&724&1601395230&17:10000,14.6&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:22.6
&724&1601395530&17:10000,14.5&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.9&0:22.3
&724&1601395830&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.9&0:21.9
&724&1601396130&17:10000,14.4&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.9&0:21.4
&724&1601396430&17:10000,14.4&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.8&0:21.0
