:983&1605005574-1.9.0-281&17:296&32:194&33:213&18:105
&983&1605005699&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.7,21.9,923,13.83&18:65535,655.3&0:32.9
&983&1605006008&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.9,21.8,923,13.85&18:65535,655.3&0:34.2
&983&1605006320&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:127.9,21.8,923,13.85&18:65535,655.3&0:35.0
&983&1605006620&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:127.9,21.8,923,13.85&18:65535,655.3&0:34.7
&983&1605006920&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.9,21.9,923,13.86&18:65535,655.3&0:35.1
&983&1605007220&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.9,21.8,923,13.86&18:65535,655.3&0:35.0
&983&1605007520&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.9,21.8,923,13.86&18:65535,655.3&0:35.0
&983&1605007820&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.9,21.8,923,13.86&18:65535,655.3&0:35.0
&983&1605008120&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.9,21.8,923,13.86&18:65535,655.3&0:35.0
&983&1605008420&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:128.0,21.9,923,13.86&18:65535,655.3&0:34.4
&983&1605008720&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:127.8,21.9,923,13.84&18:65535,655.3&0:34.9
&983&1605009020&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.8,21.9,923,13.84&18:65535,655.3&0:35.0
&983&1605009320&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.8,21.9,923,13.85&18:65535,655.3&0:35.0
&983&1605009620&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:127.8,21.9,923,13.85&18:65535,655.3&0:35.2
&983&1605009920&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:127.8,21.9,923,13.85&18:65535,655.3&0:35.5
&983&1605010220&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:127.9,21.9,923,13.86&18:65535,655.3&0:35.8
&983&1605010520&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.1,21.9,923,13.88&18:65535,655.3&0:35.9
&983&1605010820&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.1,21.8,923,13.88&18:65535,655.3&0:36.2
&983&1605011120&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.1,21.9,923,13.88&18:65535,655.3&0:36.9
&983&1605011420&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.2,21.9,923,13.89&18:65535,655.3&0:37.1
&983&1605011720&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.2,21.9,924,13.88&18:65535,655.3&0:37.3
&983&1605012020&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.3,21.9,924,13.89&18:65535,655.3&0:37.9
