:904&1611839591-1.9.0-281&17:296&32:194&33:213&18:105
&904&1611839702&17:10000,24.0&32:-1.0,-1.0,-1,-1.00&33:161.5,19.9,946,17.08&18:10000,17.9&0:48.7
&904&1611840012&17:10000,23.9&32:-1.0,-1.0,-1,-1.00&33:161.6,19.8,946,17.09&18:10000,17.8&0:48.0
&904&1611840321&17:10000,23.9&32:-1.0,-1.0,-1,-1.00&33:161.4,20.0,946,17.06&18:10000,17.9&0:47.6
&904&1611840621&17:10000,23.9&32:-1.0,-1.0,-1,-1.00&33:161.3,19.9,946,17.05&18:10000,17.9&0:46.3
&904&1611840921&17:10000,24.3&32:-1.0,-1.0,-1,-1.00&33:161.2,20.1,947,17.02&18:10000,18.1&0:45.4
&904&1611841221&17:10000,24.7&32:-1.0,-1.0,-1,-1.00&33:161.3,20.2,947,17.04&18:10000,18.1&0:44.9
&904&1611841521&17:10000,25.1&32:-1.0,-1.0,-1,-1.00&33:161.2,20.1,947,17.02&18:10000,18.0&0:44.5
&904&1611841821&17:10000,25.2&32:-1.0,-1.0,-1,-1.00&33:161.2,20.1,946,17.04&18:10000,18.0&0:44.1
&904&1611842121&17:10000,25.5&32:-1.0,-1.0,-1,-1.00&33:161.2,20.0,946,17.04&18:10000,18.0&0:43.7
&904&1611842421&17:10000,25.6&32:-1.0,-1.0,-1,-1.00&33:161.2,20.1,946,17.04&18:10000,18.0&0:43.7
&904&1611842721&17:10000,26.0&32:-1.0,-1.0,-1,-1.00&33:161.1,20.2,947,17.02&18:10000,18.1&0:43.4
&904&1611843021&17:10000,26.4&32:-1.0,-1.0,-1,-1.00&33:161.1,20.0,946,17.03&18:10000,18.0&0:43.4
&904&1611843321&17:10000,26.4&32:-1.0,-1.0,-1,-1.00&33:161.1,19.9,945,17.05&18:10000,17.9&0:43.1
&904&1611843621&17:10000,26.3&32:-1.0,-1.0,-1,-1.00&33:160.8,19.8,945,17.01&18:10000,17.8&0:43.1
&904&1611843921&17:10000,26.3&32:-1.0,-1.0,-1,-1.00&33:160.9,19.9,945,17.03&18:10000,17.9&0:43.3
&904&1611844221&17:10000,26.4&32:-1.0,-1.0,-1,-1.00&33:160.9,20.0,946,17.01&18:10000,17.9&0:43.5
&904&1611844521&17:10000,26.5&32:-1.0,-1.0,-1,-1.00&33:160.6,20.3,947,16.96&18:10000,18.0&0:43.5
&904&1611844821&17:10000,26.3&32:-1.0,-1.0,-1,-1.00&33:160.6,20.6,947,16.96&18:10000,18.1&0:43.5
&904&1611845121&17:10000,26.4&32:-1.0,-1.0,-1,-1.00&33:160.5,20.7,947,16.95&18:10000,18.0&0:43.5
&904&1611845421&17:10000,26.4&32:-1.0,-1.0,-1,-1.00&33:160.5,20.7,947,16.94&18:10000,17.9&0:43.5
&904&1611845721&17:10000,26.4&32:-1.0,-1.0,-1,-1.00&33:160.4,20.6,947,16.94&18:10000,17.9&0:43.6
&904&1611846021&17:10000,26.4&32:-1.0,-1.0,-1,-1.00&33:160.3,20.7,947,16.93&18:10000,17.9&0:43.7
&904&1611846321&17:10000,26.1&32:-1.0,-1.0,-1,-1.00&33:160.4,20.7,947,16.94&18:10000,17.9&0:43.7
&904&1611846621&17:10000,26.0&32:-1.0,-1.0,-1,-1.00&33:160.4,20.6,946,16.95&18:10000,17.7&0:43.5
&904&1611846921&17:10000,26.1&32:-1.0,-1.0,-1,-1.00&33:160.2,20.4,945,16.95&18:10000,17.6&0:43.2
&904&1611847221&17:10000,26.2&32:-1.0,-1.0,-1,-1.00&33:160.2,20.1,944,16.97&18:10000,17.6&0:43.0
&904&1611847521&17:10000,26.2&32:-1.0,-1.0,-1,-1.00&33:160.4,19.7,944,16.99&18:10000,17.6&0:42.6
&904&1611847821&17:10000,26.2&32:-1.0,-1.0,-1,-1.00&33:160.5,19.8,944,17.00&18:10000,17.7&0:42.3
&904&1611848121&17:10000,26.2&32:-1.0,-1.0,-1,-1.00&33:160.4,19.8,944,16.99&18:10000,17.7&0:42.0
&904&1611848421&17:10000,26.2&32:-1.0,-1.0,-1,-1.00&33:160.2,19.8,944,16.97&18:10000,17.7&0:41.6
&904&1611848721&17:10000,26.3&32:-1.0,-1.0,-1,-1.00&33:160.2,19.8,944,16.97&18:10000,17.7&0:41.2
&904&1611849021&17:10000,26.3&32:-1.0,-1.0,-1,-1.00&33:160.3,19.9,944,16.98&18:10000,17.7&0:40.7
&904&1611849321&17:10000,26.3&32:-1.0,-1.0,-1,-1.00&33:160.1,19.9,944,16.96&18:10000,17.7&0:40.3
&904&1611849621&17:10000,26.3&32:-1.0,-1.0,-1,-1.00&33:159.9,19.8,944,16.94&18:10000,17.7&0:39.9
&904&1611849921&17:10000,26.4&32:-1.0,-1.0,-1,-1.00&33:160.0,19.8,944,16.95&18:10000,17.7&0:39.6
&904&1611850221&17:10000,26.3&32:-1.0,-1.0,-1,-1.00&33:159.9,19.7,943,16.96&18:10000,17.6&0:39.3
&904&1611850521&17:10000,26.1&32:-1.0,-1.0,-1,-1.00&33:159.9,19.7,943,16.96&18:10000,17.5&0:38.9
&904&1611850821&17:10000,26.0&32:-1.0,-1.0,-1,-1.00&33:159.6,19.7,942,16.95&18:10000,17.5&0:38.5
&904&1611851121&17:10000,26.1&32:-1.0,-1.0,-1,-1.00&33:159.5,19.6,942,16.93&18:10000,17.4&0:38.0
&904&1611851421&17:10000,26.1&32:-1.0,-1.0,-1,-1.00&33:159.7,19.5,942,16.95&18:10000,17.4&0:37.6
&904&1611851721&17:10000,26.1&32:-1.0,-1.0,-1,-1.00&33:159.3,19.6,942,16.91&18:10000,17.5&0:37.3
&904&1611852021&17:10000,26.1&32:-1.0,-1.0,-1,-1.00&33:159.4,19.7,942,16.93&18:10000,17.5&0:37.0
&904&1611852321&17:10000,25.9&32:-1.0,-1.0,-1,-1.00&33:159.3,19.7,942,16.91&18:10000,17.5&0:36.7
&904&1611852621&17:10000,25.9&32:-1.0,-1.0,-1,-1.00&33:159.3,19.7,942,16.91&18:10000,17.5&0:36.4
&904&1611852921&17:10000,25.8&32:-1.0,-1.0,-1,-1.00&33:159.2,19.7,942,16.90&18:10000,17.5&0:36.1
&904&1611853221&17:10000,25.9&32:-1.0,-1.0,-1,-1.00&33:159.0,19.6,942,16.88&18:10000,17.6&0:35.8
&904&1611853521&17:10000,25.8&32:-1.0,-1.0,-1,-1.00&33:159.2,19.7,942,16.90&18:10000,17.6&0:35.4
&904&1611853821&17:10000,25.7&32:-1.0,-1.0,-1,-1.00&33:159.1,19.7,942,16.89&18:10000,17.6&0:35.3
&904&1611854121&17:10000,25.6&32:-1.0,-1.0,-1,-1.00&33:159.0,19.7,942,16.88&18:10000,17.6&0:35.1
&904&1611854421&17:10000,25.7&32:-1.0,-1.0,-1,-1.00&33:158.8,19.7,942,16.86&18:10000,17.5&0:34.9
&904&1611854721&17:10000,25.7&32:-1.0,-1.0,-1,-1.00&33:159.1,19.6,941,16.91&18:10000,17.5&0:34.8
&904&1611855021&17:10000,25.7&32:-1.0,-1.0,-1,-1.00&33:159.0,19.7,941,16.90&18:10000,17.5&0:34.7
&904&1611855321&17:10000,25.6&32:-1.0,-1.0,-1,-1.00&33:158.8,19.6,941,16.88&18:10000,17.5&0:34.6
&904&1611855621&17:10000,25.6&32:-1.0,-1.0,-1,-1.00&33:158.6,19.7,941,16.85&18:10000,17.6&0:34.4
&904&1611855921&17:10000,25.5&32:-1.0,-1.0,-1,-1.00&33:158.9,19.7,941,16.89&18:10000,17.6&0:34.2
&904&1611856221&17:10000,25.5&32:-1.0,-1.0,-1,-1.00&33:158.8,19.6,941,16.88&18:10000,17.6&0:34.2
&904&1611856521&17:10000,25.5&32:-1.0,-1.0,-1,-1.00&33:158.7,19.7,941,16.86&18:10000,17.7&0:34.2
&904&1611856821&17:10000,25.5&32:-1.0,-1.0,-1,-1.00&33:158.6,19.7,942,16.84&18:10000,17.7&0:34.1
&904&1611857121&17:10000,25.5&32:-1.0,-1.0,-1,-1.00&33:158.5,19.8,942,16.83&18:10000,17.8&0:33.9
&904&1611857421&17:10000,25.4&32:-1.0,-1.0,-1,-1.00&33:158.7,19.8,942,16.84&18:10000,17.8&0:33.9
&904&1611857721&17:10000,25.4&32:-1.0,-1.0,-1,-1.00&33:158.3,19.8,942,16.80&18:10000,17.8&0:33.6
&904&1611858021&17:10000,25.4&32:-1.0,-1.0,-1,-1.00&33:158.5,19.8,942,16.83&18:10000,17.9&0:33.5
&904&1611858321&17:10000,25.3&32:-1.0,-1.0,-1,-1.00&33:158.4,19.8,942,16.82&18:10000,17.8&0:33.5
&904&1611858621&17:10000,25.4&32:-1.0,-1.0,-1,-1.00&33:158.0,19.8,942,16.77&18:10000,17.8&0:33.4
&904&1611858921&17:10000,25.3&32:-1.0,-1.0,-1,-1.00&33:158.0,19.8,942,16.77&18:10000,17.8&0:33.4
&904&1611859221&17:10000,25.3&32:-1.0,-1.0,-1,-1.00&33:158.2,19.8,942,16.79&18:10000,17.8&0:33.5
&904&1611859521&17:10000,25.3&32:-1.0,-1.0,-1,-1.00&33:158.2,19.8,942,16.80&18:10000,17.8&0:33.4
&904&1611859821&17:10000,25.3&32:-1.0,-1.0,-1,-1.00&33:158.0,19.9,942,16.78&18:10000,17.9&0:33.2
&904&1611860121&17:10000,25.2&32:-1.0,-1.0,-1,-1.00&33:158.0,19.9,942,16.77&18:10000,17.9&0:33.2
&904&1611860421&17:10000,25.2&32:-1.0,-1.0,-1,-1.00&33:157.9,19.8,942,16.77&18:10000,17.8&0:33.1
&904&1611860721&17:10000,25.2&32:-1.0,-1.0,-1,-1.00&33:158.0,19.9,942,16.77&18:10000,17.9&0:33.1
&904&1611861021&17:10000,25.2&32:-1.0,-1.0,-1,-1.00&33:158.2,19.9,942,16.80&18:10000,17.9&0:33.1
&904&1611861321&17:10000,25.2&32:-1.0,-1.0,-1,-1.00&33:158.0,19.9,942,16.78&18:10000,17.9&0:33.2
&904&1611861621&17:10000,25.2&32:-1.0,-1.0,-1,-1.00&33:158.0,20.0,942,16.77&18:10000,18.0&0:33.2
&904&1611861921&17:10000,25.1&32:-1.0,-1.0,-1,-1.00&33:158.0,20.0,942,16.77&18:10000,18.0&0:33.1
&904&1611862221&17:10000,25.1&32:-1.0,-1.0,-1,-1.00&33:158.0,20.0,942,16.77&18:10000,18.0&0:33.2
&904&1611862521&17:10000,25.1&32:-1.0,-1.0,-1,-1.00&33:158.1,20.0,942,16.78&18:10000,18.0&0:33.2
&904&1611862821&17:10000,25.1&32:-1.0,-1.0,-1,-1.00&33:158.0,20.0,942,16.77&18:10000,18.1&0:33.3
&904&1611863121&17:10000,25.0&32:-1.0,-1.0,-1,-1.00&33:157.8,20.1,943,16.73&18:10000,18.1&0:33.3
&904&1611863421&17:10000,25.1&32:-1.0,-1.0,-1,-1.00&33:157.6,20.2,943,16.72&18:10000,18.2&0:33.4
&904&1611863721&17:10000,25.1&32:-1.0,-1.0,-1,-1.00&33:157.7,20.2,943,16.72&18:10000,18.2&0:33.3
&904&1611864021&17:10000,25.0&32:-1.0,-1.0,-1,-1.00&33:157.8,20.2,943,16.73&18:10000,18.2&0:33.2
&904&1611864321&17:10000,25.0&32:-1.0,-1.0,-1,-1.00&33:157.7,20.2,943,16.72&18:10000,18.2&0:33.0
&904&1611864621&17:10000,25.0&32:-1.0,-1.0,-1,-1.00&33:157.9,20.2,943,16.74&18:10000,18.2&0:33.1
&904&1611864921&17:10000,25.0&32:-1.0,-1.0,-1,-1.00&33:157.5,20.2,943,16.70&18:10000,18.2&0:33.2
&904&1611865221&17:10000,25.0&32:-1.0,-1.0,-1,-1.00&33:157.5,20.2,943,16.70&18:10000,18.2&0:33.1
&904&1611865521&17:10000,24.9&32:-1.0,-1.0,-1,-1.00&33:157.4,20.2,943,16.70&18:10000,18.3&0:33.0
&904&1611865821&17:10000,24.9&32:-1.0,-1.0,-1,-1.00&33:157.6,20.2,943,16.71&18:10000,18.2&0:32.9
&904&1611866121&17:10000,24.9&32:-1.0,-1.0,-1,-1.00&33:157.7,20.2,943,16.73&18:10000,18.2&0:32.8
&904&1611866421&17:10000,24.9&32:-1.0,-1.0,-1,-1.00&33:157.4,20.3,943,16.69&18:10000,18.3&0:32.8
