:721&1601373191-1.9.0-281&17:296&32:194&33:213&18:105
&721&1601373302&17:10000,19.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,18.0&0:26.4
&721&1601373614&17:10000,19.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,18.0&0:27.3
&721&1601373924&17:65535,655.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:27.8
&721&1601374224&17:65535,655.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:27.1
&721&1601374524&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:65535,655.3&0:26.5
&721&1601374824&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:65535,655.3&0:26.2
&721&1601375124&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:65535,655.3&0:26.1
&721&1601375424&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:26.0
&721&1601375724&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:65535,655.3&0:25.9
&721&1601376024&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:65535,655.3&0:25.9
&721&1601376324&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:65535,655.3&0:25.8
&721&1601376624&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.9,19.8,911,14.81&18:65535,655.3&0:25.7
&721&1601376924&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.8,19.8,911,14.80&18:65535,655.3&0:25.5
&721&1601377224&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:65535,655.3&0:25.4
&721&1601377524&17:65535,655.3&32:0.0,0.0,0,0.00&33:134.9,19.8,911,14.81&18:65535,655.3&0:25.5
&721&1601377824&17:65535,655.3&32:0.0,0.0,0,0.00&33:134.8,19.8,911,14.80&18:65535,655.3&0:25.4
&721&1601378124&17:65535,655.3&32:0.0,0.0,0,0.00&33:134.8,19.7,911,14.80&18:65535,655.3&0:25.4
&721&1601378424&17:65535,655.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:65535,655.3&0:25.3
&721&1601378724&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.9,19.8,911,14.81&18:65535,655.3&0:25.1
&721&1601379024&17:65535,655.3&32:0.0,0.0,0,0.00&33:134.7,19.7,911,14.79&18:65535,655.3&0:24.9
&721&1601379324&17:65535,655.3&32:0.0,0.0,0,0.00&33:134.6,19.7,911,14.77&18:65535,655.3&0:24.9
&721&1601379624&17:65535,655.3&32:0.0,0.0,0,0.00&33:134.9,19.7,911,14.80&18:65535,655.3&0:24.8
