"TOA5","CR1000_CO2_Sensor","CR1000","21725","CR1000.Std.32.05","CPU:FCR_CO2_20201110.CR1","48381","FCR_CO2"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","CO2_1_Avg","CO2_2_Avg"
"TS","RN","Volts","degC","ppm","ppm"
"","","Min","Smp","Avg","Avg"
"2021-08-31 08:56:00",414561,14.2,32.66,10056.1,153.2048
"2021-08-31 08:57:00",414562,14.24,32.62,10055.65,180.241
"2021-08-31 08:58:00",414563,14.22,32.51,10057,173.0314
"2021-08-31 08:59:00",414564,14.24,32.3,10056.55,127.0699
"2021-08-31 09:00:00",414565,14.23,32.08,10054.75,131.5759
"2021-08-31 09:01:00",414566,14.24,32.01,10056.55,142.3904
"2021-08-31 09:02:00",414567,14.2,32.01,10056.55,140.1374
"2021-08-31 09:03:00",414568,14.23,31.97,10056.1,149.6
"2021-08-31 09:04:00",414569,14.21,31.97,10056.1,116.2555
"2021-08-31 09:05:00",414570,14.23,32.01,10057.45,118.0579
"2021-08-31 09:06:00",414571,14.22,32.04,10056.1,102.7374
"2021-08-31 09:07:00",414572,14.2,32.12,10055.65,134.2796
"2021-08-31 09:08:00",414573,14.22,32.15,10056.55,166.7229
"2021-08-31 09:09:00",414574,14.24,32.3,10056.55,153.6555
"2021-08-31 09:10:00",414575,14.21,32.37,10055.2,80.65785
"2021-08-31 09:11:00",414576,14.22,32.44,10057,110.8482
"2021-08-31 09:12:00",414577,14.22,32.51,10055.65,167.6241
"2021-08-31 09:13:00",414578,14.21,32.59,10054.29,144.1928
"2021-08-31 09:14:00",414579,14.23,32.66,10056.55,180.241
"2021-08-31 09:15:00",414580,14.24,32.73,10055.65,184.747
"2021-08-31 09:16:00",414581,14.22,32.81,10055.65,99.13256
"2021-08-31 09:17:00",414582,14.22,32.84,10056.55,151.4025
"2021-08-31 09:18:00",414583,14.23,32.92,10056.55,204.5735
"2021-08-31 09:19:00",414584,14.23,32.95,10057.45,122.5639
"2021-08-31 09:20:00",414585,14.23,32.99,10056.1,77.50363
"2021-08-31 09:21:00",414586,14.22,33.03,10057.45,129.7735
"2021-08-31 09:22:00",414587,14.23,33.06,10057,190.1543
"2021-08-31 09:23:00",414588,14.22,33.1,10055.2,120.3109
"2021-08-31 09:24:00",414589,14.23,33.14,10057,155.4579
"2021-08-31 09:25:00",414590,14.22,33.17,10055.65,112.2
"2021-08-31 09:26:00",414591,14.23,33.21,10055.2,102.2868
"2021-08-31 09:27:00",414592,14.23,33.21,10057.9,176.6362
"2021-08-31 09:28:00",414593,14.24,33.25,10054.75,148.6988
"2021-08-31 09:29:00",414594,14.22,33.29,10055.65,180.6916
"2021-08-31 09:30:00",414595,14.23,33.32,10056.1,119.8603
"2021-08-31 09:31:00",414596,14.24,33.36,10055.2,100.935
"2021-08-31 09:32:00",414597,14.23,33.4,10057,118.0579
"2021-08-31 09:33:00",414598,14.23,33.43,10056.1,151.4025
"2021-08-31 09:34:00",414599,14.23,33.43,10057.45,127.9711
"2021-08-31 09:35:00",414600,14.24,33.43,10056.55,118.0579
"2021-08-31 09:36:00",414601,14.24,33.47,10054.29,106.7928
"2021-08-31 09:37:00",414602,14.22,33.47,10057,153.6555
"2021-08-31 09:38:00",414603,14.23,33.43,10057.45,159.5133
"2021-08-31 09:39:00",414604,14.24,33.43,10055.2,160.4145
"2021-08-31 09:40:00",414605,14.24,33.43,10057.45,155.0073
"2021-08-31 09:41:00",414606,14.23,33.43,10055.2,206.8266
"2021-08-31 09:42:00",414607,14.23,33.43,10056.1,184.747
"2021-08-31 09:43:00",414608,14.24,33.43,10057,119.8603
"2021-08-31 09:44:00",414609,14.22,33.4,10056.55,174.8338
"2021-08-31 09:45:00",414610,14.23,33.36,10056.55,186.5494
"2021-08-31 09:46:00",414611,14.24,33.36,10057,92.82412
"2021-08-31 09:47:00",414612,14.21,33.32,10057.45,154.1061
"2021-08-31 09:48:00",414613,14.23,33.32,10056.55,165.8217
"2021-08-31 09:49:00",414614,14.23,33.29,10057.45,118.9591
"2021-08-31 09:50:00",414615,14.23,33.29,10057.45,136.9832
