"TOA5","TEST","CR6","15331","CR6.Std.10.02 CR6-WIFI.05","CPU:FCR_CO2_20211008_forCR6.CR6","34068","FCR_CO2"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","CO2_1_Avg","CO2_2_Avg"
"TS","RN","Volts","degC","ppm","ppm"
"","","Min","Smp","Avg","Avg"
"2021-10-08 20:40:00",0,14.86,24.44,58.20309,74.50689
"2021-10-08 20:41:00",1,0,24.43,109.8787,69.15852
"2021-10-11 09:42:00",2,14.86,20.85,10059.38,480.8186
"2021-10-11 09:43:00",3,14.86,20.95,10059.33,550.9782
"2021-10-11 09:44:00",4,14.86,21.11,10060.53,573.7475
"2021-10-11 09:48:00",0,14.88,21.82,10057.98,382.8792
"2021-10-11 09:49:00",1,14.86,21.97,10059.16,385.8238
"2021-10-11 09:50:00",2,14.85,22.11,10058.38,348.4568
"2021-10-11 09:51:00",3,14.88,22.25,10058.87,307.3426
"2021-10-11 09:52:00",4,14.87,22.37,10058.9,326.4972
"2021-10-11 09:53:00",5,14.86,22.46,10057.42,394.5813
"2021-10-11 09:54:00",6,14.87,22.55,10059.83,317.6607
"2021-10-11 09:55:00",7,14.86,22.61,10058.44,305.1893
"2021-10-11 09:56:00",8,14.85,22.64,10057.85,307.3454
"2021-10-11 09:57:00",9,14.86,22.76,10060.02,298.9502
"2021-10-11 09:58:00",10,14.86,22.84,10058.86,337.5572
"2021-10-11 09:59:00",11,14.85,22.91,10058.99,374.2552
"2021-10-11 10:00:00",12,14.86,22.97,10060.08,263.5789
"2021-10-11 10:01:00",13,14.87,23.03,10058.75,328.7451
"2021-10-11 10:02:00",14,14.87,23.09,10058.77,321.1371
"2021-10-11 10:03:00",15,14.87,23.15,10059.16,280.0213
"2021-10-11 10:04:00",16,14.87,23.21,10058.46,304.4646
"2021-10-11 10:05:00",17,14.87,23.27,10058.25,342.2835
"2021-10-11 10:06:00",18,14.87,23.33,10058.38,247.2288
"2021-10-11 10:07:00",19,14.87,23.38,10059.16,267.097
"2021-10-11 10:08:00",20,14.87,23.44,10058.33,308.5641
"2021-10-11 10:09:00",21,14.87,23.5,10057.47,271.9122
"2021-10-11 10:10:00",22,14.87,23.55,10059.17,317.0855
"2021-10-11 10:11:00",23,14.88,23.61,10058.38,305.2542
"2021-10-11 10:12:00",24,14.87,23.66,10058.44,278.6184
"2021-10-11 10:13:00",25,14.88,23.72,10059.96,285.9423
"2021-10-11 10:14:00",26,14.87,23.77,10058.82,335.8988
"2021-10-11 10:15:00",27,14.86,23.82,10058.17,317.6352
"2021-10-11 10:16:00",28,14.87,23.87,10059.81,279.2053
"2021-10-11 10:17:00",29,14.87,23.92,10059.16,295.9114
"2021-10-11 10:18:00",30,14.87,23.97,10058.29,299.7881
"2021-10-11 10:19:00",31,14.85,24.01,10059.06,248.4918
"2021-10-11 10:20:00",32,14.86,24.06,10058.22,337.7558
"2021-10-11 10:21:00",33,14.88,24.1,10058.42,280.5956
"2021-10-11 10:22:00",34,14.87,24.15,10058.23,276.6598
"2021-10-11 10:23:00",35,14.88,24.19,10058.4,256.0671
"2021-10-11 10:24:00",36,14.87,24.24,10058.32,265.3295
"2021-10-11 10:25:00",37,14.88,24.28,10057.17,292.5407
"2021-10-11 10:26:00",38,14.87,24.32,10059.37,283.538
"2021-10-11 10:27:00",39,14.87,24.37,10058.16,256.9829
"2021-10-11 10:28:00",40,14.87,24.41,10057.53,301.0174
"2021-10-11 10:29:00",41,14.87,24.45,10060.37,246.1123
"2021-10-11 10:30:00",42,14.87,24.49,10058.7,332.1333
"2021-10-11 10:31:00",43,14.87,24.52,10058.39,288.1757
"2021-10-11 10:32:00",44,14.87,24.56,10059.6,280.8487
"2021-10-11 10:33:00",45,14.87,24.6,10058.37,293.9632
"2021-10-11 10:34:00",46,14.87,24.63,10059,265.7337
"2021-10-11 10:35:00",47,14.87,24.67,10058.66,297.4441
"2021-10-11 10:36:00",48,14.88,24.7,10057.74,225.5424
"2021-10-11 10:37:00",49,14.88,24.73,10057.85,258.7688
"2021-10-11 10:38:00",50,14.88,24.77,10057.76,257.5916
