"TOA5","TEST","CR6","15331","CR6.Std.10.02 CR6-WIFI.05","CPU:FCR_CO2_20211008_forCR6.CR6","47560","FCR_CO2"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","CO2_1_Avg","CO2_2_Avg"
"TS","RN","Volts","degC","ppm","ppm"
"","","Min","Smp","Avg","Avg"
"2021-10-25 10:13:00",18445,14.87,24.58,10057.6,229.0725
"2021-10-25 10:14:00",18446,14.87,24.56,10059.3,266.8266
"2021-10-25 10:15:00",18447,14.87,24.54,10058.68,256.2767
"2021-10-25 10:16:00",18448,14.88,24.51,10057.96,223.3848
"2021-10-25 10:17:00",18449,14.88,24.49,10059.82,214.2573
"2021-10-25 10:18:00",18450,14.88,24.48,10058.34,243.5615
"2021-10-25 10:19:00",18451,14.87,24.45,10057.6,265.2423
"2021-10-25 10:20:00",18452,14.87,24.41,10060.29,239.0621
"2021-10-25 10:21:00",18453,14.87,24.36,10058.24,231.5793
"2021-10-25 10:22:00",18454,14.87,24.31,10058.63,216.5505
"2021-10-25 10:23:00",18455,14.87,24.25,10059.61,259.7872
"2021-10-25 10:24:00",18456,14.87,24.18,10059.3,252.4649
"2021-10-25 10:25:00",18457,14.87,24.12,10059.91,246.2268
"2021-10-25 10:26:00",18458,14.87,24.07,10059.3,214.7173
"2021-10-25 10:27:00",18459,14.87,24.03,10059.3,212.0789
"2021-10-25 10:28:00",18460,14.87,23.99,10059.13,248.3129
"2021-10-25 10:29:00",18461,14.87,23.98,10058.67,240.5718
"2021-10-25 10:30:00",18462,14.87,23.95,10059.38,246.6755
"2021-10-25 10:31:00",18463,14.86,23.92,10058.67,228.207
"2021-10-25 10:32:00",18464,14.87,23.87,10058.03,286.632
"2021-10-25 10:33:00",18465,14.86,23.83,10059.17,253.7492
"2021-10-25 10:34:00",18466,14.86,23.8,10058.81,226.9426
"2021-10-25 10:35:00",18467,14.86,23.76,10058.27,225.4605
"2021-10-25 10:36:00",18468,14.87,23.73,10059.75,270.9532
"2021-10-25 10:37:00",18469,14.86,23.68,10058.78,233.9353
"2021-10-25 10:38:00",18470,14.86,23.62,10058.37,239.1152
"2021-10-25 10:39:00",18471,14.86,23.55,10060.93,233.1684
"2021-10-25 10:40:00",18472,14.86,23.49,10059.28,197.877
"2021-10-25 10:41:00",18473,14.86,23.43,10059.32,214.1693
"2021-10-25 10:42:00",18474,14.86,23.39,10060.17,217.9506
"2021-10-25 10:43:00",18475,14.87,23.36,10059,233.7317
"2021-10-25 10:44:00",18476,14.86,23.33,10059.76,223.4198
"2021-10-25 10:45:00",18477,14.87,23.31,10059.62,269.8815
"2021-10-25 10:46:00",18478,14.87,23.29,10058.58,288.6303
"2021-10-25 10:47:00",18479,14.86,23.26,10058.35,237.7544
"2021-10-25 10:48:00",18480,14.87,23.21,10058.92,249.1123
"2021-10-25 10:49:00",18481,14.86,23.16,10059.42,141.2944
"2021-10-25 10:50:00",18482,14.87,23.12,10058.39,95.73071
"2021-10-25 10:51:00",18483,14.88,23.05,10058.3,204.898
"2021-10-25 10:52:00",18484,14.88,22.99,10059.41,138.5229
"2021-10-25 10:53:00",18485,14.87,22.93,10058.81,67.62168
"2021-10-25 10:54:00",18486,14.87,22.88,10059.01,124.0368
"2021-10-25 10:55:00",18487,14.86,22.87,10060.16,161.2477
"2021-10-25 10:56:00",18488,14.87,22.86,10059.25,127.6095
"2021-10-25 10:57:00",18489,14.87,22.99,10058.1,126.0943
"2021-10-25 10:58:00",18490,14.87,23.23,10060.54,72.25529
"2021-10-25 10:59:00",18491,14.87,23.5,10058.67,181.3486
"2021-10-25 11:00:00",18492,14.86,23.72,10057.71,190.4711
"2021-10-25 11:01:00",18493,14.87,23.91,10058.8,169.1108
"2021-10-25 11:02:00",18494,14.86,24.03,10057.07,90.27597
"2021-10-25 11:03:00",18495,14.87,24.23,10057.99,193.7683
"2021-10-25 11:04:00",18496,14.87,24.49,10058.11,172.312
"2021-10-25 11:05:00",18497,14.86,24.82,10057.09,134.0924
"2021-10-25 11:06:00",18498,14.87,25.15,10080.49,167.3575
"2021-10-25 11:07:00",18499,14.87,25.44,10102.61,216.6961
