"TOA5","TEST","CR6","15331","CR6.Std.10.02 CR6-WIFI.05","CPU:FCR_CO2_20211008_forCR6.CR6","47560","FCR_CO2"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","CO2_1_Avg","CO2_2_Avg"
"TS","RN","Volts","degC","ppm","ppm"
"","","Min","Smp","Avg","Avg"
"2021-11-22 15:17:00",47794,14.82,8.71,10060.33,542.4857
"2021-11-22 15:18:00",47795,14.81,8.74,10062.49,561.0886
"2021-11-22 15:19:00",47796,14.81,8.78,10061.28,511.8606
"2021-11-22 15:21:00",47797,14.82,8.81,10059.29,419.1787
"2021-11-22 15:22:00",47798,14.82,8.83,10061.96,522.6221
"2021-11-22 15:23:00",47799,14.8,8.86,10060.52,512.4355
"2021-11-22 15:24:00",47800,14.82,8.9,10059.93,490.7611
"2021-11-22 15:25:00",47801,14.82,8.95,10061.84,498.7605
"2021-11-22 15:26:00",47802,14.82,9.01,10060.42,486.7832
"2021-11-22 15:27:00",47803,14.82,9.08,10060.48,484.6595
"2021-11-22 15:28:00",47804,14.81,9.15,10061.55,490.7715
"2021-11-22 15:29:00",47805,14.82,9.22,10059.97,505.7698
"2021-11-22 15:30:00",47806,14.82,9.28,10059.9,501.5047
"2021-11-22 15:31:00",47807,14.83,9.35,10060.9,501.2665
"2021-11-22 15:32:00",47808,14.81,9.42,10060.03,488.44
"2021-11-22 15:33:00",47809,14.81,9.49,10059.4,499.7853
"2021-11-22 15:34:00",47810,14.81,9.55,10059.87,499.2438
"2021-11-22 15:35:00",47811,14.82,9.62,10059.83,478.1797
"2021-11-22 15:36:00",47812,14.8,9.68,10060.33,492.9314
"2021-11-22 15:37:00",47813,14.81,9.75,10059.95,541.0894
"2021-11-22 15:38:00",47814,14.8,9.81,10060.45,487.62
"2021-11-22 15:39:00",47815,14.81,9.87,10059.93,527.5022
"2021-11-22 15:40:00",47816,14.8,9.92,10059.96,521.0523
"2021-11-22 15:41:00",47817,14.81,9.98,10061.12,444.221
"2021-11-22 15:42:00",47818,14.82,10.04,10060.69,498.888
"2021-11-22 15:43:00",47819,14.81,10.09,10060.05,557.5634
"2021-11-22 15:44:00",47820,14.75,10.14,10061.38,483.6471
"2021-11-22 15:45:00",47821,14.83,10.19,10060.75,492.6151
"2021-11-22 15:46:00",47822,14.83,10.24,10058.81,541.7752
"2021-11-22 15:47:00",47823,14.83,10.29,10061.7,548.7971
"2021-11-22 15:48:00",47824,14.83,10.33,10059.59,573.3876
"2021-11-22 15:49:00",47825,14.82,10.38,10059.35,502.4911
"2021-11-22 15:50:00",47826,14.82,10.42,10060.86,521.4677
"2021-11-22 15:51:00",47827,14.82,10.46,10059.65,518.8124
"2021-11-22 15:52:00",47828,14.84,10.49,10059.83,592.0543
"2021-11-22 15:53:00",47829,14.83,10.53,10061.03,542.1204
"2021-11-22 15:54:00",47830,14.83,10.56,10059.44,557.7808
"2021-11-22 15:55:00",47831,14.84,10.6,10059.54,555.4973
"2021-11-22 15:56:00",47832,14.83,10.63,10061.05,536.0515
"2021-11-22 15:57:00",47833,14.83,10.66,10060.55,532.9996
"2021-11-22 15:58:00",47834,14.84,10.69,10060.4,552.8877
"2021-11-22 15:59:00",47835,14.85,10.72,10060.67,545.0071
"2021-11-22 16:00:00",47836,14.84,10.75,10060.7,507.3139
"2021-11-22 16:01:00",47837,14.84,10.78,10060.88,545.9985
"2021-11-22 16:02:00",47838,14.84,10.8,10059.5,576.7734
"2021-11-22 16:03:00",47839,14.83,10.83,10060.45,538.057
"2021-11-22 16:04:00",47840,14.84,10.85,10060.01,524.8367
"2021-11-22 16:05:00",47841,14.84,10.87,10059.43,535.7014
"2021-11-22 16:06:00",47842,14.83,10.89,10060.94,572.856
"2021-11-22 16:07:00",47843,14.85,10.91,10059.83,598.6882
"2021-11-22 16:08:00",47844,14.84,10.93,10059.22,547.6226
"2021-11-22 16:09:00",47845,14.83,10.95,10060.99,594.0194
"2021-11-22 16:10:00",47846,14.78,10.96,10059.5,587.6151
"2021-11-22 16:11:00",47847,14.86,10.98,10059.25,581.4356
"2021-11-22 16:12:00",47848,14.84,10.99,10062,565.1211
