"TOA5","CR1000_CO2_Sensor","CR1000","21725","CR1000.Std.32.05","CPU:FCR_CO2_2020.CR1","47309","FCR_CO2"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","CO2_1_Avg","CO2_2_Avg"
"TS","RN","Volts","degC","ppm","ppm"
"","","Min","Smp","Avg","Avg"
"2020-11-10 13:45:00",46405,14.23,24.33,10062.37,419.6782
"2020-11-10 13:46:00",46406,14.22,24.19,10059.22,410.6722
"2020-11-10 13:47:00",46407,14.24,24.07,10062.37,448.9476
"2020-11-10 13:48:00",46408,14.22,23.9,10060.57,510.6385
"2020-11-10 13:49:00",46409,14.23,23.81,10059.67,439.041
"2020-11-10 13:50:00",46410,14.22,23.72,10062.82,417.877
"2020-11-10 13:51:00",46411,14.22,23.64,10060.57,347.6304
"2020-11-10 13:52:00",46412,14.22,23.52,10059.67,398.5142
"2020-11-10 13:53:00",46413,14.23,23.44,10063.27,397.6136
"2020-11-10 13:54:00",46414,14.2,23.38,10061.92,403.4674
"2020-11-10 13:55:00",46415,14.22,23.35,10060.57,385.4555
"2020-11-10 13:56:00",46416,14.19,23.29,10062.37,380.5022
"2020-11-10 13:57:00",46417,14.21,23.24,10061.92,435.4386
"2020-11-10 13:58:00",46418,14.2,23.21,10062.37,357.9873
"2020-11-10 13:59:00",46419,14.19,23.21,10062.37,407.0698
"2020-11-10 14:00:00",46420,14.19,23.21,10062.37,398.0639
"2020-11-10 14:01:00",46421,14.19,23.21,10061.92,351.2328
"2020-11-10 14:02:00",46422,14.2,23.21,10060.57,372.8471
"2020-11-10 14:03:00",46423,14.19,23.15,10062.37,350.3322
"2020-11-10 14:04:00",46424,14.2,23.15,10061.47,402.1165
"2020-11-10 14:05:00",46425,14.19,23.15,10059.22,399.4148
"2020-11-10 14:06:00",46426,14.2,23.15,10062.82,412.9237
"2020-11-10 14:07:00",46427,14.2,23.18,10060.57,351.2328
"2020-11-10 14:08:00",46428,14.2,23.21,10059.67,380.9525
"2020-11-10 14:09:00",46429,14.19,23.24,10063.72,407.9704
"2020-11-10 14:10:00",46430,14.22,23.24,10061.47,371.9465
"2020-11-10 14:11:00",46431,14.19,23.27,10060.57,405.2686
"2020-11-10 14:12:00",46432,14.22,23.29,10063.27,358.4376
"2020-11-10 14:13:00",46433,14.2,23.32,10061.92,392.6603
"2020-11-10 14:14:00",46434,14.22,23.38,10061.47,384.5549
"2020-11-10 14:15:00",46435,14.2,23.44,10061.47,369.2448
"2020-11-10 14:16:00",46436,14.2,23.52,10061.47,299.4485
"2020-11-10 14:17:00",46437,14.23,23.67,10061.47,154.9027
"2020-11-10 14:18:00",46438,14.22,23.78,10060.57,53.13522
"2020-11-10 14:19:00",46439,14.23,23.87,10061.47,41.87776
"2020-11-10 14:20:00",46440,14.2,23.9,10060.12,171.5637
"2020-11-10 14:21:00",46441,14.22,23.96,10060.57,350.7825
"2020-11-10 14:22:00",46442,14.2,24.04,10062.37,389.0579
"2020-11-10 14:23:00",46443,14.21,24.13,10061.02,385.4555
"2020-11-10 14:24:00",46444,14.2,24.19,10059.22,378.701
"2020-11-10 14:25:00",46445,14.23,24.28,10061.92,363.8412
"2020-11-10 14:26:00",46446,14.22,24.33,10060.57,379.1513
"2020-11-10 14:27:00",46447,14.23,24.39,10061.02,346.7298
"2020-11-10 14:28:00",46448,14.21,24.48,10061.92,369.2448
"2020-11-10 14:29:00",46449,14.22,24.51,10061.02,350.3322
"2020-11-10 14:30:00",46450,14.22,24.57,10060.57,389.5082
"2020-11-10 14:31:00",46451,14.2,24.63,10061.92,379.1513
"2020-11-10 14:32:00",46452,14.19,24.69,10061.92,357.537
"2020-11-10 14:33:00",46453,14.24,24.75,10061.02,391.7597
"2020-11-10 14:34:00",46454,14.23,24.81,10060.57,364.7418
"2020-11-10 14:35:00",46455,14.23,24.87,10060.12,344.9286
"2020-11-10 14:36:00",46456,14.23,24.89,10061.47,373.7477
"2020-11-10 14:37:00",46457,14.2,24.92,10059.67,391.7597
"2020-11-10 14:38:00",46458,14.23,24.95,10061.02,373.7477
"2020-11-10 14:39:00",46459,14.22,24.98,10060.57,431.386
