"TOA5","CR1000_CO2_Sensor","CR1000","21725","CR1000.Std.32.05","CPU:FCR_CO2_20201110.CR1","48381","FCR_CO2"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","CO2_1_Avg","CO2_2_Avg"
"TS","RN","Volts","degC","ppm","ppm"
"","","Min","Smp","Avg","Avg"
"2021-04-16 10:50:00",225818,14.23,18.56,10061.47,196.3301
"2021-04-16 10:51:00",225819,14.21,18.23,10061.02,205.7863
"2021-04-16 10:52:00",225820,14.22,17.74,10060.57,199.9324
"2021-04-16 10:53:00",225821,14.22,17.31,10061.92,234.1551
"2021-04-16 10:54:00",225822,14.2,17.06,10061.02,198.1313
"2021-04-16 10:55:00",225823,14.22,16.91,10060.12,180.5696
"2021-04-16 10:56:00",225824,14.19,16.86,10062.37,185.5229
"2021-04-16 10:57:00",225825,14.21,16.86,10061.02,189.1253
"2021-04-16 10:58:00",225826,14.2,16.89,10060.57,208.9384
"2021-04-16 10:59:00",225827,14.21,16.94,10063.27,247.6641
"2021-04-16 11:00:00",225828,14.21,17.01,10061.92,203.5349
"2021-04-16 11:01:00",225829,14.2,17.06,10061.02,180.1193
"2021-04-16 11:02:00",225830,14.21,17.16,10062.37,159.8559
"2021-04-16 11:03:00",225831,14.19,17.24,10061.92,194.9792
"2021-04-16 11:04:00",225832,14.21,17.29,10060.12,226.0498
"2021-04-16 11:05:00",225833,14.2,17.36,10063.27,234.1551
"2021-04-16 11:06:00",225834,14.21,17.44,10060.12,181.9205
"2021-04-16 11:07:00",225835,14.2,17.49,10060.12,203.5349
"2021-04-16 11:08:00",225836,14.21,17.56,10061.92,179.2187
"2021-04-16 11:09:00",225837,14.19,17.64,10060.12,161.2068
"2021-04-16 11:10:00",225838,14.23,17.69,10061.02,202.6343
"2021-04-16 11:11:00",225839,14.22,17.74,10060.12,180.1193
"2021-04-16 11:12:00",225840,14.2,17.79,10061.02,196.3301
"2021-04-16 11:13:00",225841,14.22,17.84,10060.57,235.0557
"2021-04-16 11:14:00",225842,14.21,17.89,10060.57,182.8211
"2021-04-16 11:15:00",225843,14.23,17.95,10062.82,159.4056
"2021-04-16 11:16:00",225844,14.22,17.97,10061.47,202.184
"2021-04-16 11:17:00",225845,14.22,17.99,10060.57,203.0845
"2021-04-16 11:18:00",225846,14.21,17.99,10062.37,180.5696
"2021-04-16 11:19:00",225847,14.22,17.99,10061.02,214.342
"2021-04-16 11:20:00",225848,14.2,17.99,10060.12,199.9324
"2021-04-16 11:21:00",225849,14.21,17.99,10061.92,186.8738
"2021-04-16 11:22:00",225850,14.22,17.99,10060.57,230.5527
"2021-04-16 11:23:00",225851,14.22,17.99,10059.67,188.2247
"2021-04-16 11:24:00",225852,14.21,18.02,10062.82,152.2008
"2021-04-16 11:25:00",225853,14.21,18.05,10060.12,176.517
"2021-04-16 11:26:00",225854,14.23,18.05,10060.12,183.7217
"2021-04-16 11:27:00",225855,14.22,18.07,10061.47,169.3122
"2021-04-16 11:28:00",225856,14.22,18.07,10059.67,226.9504
"2021-04-16 11:29:00",225857,14.21,18.1,10061.02,222.4474
"2021-04-16 11:30:00",225858,14.22,18.1,10060.12,169.3122
"2021-04-16 11:31:00",225859,14.22,18.12,10061.92,195.4295
"2021-04-16 11:32:00",225860,14.23,18.12,10060.57,199.4822
"2021-04-16 11:33:00",225861,14.22,18.12,10060.12,209.3887
"2021-04-16 11:34:00",225862,14.22,18.15,10062.37,155.8032
"2021-04-16 11:35:00",225863,14.23,18.12,10060.12,191.8271
"2021-04-16 11:36:00",225864,14.23,18.15,10059.21,216.5935
"2021-04-16 11:37:00",225865,14.22,18.15,10060.57,213.4414
"2021-04-16 11:38:00",225866,14.22,18.15,10060.57,180.1193
"2021-04-16 11:39:00",225867,14.22,18.15,10059.67,223.7983
"2021-04-16 11:40:00",225868,14.23,18.17,10060.57,169.7625
"2021-04-16 11:41:00",225869,14.23,18.17,10060.57,203.5349
"2021-04-16 11:42:00",225870,14.21,18.2,10059.67,201.7337
"2021-04-16 11:43:00",225871,14.21,18.23,10063.27,242.2605
"2021-04-16 11:44:00",225872,14.21,18.25,10060.57,219.2953
