MiniDOT Logger Concatenated Data File
Sensor:             7450-055639
Concatenation Date: 2023May26 11:18:26 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 500.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1668430800,           2022-11-14 13:00:00,           2022-11-14 08:00:00,      3.520000,     22.000000,          8.223000,                    99.989133,      0.975000
                1668431400,           2022-11-14 13:10:00,           2022-11-14 08:10:00,      3.520000,     22.042000,          8.226000,                   100.106958,      0.976000
                1668432000,           2022-11-14 13:20:00,           2022-11-14 08:20:00,      3.520000,     21.900000,          8.205000,                    99.577132,      0.975000
                1668432600,           2022-11-14 13:30:00,           2022-11-14 08:30:00,      3.520000,     21.992000,          8.153000,                    99.122599,      0.977000
                1668433200,           2022-11-14 13:40:00,           2022-11-14 08:40:00,      3.520000,     21.900000,          8.161000,                    99.043142,      0.977000
                1668433800,           2022-11-14 13:50:00,           2022-11-14 08:50:00,      3.520000,     21.858000,          8.178000,                    99.168636,      0.977000
                1668434400,           2022-11-14 14:00:00,           2022-11-14 09:00:00,      3.520000,     21.825000,          8.190000,                    99.250566,      0.977000
                1668435000,           2022-11-14 14:10:00,           2022-11-14 09:10:00,      3.520000,     21.791000,          8.207000,                    99.390944,      0.977000
                1670859600,           2022-12-12 15:40:00,           2022-12-12 10:40:00,      3.540000,      7.407000,         11.412000,                   100.862782,      0.974000
                1670860200,           2022-12-12 15:50:00,           2022-12-12 10:50:00,      3.550000,      6.937000,         11.490000,                   100.372608,      0.974000
                1670860800,           2022-12-12 16:00:00,           2022-12-12 11:00:00,      3.550000,      6.831000,         11.521000,                   100.377181,      0.974000
                1670861400,           2022-12-12 16:10:00,           2022-12-12 11:10:00,      3.550000,      6.812000,         11.530000,                   100.407856,      0.974000
                1670862000,           2022-12-12 16:20:00,           2022-12-12 11:20:00,      3.540000,      6.793000,         11.501000,                   100.107701,      0.974000
                1670862600,           2022-12-12 16:30:00,           2022-12-12 11:30:00,      3.540000,      6.356000,         11.879000,                   102.268614,      0.963000
                1670863200,           2022-12-12 16:40:00,           2022-12-12 11:40:00,      3.540000,      6.744000,         11.553000,                   100.437008,      0.963000
                1670863800,           2022-12-12 16:50:00,           2022-12-12 11:50:00,      3.540000,      6.773000,         11.528000,                   100.292488,      0.963000
                1670864400,           2022-12-12 17:00:00,           2022-12-12 12:00:00,      3.540000,      6.793000,         11.538000,                   100.429759,      0.963000
                1670865000,           2022-12-12 17:10:00,           2022-12-12 12:10:00,      3.540000,      6.812000,         11.552000,                   100.599441,      0.963000
                1670865600,           2022-12-12 17:20:00,           2022-12-12 12:20:00,      3.540000,      6.812000,         11.542000,                   100.512357,      0.962000
                1670866200,           2022-12-12 17:30:00,           2022-12-12 12:30:00,      3.540000,      6.812000,         11.527000,                   100.381731,      0.962000
                1670866800,           2022-12-12 17:40:00,           2022-12-12 12:40:00,      3.540000,      6.831000,         11.516000,                   100.333619,      0.962000
                1670867400,           2022-12-12 17:50:00,           2022-12-12 12:50:00,      3.540000,      6.831000,         11.524000,                   100.403319,      0.962000
                1670868000,           2022-12-12 18:00:00,           2022-12-12 13:00:00,      3.540000,      6.870000,         11.531000,                   100.562323,      0.961000
                1670868600,           2022-12-12 18:10:00,           2022-12-12 13:10:00,      3.540000,      6.908000,         11.571000,                   101.007024,      0.962000
                1670869200,           2022-12-12 18:20:00,           2022-12-12 13:20:00,      3.540000,      6.908000,         11.514000,                   100.509452,      0.961000
                1670869800,           2022-12-12 18:30:00,           2022-12-12 13:30:00,      3.540000,      6.908000,         11.559000,                   100.902272,      0.961000
                1670870400,           2022-12-12 18:40:00,           2022-12-12 13:40:00,      3.540000,      6.889000,         11.664000,                   101.770533,      0.961000
                1670871000,           2022-12-12 18:50:00,           2022-12-12 13:50:00,      3.540000,      6.899000,         11.589000,                   101.141411,      0.961000
                1670871600,           2022-12-12 19:00:00,           2022-12-12 14:00:00,      3.540000,      6.918000,         11.629000,                   101.538681,      0.961000
                1670872200,           2022-12-12 19:10:00,           2022-12-12 14:10:00,      3.540000,      6.928000,         11.603000,                   101.336964,      0.961000
                1670872800,           2022-12-12 19:20:00,           2022-12-12 14:20:00,      3.540000,      6.976000,         11.617000,                   101.580854,      0.960000
                1670873400,           2022-12-12 19:30:00,           2022-12-12 14:30:00,      3.540000,      6.985000,         11.596000,                   101.419993,      0.960000
                1670874000,           2022-12-12 19:40:00,           2022-12-12 14:40:00,      3.540000,      7.005000,         11.633000,                   101.794358,      0.960000
                1670874600,           2022-12-12 19:50:00,           2022-12-12 14:50:00,      3.540000,      6.985000,         11.627000,                   101.691123,      0.960000
                1670875200,           2022-12-12 20:00:00,           2022-12-12 15:00:00,      3.540000,      6.995000,         11.611000,                   101.576515,      0.960000
                1670875800,           2022-12-12 20:10:00,           2022-12-12 15:10:00,      3.540000,      7.043000,         11.624000,                   101.811990,      0.960000
                1670876400,           2022-12-12 20:20:00,           2022-12-12 15:20:00,      3.540000,      7.053000,         11.662000,                   102.170275,      0.960000
                1670877000,           2022-12-12 20:30:00,           2022-12-12 15:30:00,      3.540000,      6.995000,         11.645000,                   101.873958,      0.960000
                1670877600,           2022-12-12 20:40:00,           2022-12-12 15:40:00,      3.540000,      6.966000,         11.628000,                   101.651675,      0.960000
                1670878200,           2022-12-12 20:50:00,           2022-12-12 15:50:00,      3.540000,      6.937000,         11.620000,                   101.508243,      0.959000
                1670878800,           2022-12-12 21:00:00,           2022-12-12 16:00:00,      3.540000,      6.985000,         11.606000,                   101.507454,      0.959000
                1670879400,           2022-12-12 21:10:00,           2022-12-12 16:10:00,      3.540000,      7.005000,         11.638000,                   101.838111,      0.959000
                1670880000,           2022-12-12 21:20:00,           2022-12-12 16:20:00,      3.540000,      6.966000,         11.596000,                   101.371932,      0.959000
                1670880600,           2022-12-12 21:30:00,           2022-12-12 16:30:00,      3.540000,      6.899000,         11.620000,                   101.411959,      0.959000
                1670881200,           2022-12-12 21:40:00,           2022-12-12 16:40:00,      3.540000,      7.005000,         11.656000,                   101.995619,      0.959000
                1670881800,           2022-12-12 21:50:00,           2022-12-12 16:50:00,      3.540000,      6.908000,         11.650000,                   101.696640,      0.959000
                1670882400,           2022-12-12 22:00:00,           2022-12-12 17:00:00,      3.540000,      6.889000,         11.630000,                   101.473877,      0.959000
                1670883000,           2022-12-12 22:10:00,           2022-12-12 17:10:00,      3.540000,      6.889000,         11.628000,                   101.456427,      0.959000
                1670883600,           2022-12-12 22:20:00,           2022-12-12 17:20:00,      3.540000,      6.870000,         11.638000,                   101.495474,      0.959000
                1670884200,           2022-12-12 22:30:00,           2022-12-12 17:30:00,      3.540000,      6.889000,         11.604000,                   101.247022,      0.959000
                1670884800,           2022-12-12 22:40:00,           2022-12-12 17:40:00,      3.540000,      6.851000,         11.593000,                   101.055016,      0.959000
                1670885400,           2022-12-12 22:50:00,           2022-12-12 17:50:00,      3.540000,      6.870000,         11.569000,                   100.893723,      0.959000
                1670886000,           2022-12-12 23:00:00,           2022-12-12 18:00:00,      3.540000,      6.899000,         11.559000,                   100.879590,      0.959000
                1670886600,           2022-12-12 23:10:00,           2022-12-12 18:10:00,      3.540000,      6.831000,         11.610000,                   101.152598,      0.959000
                1670887200,           2022-12-12 23:20:00,           2022-12-12 18:20:00,      3.540000,      6.822000,         11.611000,                   101.138538,      0.958000
                1670887800,           2022-12-12 23:30:00,           2022-12-12 18:30:00,      3.540000,      6.831000,         11.615000,                   101.196160,      0.958000
                1670888400,           2022-12-12 23:40:00,           2022-12-12 18:40:00,      3.540000,      6.841000,         11.545000,                   100.611443,      0.958000
                1670889000,           2022-12-12 23:50:00,           2022-12-12 18:50:00,      3.540000,      6.812000,         11.546000,                   100.547191,      0.958000
                1670889600,           2022-12-13 00:00:00,           2022-12-12 19:00:00,      3.540000,      6.822000,         11.535000,                   100.476534,      0.958000
                1670890200,           2022-12-13 00:10:00,           2022-12-12 19:10:00,      3.540000,      6.793000,         11.535000,                   100.403646,      0.958000
                1670890800,           2022-12-13 00:20:00,           2022-12-12 19:20:00,      3.540000,      6.812000,         11.506000,                   100.198855,      0.959000
                1670891400,           2022-12-13 00:30:00,           2022-12-12 19:30:00,      3.540000,      6.822000,         11.545000,                   100.563640,      0.958000
