7450-055639
OS REV: 1.05 Sensor Cal: 1624981093
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1675383600,+3.45, +4.666,+11.553,+0.965
1675384200,+3.45, +4.686,+11.541,+0.965
1675384800,+3.45, +4.676,+11.513,+0.965
1675385400,+3.45, +4.666,+11.559,+0.966
1675386000,+3.45, +4.656,+11.472,+0.966
1675386600,+3.45, +4.656,+11.541,+0.965
1675387200,+3.45, +4.676,+11.470,+0.965
1675387800,+3.45, +4.676,+11.502,+0.965
1675388400,+3.45, +4.686,+11.533,+0.965
1675389000,+3.45, +4.696,+11.571,+0.965
1675389600,+3.45, +4.686,+11.550,+0.965
1675390200,+3.45, +4.666,+11.566,+0.966
1675390800,+3.45, +4.666,+11.513,+0.966
1675391400,+3.45, +4.666,+11.492,+0.965
1675392000,+3.45, +4.666,+11.520,+0.965
1675392600,+3.45, +4.676,+11.505,+0.965
1675393200,+3.45, +4.676,+11.460,+0.966
1675393800,+3.45, +4.666,+11.451,+0.965
1675394400,+3.45, +4.666,+11.507,+0.965
1675395000,+3.45, +4.676,+11.525,+0.965
1675395600,+3.45, +4.666,+11.516,+0.966
1675396200,+3.45, +4.676,+11.531,+0.966
1675396800,+3.45, +4.656,+11.512,+0.965
1675397400,+3.45, +4.676,+11.518,+0.965
1675398000,+3.45, +4.666,+11.557,+0.966
1675398600,+3.45, +4.676,+11.521,+0.966
1675399200,+3.45, +4.676,+11.372,+0.965
1675399800,+3.45, +4.676,+11.380,+0.965
1675400400,+3.45, +4.686,+11.394,+0.965
1675401000,+3.45, +4.676,+11.469,+0.966
1675401600,+3.45, +4.666,+11.411,+0.965
1675402200,+3.45, +4.686,+11.416,+0.966
1675402800,+3.45, +4.656,+11.448,+0.965
1675403400,+3.45, +4.666,+11.510,+0.965
1675404000,+3.45, +4.676,+11.484,+0.965
1675404600,+3.45, +4.666,+11.470,+0.965
1675405200,+3.45, +4.656,+11.459,+0.965
1675405800,+3.45, +4.656,+11.551,+0.966
1675406400,+3.45, +4.666,+11.576,+0.965
1675407000,+3.45, +4.666,+11.617,+0.966
1675407600,+3.45, +4.656,+11.591,+0.965
1675408200,+3.45, +4.645,+11.591,+0.965
1675408800,+3.45, +4.656,+11.589,+0.965
1675409400,+3.45, +4.656,+11.587,+0.965
1675410000,+3.45, +4.666,+11.581,+0.965
1675410600,+3.45, +4.676,+11.553,+0.965
1675411200,+3.45, +4.666,+11.505,+0.965
1675411800,+3.45, +4.656,+11.556,+0.965
1675412400,+3.45, +4.676,+11.553,+0.965
1675413000,+3.45, +4.635,+11.568,+0.965
1675413600,+3.45, +4.666,+11.577,+0.966
1675414200,+3.45, +4.676,+11.560,+0.965
1675414800,+3.45, +4.656,+11.566,+0.965
1675415400,+3.45, +4.716,+11.553,+0.965
1675416000,+3.45, +4.676,+11.546,+0.965
1675416600,+3.45, +4.656,+11.544,+0.965
1675417200,+3.45, +4.666,+11.588,+0.965
1675417800,+3.45, +4.676,+11.571,+0.965
1675418400,+3.45, +4.686,+11.626,+0.965
1675419000,+3.45, +4.706,+11.633,+0.965
1675419600,+3.45, +4.706,+11.740,+0.965
1675420200,+3.45, +4.696,+11.794,+0.965
1675420800,+3.45, +4.696,+11.774,+0.966
1675421400,+3.45, +4.696,+11.819,+0.965
1675422000,+3.45, +4.696,+11.792,+0.965
1675422600,+3.45, +4.635,+11.798,+0.965
1675423200,+3.45, +4.605,+11.775,+0.965
1675423800,+3.45, +4.575,+11.781,+0.966
1675424400,+3.45, +4.585,+11.766,+0.965
1675425000,+3.46, +4.565,+11.751,+0.965
1675425600,+3.46, +4.575,+11.749,+0.965
1675426200,+3.45, +4.575,+11.746,+0.965
1675426800,+3.46, +4.585,+11.752,+0.965
1675427400,+3.45, +4.605,+11.752,+0.965
1675428000,+3.46, +4.595,+11.773,+0.965
1675428600,+3.45, +4.615,+11.790,+0.965
1675429200,+3.45, +4.595,+11.789,+0.965
1675429800,+3.46, +4.575,+11.803,+0.965
