7450-055639
OS REV: 1.05 Sensor Cal: 1624981093
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1703968440,+3.45, +5.622,+10.175,+0.952
1703969040,+3.45, +5.612,+10.132,+0.952
1703969640,+3.45, +5.592,+10.160,+0.952
1703970240,+3.45, +5.612,+10.126,+0.952
1703970840,+3.45, +5.592,+10.123,+0.952
1703971440,+3.45, +5.602,+10.125,+0.952
1703972040,+3.45, +5.612,+10.114,+0.952
1703972640,+3.45, +5.612,+10.187,+0.953
1703973240,+3.45, +5.612,+10.110,+0.952
1703973840,+3.45, +5.592,+10.214,+0.952
1703974440,+3.45, +5.622,+10.228,+0.952
1703975040,+3.45, +5.582,+10.253,+0.952
1703975640,+3.45, +5.602,+10.254,+0.952
1703976240,+3.45, +5.572,+10.264,+0.952
1703976840,+3.45, +5.572,+10.243,+0.952
1703977440,+3.45, +5.562,+10.237,+0.953
1703978040,+3.45, +5.552,+10.206,+0.952
1703978640,+3.45, +5.572,+10.165,+0.952
1703979240,+3.45, +5.552,+10.157,+0.952
1703979840,+3.45, +5.562,+10.166,+0.952
1703980440,+3.45, +5.582,+10.150,+0.952
1703981040,+3.45, +5.592,+10.176,+0.953
1703981640,+3.45, +5.572,+10.201,+0.953
1703982240,+3.45, +5.582,+10.171,+0.952
1703982840,+3.45, +5.612,+10.233,+0.952
1703983440,+3.45, +5.661,+10.380,+0.953
1703984040,+3.45, +5.612,+10.297,+0.952
1703984640,+3.45, +5.651,+10.339,+0.952
1703985240,+3.45, +5.622,+10.329,+0.952
1703985840,+3.45, +5.671,+10.350,+0.952
1703986440,+3.45, +5.681,+10.398,+0.952
1703987040,+3.45, +5.661,+10.381,+0.952
1703987640,+3.45, +5.681,+10.373,+0.952
1703988240,+3.45, +5.691,+10.373,+0.952
1703988840,+3.45, +5.691,+10.394,+0.952
1703989440,+3.45, +5.681,+10.280,+0.952
1703990040,+3.45, +5.661,+10.248,+0.952
1703990640,+3.45, +5.681,+10.390,+0.952
1703991240,+3.45, +5.681,+10.402,+0.952
1703991840,+3.45, +5.671,+10.217,+0.952
1703992440,+3.45, +5.691,+10.349,+0.952
1703993040,+3.45, +5.710,+10.448,+0.953
1703993640,+3.45, +5.700,+10.442,+0.952
1703994240,+3.45, +5.691,+10.438,+0.952
1703994840,+3.45, +5.681,+10.477,+0.952
1703995440,+3.45, +5.700,+10.510,+0.952
1703996040,+3.45, +5.720,+10.514,+0.952
1703996640,+3.45, +5.730,+10.508,+0.952
1703997240,+3.45, +5.720,+10.449,+0.952
1703997840,+3.45, +5.671,+10.120,+0.952
1703998440,+3.45, +5.710,+10.408,+0.952
1703999040,+3.45, +5.700,+10.408,+0.952
