Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2020/8/1 0:08:13, 12, Forward, 20, 5, 15, Automatic - Start!
2020/8/1 0:08:38, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 0:08:54, 10, Forward, 10, 120, 5, Automatic
2020/8/1 0:11:04, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 0:17:57, 1, Forward, 30, 120, 15, Automatic
2020/8/1 0:20:27, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 0:20:43, 10, Forward, 1, 1, 1, Automatic
2020/8/1 0:20:45, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 0:27:42, 2, Forward, 35, 120, 15, Automatic
2020/8/1 0:30:17, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 0:30:33, 10, Forward, 1, 1, 1, Automatic
2020/8/1 0:30:35, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 0:37:27, 3, Forward, 40, 120, 15, Automatic
2020/8/1 0:40:07, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 0:40:23, 12, Forward, 12, 5, 15, Automatic
2020/8/1 0:40:40, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 0:47:12, 4, Forward, 42, 120, 15, Automatic
2020/8/1 0:49:54, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 0:50:10, 10, Forward, 1, 1, 1, Automatic
2020/8/1 0:50:12, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 0:56:57, 5, Forward, 45, 120, 15, Automatic
2020/8/1 0:59:42, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 0:59:58, 12, Forward, 12, 1, 15, Automatic
2020/8/1 1:00:11, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 1:06:42, 6, Forward, 50, 120, 15, Automatic
2020/8/1 1:09:32, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 1:09:48, 12, Forward, 12, 5, 15, Automatic
2020/8/1 1:10:05, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 1:16:27, 7, Forward, 52, 120, 15, Automatic
2020/8/1 1:19:19, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 1:19:35, 9, Forward, 7, 20, 15, Automatic
2020/8/1 1:20:02, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 1:26:12, 12, Forward, 20, 5, 15, Automatic
2020/8/1 1:26:37, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 1:26:53, 10, Forward, 10, 120, 5, Automatic
2020/8/1 1:29:03, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 1:35:57, 1, Forward, 30, 120, 15, Automatic
2020/8/1 1:38:27, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 1:38:43, 10, Forward, 1, 1, 1, Automatic
2020/8/1 1:38:45, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 1:45:42, 2, Forward, 35, 120, 15, Automatic
2020/8/1 1:48:18, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 1:48:33, 10, Forward, 1, 1, 1, Automatic
2020/8/1 1:48:35, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 1:55:27, 3, Forward, 40, 120, 15, Automatic
2020/8/1 1:58:07, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 1:58:23, 12, Forward, 12, 5, 15, Automatic
2020/8/1 1:58:40, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 2:05:12, 4, Forward, 42, 120, 15, Automatic
2020/8/1 2:07:54, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 2:08:10, 10, Forward, 1, 1, 1, Automatic
2020/8/1 2:08:12, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 2:14:57, 5, Forward, 45, 120, 15, Automatic
2020/8/1 2:17:42, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 2:17:58, 12, Forward, 12, 1, 15, Automatic
2020/8/1 2:18:11, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 2:24:42, 6, Forward, 50, 120, 15, Automatic
2020/8/1 2:27:33, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 2:27:48, 12, Forward, 12, 5, 15, Automatic
