DateTime,Status,Valve,Measurement time,correctvalve_a,logtime_a,wavelength,absorbance,Depth
2020-04-24T18:39:59Z,Ok,2,20/4/24 14:41,2,1587753507,200nm,25.5488,1.6
2020-04-24T19:29:59Z,Ok,2,20/4/24 15:31,2,1587756508,200nm,21.7209,1.6
2020-04-24T21:39:59Z,Ok,2,20/4/24 17:41,2,1587764308,200nm,25.3963,1.6
2020-04-24T23:49:59Z,Ok,2,20/4/24 19:51,2,1587772108,200nm,20.8966,1.6
2020-04-25T01:59:59Z,Ok,2,20/4/24 22:1,2,1587779908,200nm,19.8877,1.6
2020-04-25T14:50:00Z,Ok,2,20/4/25 10:51,2,1587826108,200nm,20.8317,1.6
2020-04-25T17:00:00Z,Ok,2,20/4/25 13:1,2,1587833908,200nm,20.7608,1.6
2020-04-25T19:10:00Z,Ok,2,20/4/25 15:11,2,1587841708,200nm,22.8101,1.6
2020-04-25T21:20:00Z,Ok,2,20/4/25 17:21,2,1587849508,200nm,25.2735,1.6
2020-04-25T23:30:00Z,Ok,2,20/4/25 19:31,2,1587857308,200nm,25.8605,1.6
2020-04-26T01:40:00Z,Ok,2,20/4/25 21:41,2,1587865108,200nm,25.8866,1.6
2020-04-26T03:50:00Z,Ok,2,20/4/25 23:51,2,1587872909,200nm,26.613,1.6
2020-04-27T04:29:59Z,Ok,2,20/4/27 0:31,2,1587961707,200nm,25.3246,1.6
2020-04-27T06:39:59Z,Ok,2,20/4/27 2:41,2,1587969507,200nm,22.9557,1.6
2020-04-27T08:49:59Z,Ok,2,20/4/27 4:51,2,1587977307,200nm,22.0549,1.6
2020-04-27T10:59:59Z,Ok,2,20/4/27 7:1,2,1587985107,200nm,21.2445,1.6
2020-04-27T13:09:59Z,Ok,2,20/4/27 9:11,2,1587992907,200nm,20.7709,1.6
2020-04-27T15:19:59Z,Ok,2,20/4/27 11:21,2,1588000707,200nm,20.5665,1.6
2020-04-27T17:29:59Z,Ok,2,20/4/27 13:31,2,1588008508,200nm,20.1638,1.6
2020-04-27T19:49:59Z,Ok,2,20/4/27 15:51,2,1588016908,200nm,20.4286,1.6
2020-04-27T21:49:59Z,Ok,2,20/4/27 17:51,2,1588024108,200nm,18.9629,1.6
2020-04-27T23:59:59Z,Ok,2,20/4/27 20:1,2,1588031908,200nm,19.444,1.6
2020-04-28T02:09:59Z,Ok,2,20/4/27 22:11,2,1588039708,200nm,19.1844,1.6
2020-04-29T04:29:59Z,Ok,2,20/4/29 0:31,2,1588134507,200nm,20.9664,1.6
2020-04-29T06:39:59Z,Ok,2,20/4/29 2:41,2,1588142307,200nm,19.42,1.6
2020-04-29T08:49:59Z,Ok,2,20/4/29 4:51,2,1588150108,200nm,18.628,1.6
2020-04-29T10:59:59Z,Ok,2,20/4/29 7:1,2,1588157908,200nm,18.5014,1.6
2020-04-29T13:09:59Z,Ok,2,20/4/29 9:11,2,1588165708,200nm,19.0251,1.6
2020-04-29T15:19:59Z,Ok,2,20/4/29 11:21,2,1588173508,200nm,17.9969,1.6
2020-04-29T17:29:59Z,Ok,2,20/4/29 13:31,2,1588181308,200nm,17.9288,1.6
2020-04-29T19:39:59Z,Ok,2,20/4/29 15:41,2,1588189108,200nm,18.5169,1.6
2020-04-29T21:49:59Z,Ok,2,20/4/29 17:51,2,1588196908,200nm,18.2634,1.6
2020-04-29T23:59:59Z,Ok,2,20/4/29 20:1,2,1588204709,200nm,17.9435,1.6
2020-04-30T02:09:59Z,Ok,2,20/4/29 22:11,2,1588212509,200nm,17.7988,1.6
2020-05-01T04:29:59Z,Ok,2,20/5/1 0:31,2,1588307308,200nm,19.6475,1.6
2020-05-01T06:39:59Z,Ok,2,20/5/1 2:41,2,1588315108,200nm,21.6113,1.6
2020-05-01T08:49:59Z,Ok,2,20/5/1 4:51,2,1588322908,200nm,20.3121,1.6
2020-05-01T10:59:59Z,Ok,2,20/5/1 7:1,2,1588330708,200nm,18.1352,1.6
2020-05-01T13:09:59Z,Ok,2,20/5/1 9:11,2,1588338508,200nm,19.1501,1.6
2020-05-01T15:19:59Z,Ok,2,20/5/1 11:21,2,1588346308,200nm,17.6973,1.6
2020-05-01T17:49:59Z,Ok,2,20/5/1 13:51,2,1588355308,200nm,17.7849,1.6
2020-05-01T19:59:59Z,Ok,2,20/5/1 16:1,2,1588363108,200nm,17.5395,1.6
2020-05-01T22:09:59Z,Ok,2,20/5/1 18:11,2,1588370908,200nm,17.6502,1.6
2020-05-02T00:19:59Z,Ok,2,20/5/1 20:21,2,1588378708,200nm,17.3506,1.6
