"","DateTime","Status","Valve","Measurement time","correctvalve_a","logtime_a","wavelength","absorbance","Depth"
"1",2020-04-24 14:39:59,"Ok",2,"20/4/24 14:41",2,1587753507,"200nm",25.5488,"1.6"
"2",2020-04-24 14:39:59,"Ok",2,"20/4/24 14:41",2,1587753507,"300nm",9.6215,"1.6"
"3",2020-04-24 14:39:59,"Ok",2,"20/4/24 14:41",2,1587753507,"400nm",6.9656,"1.6"
"4",2020-04-24 14:39:59,"Ok",2,"20/4/24 14:41",2,1587753507,"500nm",5.7064,"1.6"
"5",2020-04-24 14:39:59,"Ok",2,"20/4/24 14:41",2,1587753507,"600nm",5.3136,"1.6"
"6",2020-04-24 14:39:59,"Ok",2,"20/4/24 14:41",2,1587753507,"700nm",5.0088,"1.6"
"7",2020-04-24 15:29:59,"Ok",2,"20/4/24 15:31",2,1587756508,"200nm",21.7209,"1.6"
"8",2020-04-24 15:29:59,"Ok",2,"20/4/24 15:31",2,1587756508,"300nm",9.8281,"1.6"
"9",2020-04-24 15:29:59,"Ok",2,"20/4/24 15:31",2,1587756508,"400nm",7.4224,"1.6"
"10",2020-04-24 15:29:59,"Ok",2,"20/4/24 15:31",2,1587756508,"500nm",6.209,"1.6"
"11",2020-04-24 15:29:59,"Ok",2,"20/4/24 15:31",2,1587756508,"600nm",5.788,"1.6"
"12",2020-04-24 15:29:59,"Ok",2,"20/4/24 15:31",2,1587756508,"700nm",5.4621,"1.6"
"13",2020-04-24 17:39:59,"Ok",2,"20/4/24 17:41",2,1587764308,"200nm",25.3963,"1.6"
"14",2020-04-24 17:39:59,"Ok",2,"20/4/24 17:41",2,1587764308,"300nm",13.9578,"1.6"
"15",2020-04-24 17:39:59,"Ok",2,"20/4/24 17:41",2,1587764308,"400nm",11.6084,"1.6"
"16",2020-04-24 17:39:59,"Ok",2,"20/4/24 17:41",2,1587764308,"500nm",10.4041,"1.6"
"17",2020-04-24 17:39:59,"Ok",2,"20/4/24 17:41",2,1587764308,"600nm",9.9483,"1.6"
"18",2020-04-24 17:39:59,"Ok",2,"20/4/24 17:41",2,1587764308,"700nm",9.6478,"1.6"
"19",2020-04-24 19:49:59,"Ok",2,"20/4/24 19:51",2,1587772108,"200nm",20.8966,"1.6"
"20",2020-04-24 19:49:59,"Ok",2,"20/4/24 19:51",2,1587772108,"300nm",9.122,"1.6"
"21",2020-04-24 19:49:59,"Ok",2,"20/4/24 19:51",2,1587772108,"400nm",6.7935,"1.6"
"22",2020-04-24 19:49:59,"Ok",2,"20/4/24 19:51",2,1587772108,"500nm",5.6733,"1.6"
"23",2020-04-24 19:49:59,"Ok",2,"20/4/24 19:51",2,1587772108,"600nm",5.3382,"1.6"
"24",2020-04-24 19:49:59,"Ok",2,"20/4/24 19:51",2,1587772108,"700nm",5.079,"1.6"
"25",2020-04-24 21:59:59,"Ok",2,"20/4/24 22:1",2,1587779908,"200nm",19.8877,"1.6"
"26",2020-04-24 21:59:59,"Ok",2,"20/4/24 22:1",2,1587779908,"300nm",8.2268,"1.6"
"27",2020-04-24 21:59:59,"Ok",2,"20/4/24 22:1",2,1587779908,"400nm",5.928,"1.6"
"28",2020-04-24 21:59:59,"Ok",2,"20/4/24 22:1",2,1587779908,"500nm",4.8332,"1.6"
"29",2020-04-24 21:59:59,"Ok",2,"20/4/24 22:1",2,1587779908,"600nm",4.5291,"1.6"
"30",2020-04-24 21:59:59,"Ok",2,"20/4/24 22:1",2,1587779908,"700nm",4.2674,"1.6"
"31",2020-04-25 10:50:00,"Ok",2,"20/4/25 10:51",2,1587826108,"200nm",20.8317,"1.6"
"32",2020-04-25 10:50:00,"Ok",2,"20/4/25 10:51",2,1587826108,"300nm",8.3371,"1.6"
"33",2020-04-25 10:50:00,"Ok",2,"20/4/25 10:51",2,1587826108,"400nm",6.019,"1.6"
"34",2020-04-25 10:50:00,"Ok",2,"20/4/25 10:51",2,1587826108,"500nm",4.8889,"1.6"
"35",2020-04-25 10:50:00,"Ok",2,"20/4/25 10:51",2,1587826108,"600nm",4.5641,"1.6"
"36",2020-04-25 10:50:00,"Ok",2,"20/4/25 10:51",2,1587826108,"700nm",4.2976,"1.6"
"37",2020-04-25 13:00:00,"Ok",2,"20/4/25 13:1",2,1587833908,"200nm",20.7608,"1.6"
"38",2020-04-25 13:00:00,"Ok",2,"20/4/25 13:1",2,1587833908,"300nm",8.4267,"1.6"
"39",2020-04-25 13:00:00,"Ok",2,"20/4/25 13:1",2,1587833908,"400nm",6.058,"1.6"
"40",2020-04-25 13:00:00,"Ok",2,"20/4/25 13:1",2,1587833908,"500nm",4.9341,"1.6"
"41",2020-04-25 13:00:00,"Ok",2,"20/4/25 13:1",2,1587833908,"600nm",4.5956,"1.6"
"42",2020-04-25 13:00:00,"Ok",2,"20/4/25 13:1",2,1587833908,"700nm",4.3357,"1.6"
"43",2020-04-25 15:10:00,"Ok",2,"20/4/25 15:11",2,1587841708,"200nm",22.8101,"1.6"
"44",2020-04-25 15:10:00,"Ok",2,"20/4/25 15:11",2,1587841708,"300nm",8.5588,"1.6"
"45",2020-04-25 15:10:00,"Ok",2,"20/4/25 15:11",2,1587841708,"400nm",6.1584,"1.6"
"46",2020-04-25 15:10:00,"Ok",2,"20/4/25 15:11",2,1587841708,"500nm",4.9875,"1.6"
"47",2020-04-25 15:10:00,"Ok",2,"20/4/25 15:11",2,1587841708,"600nm",4.6411,"1.6"
"48",2020-04-25 15:10:00,"Ok",2,"20/4/25 15:11",2,1587841708,"700nm",4.3706,"1.6"
"49",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"200nm",25.2735,"1.6"
"50",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"300nm",8.9625,"1.6"
"51",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"400nm",6.3576,"1.6"
"52",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"500nm",5.1038,"1.6"
"53",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"600nm",4.7326,"1.6"
"54",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"700nm",4.445,"1.6"
"55",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"200nm",25.8605,"1.6"
"56",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"300nm",8.8393,"1.6"
"57",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"400nm",6.2995,"1.6"
"58",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"500nm",5.0582,"1.6"
"59",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"600nm",4.6986,"1.6"
"60",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"700nm",4.3939,"1.6"
"61",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"200nm",25.8866,"1.6"
"62",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"300nm",9.0191,"1.6"
"63",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"400nm",6.4004,"1.6"
"64",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"500nm",5.1337,"1.6"
"65",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"600nm",4.7617,"1.6"
"66",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"700nm",4.4496,"1.6"
"67",2020-04-25 23:50:00,"Ok",2,"20/4/25 23:51",2,1587872909,"200nm",26.613,"1.6"
"68",2020-04-25 23:50:00,"Ok",2,"20/4/25 23:51",2,1587872909,"300nm",9.1229,"1.6"
"69",2020-04-25 23:50:00,"Ok",2,"20/4/25 23:51",2,1587872909,"400nm",6.4587,"1.6"
