DateTime,Status,Valve,Measurement time,correctvalve_a,logtime_a,wavelength,absorbance,Depth
2020-04-24T18:19:59Z,Ok,10,20/4/24 14:20,10,1587752308,200nm,17.8591,air
2020-04-24T18:59:59Z,Ok,12,20/4/24 15:1,12,1587754707,200nm,24.1475,water_r
2020-04-24T19:09:59Z,Ok,10,20/4/24 15:10,10,1587755308,200nm,19.4294,air
2020-04-24T19:49:59Z,Ok,12,20/4/24 15:51,12,1587757708,200nm,20.3962,water_r
2020-04-24T20:29:59Z,Ok,12,20/4/24 16:31,12,1587760108,200nm,20.0914,water_r
2020-04-24T20:49:59Z,Ok,12,20/4/24 16:51,12,1587761308,200nm,19.8092,water_r
2020-04-24T20:49:59Z,Ok,9,20/4/24 17:0,12,1587761308,200nm,19.8092,water_r
2020-04-24T21:09:59Z,Ok,12,20/4/24 17:11,12,1587762508,200nm,37.7171,water_r
2020-04-24T21:19:59Z,Ok,10,20/4/24 17:20,10,1587763108,200nm,17.2412,air
2020-04-24T21:59:59Z,Ok,12,20/4/24 18:1,12,1587765508,200nm,20.0128,water_r
2020-04-24T22:39:59Z,Ok,12,20/4/24 18:41,12,1587767908,200nm,19.6631,water_r
2020-04-24T22:59:59Z,Ok,12,20/4/24 19:1,12,1587769108,200nm,19.4,water_r
2020-04-24T22:59:59Z,Ok,9,20/4/24 19:10,12,1587769108,200nm,19.4,water_r
2020-04-24T23:19:59Z,Ok,12,20/4/24 19:21,12,1587770308,200nm,30.5834,water_r
2020-04-24T23:29:59Z,Ok,10,20/4/24 19:30,10,1587770908,200nm,17.4581,air
2020-04-25T00:09:59Z,Ok,12,20/4/24 20:11,12,1587773308,200nm,20.0867,water_r
2020-04-25T00:49:59Z,Ok,12,20/4/24 20:51,12,1587775708,200nm,19.4167,water_r
2020-04-25T01:09:59Z,Ok,12,20/4/24 21:11,12,1587776908,200nm,19.4515,water_r
2020-04-25T01:09:59Z,Ok,9,20/4/24 21:20,12,1587776908,200nm,19.4515,water_r
2020-04-25T01:29:59Z,Ok,12,20/4/24 21:31,12,1587778108,200nm,30.7801,water_r
2020-04-25T01:39:59Z,Ok,10,20/4/24 21:40,10,1587778708,200nm,16.6412,air
2020-04-25T02:19:59Z,Ok,12,20/4/24 22:21,12,1587781108,200nm,20.2213,water_r
2020-04-25T02:59:59Z,Ok,12,20/4/24 23:1,12,1587783508,200nm,19.7611,water_r
2020-04-25T03:19:59Z,Ok,12,20/4/24 23:21,12,1587784708,200nm,19.6931,water_r
2020-04-25T03:19:59Z,Ok,9,20/4/24 23:30,12,1587784708,200nm,19.6931,water_r
2020-04-25T03:39:59Z,Ok,12,20/4/24 23:41,12,1587785908,200nm,30.0074,water_r
