"TOA5","CR3000","CR3000","10344","CR3000.Std.27.04","CPU:CR3000_6Sensors_25JUN15.CR3","50505","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","PAR_Den_Avg","PAR_Tot_Tot","BP_kPa_Avg","AirTC_Avg","RH","Rain_mm_Tot","WS_ms_Avg","WindDir","SR01Up_Avg","SR01Dn_Avg","IR01Up_Avg","IR01Dn_Avg","Albedo_Avg"
"TS","RN","Volts","Deg C","umol/s/m^2","mmol/m^2","kPa","Deg C","%","mm","meters/second","degrees","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2"
"","","Smp","Smp","Avg","Tot","Avg","Avg","Smp","Tot","Avg","Smp","Avg","Avg","Avg","Avg","Avg"
"2015-07-07 16:45:00",0,13.28,31.15,1365,368.4666,101.1,28.51,58.59,0,1.899,0.006,677.9,53.19,-79.29,-17.6,0.078
"2015-07-07 16:50:00",1,13.25,31.23,1155,346.5128,101.9,28.29,63.05,0,1.633,0.006,553.5,43.5,-85.5,-17.3,0.077
"2015-07-07 16:55:00",2,13.24,31.34,1200,359.903,101.9,28.4,62.25,0,1.115,0.006,588.2,48.48,-85.5,-15.54,0.082
"2015-07-07 17:00:00",3,13.2,31.38,1194,358.1654,101.9,28.29,62.28,0,1.767,0.012,586.6,49.49,-88.2,-16.04,0.084
"2015-07-07 17:05:00",4,13,31.49,1158,347.5369,101.9,28.29,59.51,0,1.382,0.006,568.3,48.79,-89.2,-16.7,0.086
"2015-07-07 17:10:00",5,13.25,31.57,1131,339.3301,101.9,28.38,59.67,0,1.071,0.006,554.4,48.07,-88.7,-16.96,0.087
"2015-07-07 17:15:00",6,13.24,31.48,1105,331.3631,101.9,28.28,66.55,0,1.192,0.006,543.5,47.97,-87,-16.58,0.088
"2015-07-07 17:20:00",7,13.21,31.37,1082,324.7274,101.9,27.9,62.81,0,1.478,0.006,528.2,47.71,-84.7,-14.86,0.09
"2015-07-07 17:25:00",8,13.21,31.24,1002,300.5375,101.9,27.98,62.94,0,1.622,0.006,486.9,45.64,-84.6,-14.12,0.094
"2015-07-07 17:30:00",9,13.2,31.1,968,290.4464,101.9,27.8,62.94,0,1.567,0.006,476.8,46.08,-83.9,-12.89,0.097
"2015-07-07 17:35:00",10,13.2,30.96,928,278.5497,101.9,27.81,61.36,0,1.275,0.006,460,44.97,-83.7,-13.61,0.098
"2015-07-07 17:40:00",11,13.2,30.81,905,271.6118,101.9,27.91,61.83,0,0.897,0.006,450.6,45.47,-82.6,-13.87,0.101
"2015-07-07 17:45:00",12,13.2,30.69,883,264.9942,101.9,27.94,61.59,0,1.009,0.006,436.8,44.22,-82.6,-13.53,0.101
"2015-07-07 17:50:00",13,13.24,30.59,772,231.5922,101.9,27.58,65.08,0,1.079,0.006,377.9,36.22,-80.6,-12.84,0.093
"2015-07-07 17:55:00",14,13.23,30.48,673.5,202.0573,101.9,27.45,64.63,0,0.758,0.006,332.1,32.22,-73.09,-10.79,0.093
"2015-07-07 18:00:00",15,13.23,30.37,678.8,203.6516,101.9,27.45,66.33,0,0.737,0.006,336.3,32.4,-68.28,-10.25,0.094
"2015-07-07 18:05:00",16,13.21,30.25,678.2,203.4515,101.9,27.33,65.54,0,1.203,0.006,335.9,35.24,-73.58,-9.65,0.105
"2015-07-07 18:10:00",17,13.21,30.13,596.7,179.0108,101.9,27.17,67.6,0,0.706,0.006,293.8,31.86,-76.46,-9.6,0.108
"2015-07-07 18:15:00",18,13.23,30,586.8,176.0455,101.9,27.09,68.23,0,0.808,0.006,286.2,31.97,-77.68,-9.79,0.111
"2015-07-07 18:20:00",19,13.23,29.87,532.6,159.7684,101.9,27,66.67,0,0.923,0.006,260.7,30.18,-77.11,-8.85,0.116
"2015-07-07 18:25:00",20,13.23,29.71,525.3,157.5818,101.9,26.89,66.06,0,0.708,0.006,261.7,32,-75.39,-7.92,0.122
"2015-07-07 18:30:00",21,13.23,29.56,515.1,154.5209,101.9,26.89,67.74,0,0.636,0.006,256.3,32.58,-75.2,-8.39,0.127
"2015-07-07 18:35:00",22,13.22,29.43,484,145.2052,101.9,26.82,69.6,0,0.633,0.006,238.4,29.82,-76.08,-7.979,0.125
"2015-07-07 18:40:00",23,13.16,29.29,410.3,123.0992,101.9,26.51,73.4,0,0.496,0.006,190.8,20.04,-74.37,-6.862,0.104
"2015-07-07 18:45:00",24,13.14,29.14,380.3,114.0836,101.9,26.36,72.15,0,0.248,0.006,177.4,13.93,-67.81,-5.376,0.078
"2015-07-07 18:50:00",25,13.06,29,280.2,84.07127,101.9,26.06,79.43,0,0.418,0.006,118.6,6.854,-61.27,-4.547,0.057
"2015-07-07 18:55:00",26,13.05,28.82,236.6,70.96766,101.9,25.33,80.6,0,0.451,0.006,101.5,4.969,-53.92,-2.179,0.049
