"TOA5","CR3000","CR3000","10344","CR3000.Std.27.04","CPU:CR3000_6Sensors_10JUL15.CR3","15161","FCRmet"
"TIMESTAMP","RECORD","BattV","PTemp_C","PAR_Den_Avg","PAR_Tot_Tot","BP_kPa_Avg","AirTC_Avg","RH","Rain_mm_Tot","WS_ms_Avg","WindDir","SR01Up_Avg","SR01Dn_Avg","IR01Up_Avg","IR01Dn_Avg","Albedo_Avg"
"TS","RN","Volts","Deg C","umol/s/m^2","mmol/m^2","kPa","Deg C","%","mm","meters/second","degrees","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2"
"","","Smp","Smp","Avg","Tot","Avg","Avg","Smp","Tot","Avg","Smp","Avg","Avg","Avg","Avg","Avg"
"2016-05-23 12:03:00",453575,13.53,16.28,412.2,24.72939,101.7,15.59,74.34,0,2.667,345,202.7,8.44,-24.3,2.893,0.042
"2016-05-23 12:04:00",453576,13.54,16.27,347.5,20.84771,101.7,15.45,74.7,0,2.986,21.94,170.9,6.701,-24.16,3.29,0.039
"2016-05-23 12:05:00",453577,13.54,16.25,277.6,16.65618,101.7,15.41,74.44,0,1.624,1.149,136.3,5.227,-23.62,3.149,0.038
"2016-05-23 12:06:00",453578,13.53,16.23,223.9,13.43495,101.7,15.43,75.06,0,1.137,40.11,110.2,4.523,-23.04,3.115,0.041
"2016-05-23 12:07:00",453579,13.54,16.21,186.2,11.17243,101.7,15.46,74.89,0,1.093,10.1,92,3.866,-22.74,2.925,0.042
"2016-05-23 12:08:00",453580,13.54,16.2,166.6,9.994667,101.7,15.48,76.78,0,1.349,13.95,81.7,3.473,-21.69,3.21,0.043
"2016-05-23 12:09:00",453581,13.52,16.19,174.5,10.47212,101.7,15.46,75.48,0,1.927,327.8,84.3,3.347,-21.19,3.485,0.04
"2016-05-23 12:10:00",453582,13.53,16.17,207.7,12.46252,101.7,15.42,76.91,0,2.053,330.9,99.4,3.982,-20.93,3.951,0.04
"2016-05-23 12:11:00",453583,13.54,16.15,239.9,14.39196,101.7,15.41,76.05,0,1.63,345.8,114.7,4.732,-21.29,4.299,0.041
"2016-05-23 12:12:00",453584,13.53,16.13,276.6,16.59484,101.7,15.43,76.12,0,1.418,332.8,132,6,-21.86,4.234,0.045
"2016-05-23 12:13:00",453585,13.53,16.12,298.9,17.93545,101.7,15.43,74.94,0,1.614,339,143.1,6.969,-22.3,4.146,0.049
"2016-05-23 12:14:00",453586,13.54,16.12,304.6,18.27362,101.7,15.39,75,0,1.762,0.445,146.5,7.362,-22.56,4.193,0.05
"2016-05-23 12:15:00",453587,13.54,16.11,309.1,18.54529,101.7,15.38,74.75,0,2.538,336.7,149.5,7.709,-22.58,4.509,0.052
"2016-05-23 12:16:00",453588,13.53,16.11,300.7,18.03904,101.7,15.37,74.15,0,1.896,326.9,147.1,7.56,-22.74,5.079,0.051
"2016-05-23 12:17:00",453589,13.54,16.12,292.8,17.56713,101.7,15.39,74.43,0,1.285,322.1,144.5,7.58,-22.76,5.18,0.052
"2016-05-23 12:18:00",453590,13.54,16.14,299,17.94291,101.7,15.4,75.19,0,1.689,323.6,148.6,8.06,-22.7,5.112,0.054
"2016-05-23 12:19:00",453591,13.54,16.17,318.1,19.08678,101.7,15.4,75.06,0,2.319,349.2,159.1,8.77,-22.89,5.285,0.055
"2016-05-23 12:20:00",453592,13.53,16.19,357.1,21.42896,101.7,15.45,76.25,0,2.043,2.901,178.7,10.01,-23.48,5.419,0.056
"2016-05-23 12:21:00",453593,13.54,16.21,425.1,25.50875,101.7,15.51,75.17,0,1.705,333.8,212,12.38,-24.25,5.128,0.058
"2016-05-23 12:22:00",453594,13.54,16.24,519.7,31.18328,101.7,15.51,76.68,0,2.066,326.3,260.1,14.93,-25.19,5.215,0.057
"2016-05-23 12:23:00",453595,13.55,16.28,636.9,38.21468,101.7,15.53,73.96,0,2.257,329.4,319.3,17.81,-26.45,5.13,0.056
"2016-05-23 12:24:00",453596,13.54,16.35,746.1,44.76778,101.7,15.55,73.92,0,2.264,346.5,374.9,20.57,-27.57,4.998,0.055
"2016-05-23 12:25:00",453597,13.54,16.42,807,48.43345,101.7,15.55,73.26,0,1.643,337.8,406.4,22.5,-28.35,4.769,0.055
"2016-05-23 12:26:00",453598,13.54,16.51,830,49.80592,101.7,15.63,73.19,0,1.78,348.9,418,23.17,-28.98,4.402,0.055
"2016-05-23 12:27:00",453599,13.54,16.6,830,49.80218,101.7,15.63,73.11,0,1.264,303.8,418.1,23.04,-29.81,3.965,0.055
"2016-05-23 12:28:00",453600,13.54,16.71,820,49.18769,101.7,15.69,72.71,0,1.151,304.9,411.6,22.68,-30.46,3.445,0.055
"2016-05-23 12:29:00",453601,13.54,16.83,802,48.12257,101.7,15.72,72.59,0,1.803,286.7,402.6,22.12,-30.98,3.102,0.055
