"TOA5","CR3000","CR3000","10344","CR3000.Std.27.04","CPU:CR3000_6Sensors_25JUL16.CR3","47280","FCRmet"
"TIMESTAMP","RECORD","BattV","PTemp_C","PAR_Den_Avg","PAR_Tot_Tot","BP_kPa_Avg","AirTC_Avg","RH","Rain_mm_Tot","WS_ms_Avg","WindDir","SR01Up_Avg","SR01Dn_Avg","IR01UpCo_Avg","IR01DnCo_Avg","NR01TK_Avg","Albedo_Avg"
"TS","RN","Volts","Deg C","umol/s/m^2","mmol/m^2","kPa","Deg C","%","mm","meters/second","degrees","W/m^2","W/m^2","W/m^2","W/m^2","K","W/m^2"
"","","Smp","Smp","Avg","Tot","Avg","Avg","Smp","Tot","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2017-10-02 13:33:00",625140,13.43,21.1,1488,89.29416,102.9,18.71,53.65,0,1.591,125.7,822,41.44,315.2,418.6,294.2,0.05
"2017-10-02 13:34:00",625141,13.43,21.13,1488,89.2958,102.9,19.07,52.13,0,2.697,271.4,822,41.52,314.8,418.3,294.3,0.05
"2017-10-02 13:35:00",625142,13.43,21.15,1488,89.29588,102.9,19.12,52.66,0,0.759,152.3,822,41.71,314.6,418.2,294.3,0.051
"2017-10-02 13:36:00",625143,13.43,21.2,1488,89.2645,102.9,19.41,51.41,0,2.203,153.1,822,42.81,314.9,418.3,294.3,0.052
"2017-10-02 13:37:00",625144,13.44,21.25,1487,89.19334,102.9,19.49,52.04,0,2.501,133,822,42.54,313.7,418,294.4,0.052
"2017-10-02 13:38:00",625145,13.43,21.31,1487,89.19421,102.9,19.54,52.07,0.508,0.751,247.6,821,46.56,314.3,417.4,294.4,0.057
"2017-10-02 13:39:00",625146,13.43,21.36,1472,88.3046,102.9,19.59,51.53,0,1.944,159.7,812,54.49,314.7,418.1,294.5,0.067
"2017-10-02 13:40:00",625147,13.43,21.42,1483,88.98329,102.9,19.27,51.88,0,2.674,318.1,820,50.65,313.3,418.5,294.5,0.062
"2017-10-02 13:41:00",625148,13.43,21.47,1482,88.90141,102.9,18.94,52.14,0,1.798,155.7,818,40.37,314.2,418.3,294.6,0.049
"2017-10-02 13:42:00",625149,13.43,21.51,1479,88.7697,102.9,18.95,51.95,0.254,3.09,226.9,818,39.37,314.1,419.3,294.6,0.048
"2017-10-02 13:43:00",625150,13.43,21.55,1476,88.5746,102.9,18.89,52.76,0,1.382,345.9,815,39.06,314.5,419.4,294.7,0.048
"2017-10-02 13:44:00",625151,13.43,21.58,1475,88.52886,102.9,18.72,53.94,0,0.724,268.6,813,38.36,315.2,419.2,294.7,0.047
"2017-10-02 13:45:00",625152,13.43,21.61,1475,88.47625,102.9,18.74,53.31,0,1.382,224.6,813,37.85,316.3,420.2,294.7,0.047
"2017-10-02 13:46:00",625153,13.44,21.64,1472,88.33035,102.9,19.09,51.02,0,2.992,191.5,814,42.02,317.6,421,294.8,0.052
"2017-10-02 13:47:00",625154,13.43,21.67,1473,88.35786,102.9,19.2,51.65,0,1.978,130.5,814,51.51,317,421.5,294.8,0.063
"2017-10-02 13:48:00",625155,13.43,21.7,1471,88.27518,102.9,19.31,50.6,0,1.583,259.3,813,52.02,316.8,420.7,294.8,0.064
"2017-10-02 13:49:00",625156,13.44,21.73,1469,88.1106,102.9,19.35,49.61,0,1.927,191.7,812,41.88,317.4,421,294.9,0.052
"2017-10-02 13:50:00",625157,13.43,21.76,1468,88.06392,102.9,19.33,49.94,0.254,1.619,193.4,811,40.11,316.9,421.4,294.9,0.049
"2017-10-02 13:51:00",625158,13.43,21.79,1467,87.99951,102.9,19.38,49.18,0,2.633,210.5,798,42.59,318.3,421.9,294.9,0.054
"2017-10-02 13:52:00",625159,13.43,21.81,1467,88.01713,102.9,19.14,50.09,0,1.284,342.3,805,38.44,323.9,423.2,295,0.048
"2017-10-02 13:53:00",625160,13.44,21.84,1467,88.00017,102.9,18.85,51.27,0,1.859,311.3,812,37.38,317.2,421.4,295,0.046
"2017-10-02 13:54:00",625161,13.43,21.86,1466,87.94105,102.9,18.63,51.46,0,1.395,26.57,811,35.47,317.9,421.9,295,0.044
"2017-10-02 13:55:00",625162,13.44,21.89,1463,87.7706,102.9,18.69,51.39,0,0.934,224,809,36.34,317.8,421.7,295,0.045
"2017-10-02 13:56:00",625163,13.43,21.91,1462,87.71691,102.9,18.95,50.58,0,3.438,171.2,810,37.47,317.5,422.3,295.1,0.046
"2017-10-02 13:57:00",625164,13.44,21.93,1463,87.75686,102.9,19.03,49.81,0,3.074,114.8,812,38.16,317.4,422.5,295.1,0.047
"2017-10-02 13:58:00",625165,13.44,21.95,1460,87.58508,102.9,19.16,48.2,0,2.778,163.3,810,39.18,317.6,422.5,295.1,0.048
"2017-10-02 13:59:00",625166,13.44,21.97,1458,87.47791,102.9,19.24,48.88,0,4.261,167.2,809,39.45,317.1,423,295.1,0.049
"2017-10-02 14:00:00",625167,13.43,21.99,1457,87.41151,102.9,19.2,49.22,0,4.356,176.5,809,38.63,317.7,423.3,295.1,0.048
