"TOA5","CR3000","CR3000","10344","CR3000.Std.32.02","CPU:CR3000_6Sensors_5APR18.CR3","15468","FCRmet"
"TIMESTAMP","RECORD","BattV","PTemp_C","PAR_Den_Avg","PAR_Tot_Tot","BP_kPa_Avg","AirTC_Avg","RH","Rain_mm_Tot","WS_ms_Avg","WindDir","SR01Up_Avg","SR01Dn_Avg","IR01UpCo_Avg","IR01DnCo_Avg","NR01TK_Avg","Albedo_Avg"
"TS","RN","Volts","Deg C","umol/s/m^2","mmol/m^2","kPa","Deg C","%","mm","meters/second","degrees","W/m^2","W/m^2","W/m^2","W/m^2","K","W/m^2"
"","","Smp","Smp","Avg","Tot","Avg","Avg","Smp","Tot","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-04-08 12:36:00",4228,13.67,8.56,1760,105.6057,101.5,6.936,45.45,0,3.784,343.7,972,37.3,299.8,374.5,281.7,0.038
"2018-04-08 12:37:00",4229,13.67,8.57,1765,105.9081,101.5,6.793,46.24,0,4.408,0.082,974,37.28,299.5,374.5,281.7,0.038
"2018-04-08 12:38:00",4230,13.63,8.59,1767,105.9993,101.5,6.687,43.47,0,4.675,332.8,976,37.83,299.4,374.8,281.7,0.039
"2018-04-08 12:39:00",4231,13.63,8.6,1740,104.4129,101.5,6.472,43.66,0,2.024,88.3,964,36.68,299.2,374.7,281.7,0.038
"2018-04-08 12:40:00",4232,13.63,8.61,1561,93.67686,101.5,6.631,45.16,0,1.138,342.2,827,32.2,298.9,374.1,281.8,0.039
"2018-04-08 12:41:00",4233,13.64,8.62,1807,108.443,101.5,6.703,44.48,0,2.259,331.6,997,39.69,300.1,374.6,281.8,0.04
"2018-04-08 12:42:00",4234,13.64,8.64,1561,93.65258,101.5,6.776,43.9,0,1.341,48.72,842,32.58,299.5,374,281.8,0.038
"2018-04-08 12:43:00",4235,13.64,8.65,1339,80.34568,101.5,6.972,46.14,0,0.959,19.89,727.6,28.74,299.3,372.8,281.8,0.039
"2018-04-08 12:44:00",4236,13.64,8.67,596.8,35.80983,101.5,8.87,47.17,0,0.807,118.1,282.7,9.09,296.6,371.6,281.8,0.031
"2018-04-08 12:45:00",4237,13.64,8.68,1268,76.09524,101.5,9.08,45.64,0,2.563,344.3,677.7,27.39,297.7,371.6,281.8,0.039
"2018-04-08 12:46:00",4238,13.64,8.7,1777,106.6383,101.5,9.14,47.83,0,1.624,279.5,961,41.03,299.1,373.5,281.8,0.042
"2018-04-08 12:47:00",4239,13.64,8.72,1807,108.4026,101.5,8.08,48.24,0,1.583,18.56,998,42.43,299.3,373.5,281.9,0.042
"2018-04-08 12:48:00",4240,13.64,8.73,1787,107.2424,101.5,7.733,44.7,0,2.212,78.77,982,42.77,298.5,373,281.9,0.044
"2018-04-08 12:49:00",4241,13.64,8.75,1795,107.715,101.5,7.682,43.86,0,2.44,31.83,993,42.02,297.9,373,281.9,0.042
"2018-04-08 12:50:00",4242,13.64,8.77,1787,107.2161,101.5,7.415,43.12,0,3.265,24.93,986,40.46,297.7,372.9,281.9,0.041
"2018-04-08 12:51:00",4243,13.64,8.79,1792,107.5159,101.5,7.303,44.99,0,3.19,0.018,990,40.54,297.3,372.8,281.9,0.041
"2018-04-08 12:52:00",4244,13.64,8.82,1794,107.6198,101.5,7.437,43.92,0,3.91,28.71,992,40.01,295,373,282,0.04
"2018-04-08 12:53:00",4245,13.64,8.84,1795,107.7044,101.5,7.454,46.11,0,1.338,348.9,991,41.09,283.9,372.5,282,0.041
"2018-04-08 12:54:00",4246,13.64,8.86,1797,107.8402,101.5,7.439,42.89,0,3.993,354.5,993,41.61,278.8,372.3,282,0.042
"2018-04-08 12:55:00",4247,13.64,8.89,1796,107.7721,101.5,7.296,47.26,0,3.281,339.9,993,41.58,277.6,372.7,282,0.042
"2018-04-08 12:56:00",4248,13.64,8.91,1794,107.6562,101.4,7.409,45.21,0,3.533,19.81,994,42.06,276.9,373.1,282.1,0.042
"2018-04-08 12:57:00",4249,13.64,8.94,1790,107.421,101.4,7.742,45.64,0,3.889,347.7,992,42.06,275.8,373,282.1,0.042
"2018-04-08 12:58:00",4250,13.64,8.96,1785,107.1258,101.4,7.612,43.29,0,4.145,333.6,989,41.94,275.7,373.6,282.1,0.042
"2018-04-08 12:59:00",4251,13.64,8.98,1785,107.0905,101.4,7.423,44.6,0,5.138,337.8,988,41.94,275.2,374.2,282.1,0.042
"2018-04-08 13:00:00",4252,13.64,9.01,1786,107.153,101.4,7.163,43.98,0,5.062,0.018,988,41.19,274.7,375.4,282.1,0.042
"2018-04-08 13:01:00",4253,13.64,9.03,1788,107.2744,101.4,7.144,44.14,0,3.433,12.28,989,42.08,274,374.9,282.2,0.043
"2018-04-08 13:02:00",4254,13.64,9.04,1788,107.2916,101.4,7.34,43.23,0,3.623,43.62,991,43.13,272.7,374.8,282.2,0.044
"2018-04-08 13:03:00",4255,13.64,9.06,1787,107.2392,101.4,7.65,44,0,2.569,46.72,991,44.22,271.3,374.6,282.2,0.045
"2018-04-08 13:04:00",4256,13.64,9.08,1786,107.1516,101.4,8.57,42.44,0,2.832,34.25,990,45,270.5,374.1,282.2,0.045
