"TOA5","CR300Series_FCRWeir","CR300","5318","CR310.Std.08.01","CPU:CR310_20230717.CR300","59425","FCRWeir"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTemp_C","Lvl_psi","wtr_weir"
"TS","RN","Volts","Deg C","Deg C","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2023-08-07 09:30:00",0,12.14,27.07,26.33,"NAN","NAN"
"2023-08-07 09:45:00",1,12.21,27.46,28.49,0.103,23.33
"2023-08-07 10:00:00",2,12.19,27.81,29.09,0.104,23.42
"2023-08-07 10:15:00",3,12.34,26.25,26.51,0.104,23.44
"2023-08-07 10:30:00",4,12.34,25.89,25.63,0.105,23.58
"2023-08-07 10:45:00",5,12.26,25.88,25.45,0.105,23.95
"2023-08-07 11:00:00",6,12.42,25.89,25.39,0.106,24.43
"2023-08-07 11:15:00",7,12.33,25.92,25.36,0.106,24.77
"2023-08-07 11:30:00",8,12.26,26.02,25.49,0.107,25.13
"2023-08-07 11:45:00",9,12.36,26.26,25.74,0.108,25.54
"2023-08-07 12:00:00",10,12.41,27.26,26.7,0.108,26.08
"2023-08-07 12:15:00",11,12.43,26.99,26.36,0.109,26.23
"2023-08-07 12:30:00",12,12.31,27.1,26.5,0.109,26.54
"2023-08-07 12:45:00",13,12.28,27.24,26.67,0.11,26.6
"2023-08-07 13:00:00",14,12.25,27.29,26.69,0.11,26.43
"2023-08-07 13:15:00",15,12.31,27.29,26.68,0.109,26.04
"2023-08-07 13:30:00",16,12.23,28.83,29,0.109,25.95
"2023-08-07 13:45:00",17,12.2,29.53,30.71,0.11,26.46
"2023-08-07 14:00:00",18,12.21,30.32,31.58,0.11,26.67
"2023-08-07 14:15:00",19,12.3,28.78,29,0.111,26.43
"2023-08-07 14:30:00",20,12.26,28.27,27.95,0.109,26.06
"2023-08-07 14:45:00",21,12.26,27.8,27.33,0.109,25.65
"2023-08-07 15:00:00",22,12.28,27.55,27.07,0.109,25.84
"2023-08-07 15:15:00",23,12.32,27.48,26.95,0.108,26.01
"2023-08-07 15:30:00",24,12.31,27.4,26.87,0.108,26.13
"2023-08-07 15:45:00",25,12.24,27.36,26.81,0.109,26.15
"2023-08-07 16:00:00",26,12.28,27.46,26.94,0.109,26.55
"2023-08-07 16:15:00",27,12.26,27.48,26.91,0.11,26.47
"2023-08-07 16:30:00",28,12.21,27.47,26.93,0.109,26.26
"2023-08-07 16:45:00",29,12.21,27.38,26.83,0.109,25.93
"2023-08-07 17:00:00",30,12.27,27.28,26.72,0.109,25.78
"2023-08-07 17:15:00",31,12.21,27.17,26.61,0.108,25.51
"2023-08-07 17:30:00",32,12.24,26.94,26.35,0.108,25.16
"2023-08-07 17:45:00",33,12.29,26.66,26.07,0.107,24.77
"2023-08-07 18:00:00",34,12.28,26.38,25.82,0.106,24.45
"2023-08-07 18:15:00",35,12.31,26.1,25.55,0.106,24.01
"2023-08-07 18:30:00",36,12.17,27.42,27.71,0.104,23.72
"2023-08-07 18:45:00",37,12.15,27.93,29.11,0.104,23.61
"2023-08-07 19:00:00",38,12.15,28.24,29.68,0.104,23.39
"2023-08-07 19:15:00",39,12.19,26.52,26.87,0.103,23.23
"2023-08-07 19:30:00",40,12.2,25.96,25.73,0.104,23.12
"2023-08-07 19:45:00",41,12.22,25.53,25.13,0.102,23.02
"2023-08-07 20:00:00",42,12.19,25.16,24.71,0.103,22.83
"2023-08-07 20:15:00",43,12.2,24.86,24.39,0.102,22.63
"2023-08-07 20:30:00",44,12.18,24.65,24.19,0.103,22.52
"2023-08-07 20:45:00",45,12.22,24.64,24.18,0.103,22.5
