"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20230626.CR6","9702","fcre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_9"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-08-07 12:30:00",0,13.44,33.3,26.26599,25.01354,23.13879,18.08904,13.24838,11.4833,11.38232,11.38256,11.36563,11.3467,5.088554,46.6747,11.49416,5.929342,54.21518,11.35658,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-08-07 12:40:00",1,13.54,33.68,25.65893,24.24859,24.00335,21.97012,20.67059,20.54128,20.11013,20.1636,19.81088,20.93536,11.25965,109.2418,13.99414,9.33217,100.9083,19.14889,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-08-07 12:50:00",2,13.52,33.59,26.57882,24.9989,23.32952,17.90685,13.53631,11.92486,12.03967,12.03619,11.99456,11.93527,4.6293,46.40959,15.50528,5.872129,54.64258,12.12458,230807,135054,24.787,0.03,0.03,0.02,101.63,8.43,0.03,0.11,0.03,0.04,-0.97,-2.93,3.28,0.36,0.256,6.14,12.39,0,"NAN","NAN"
"2023-08-07 13:00:00",3,13.41,33.56,26.2528,24.97753,23.28518,17.32482,13.15026,11.64947,11.62408,11.64117,11.58526,11.57318,5.169929,49.39543,13.30003,5.9236,54.46817,11.60155,230807,140054,23.204,41.85,43.34,28.17,26.14,2.23,6,24.24,0.79,0.8,6.37,19.56,3.04,3.31,2.336,6.14,12.12,0,"NAN","NAN"
"2023-08-07 13:10:00",4,13.86,33.21,26.13009,25.03601,23.39306,17.42278,13.12179,11.53674,11.4558,11.47842,11.43145,11.42028,5.117622,47.84416,12.33044,5.919585,54.2601,11.46425,230807,141054,23.405,41.63,42.93,27.91,35.65,3.04,7.47,30.2,0.95,0.97,6.35,19.5,3.22,3.36,2.375,6.14,12.49,0,"NAN","NAN"
"2023-08-07 13:20:00",5,13.3,33.04,26.10937,25.06423,23.47695,17.27349,13.10668,11.51205,11.39428,11.41003,11.38519,11.37539,5.217806,48.29788,11.8921,5.954823,54.51449,11.4095,230807,142054,23.491,41.51,42.75,27.79,41.92,3.56,7.52,30.4,0.98,1,6.33,19.42,3.21,3.38,2.389,6.14,13.15,0,"NAN","NAN"
"2023-08-07 13:30:00",6,13.13,33.07,26.16375,25.07067,23.57919,17.25805,13.01718,11.41476,11.38778,11.39364,11.3738,11.358,5.654398,52.06447,11.66176,5.965334,54.57679,11.38251,230807,143054,23.538,41.5,42.69,27.75,48.25,4.1,7.17,28.97,0.92,0.93,6.32,19.4,3.27,3.38,2.391,6.14,12.12,0,"NAN","NAN"
"2023-08-07 13:40:00",7,13.56,33.37,26.17776,25.11007,23.70074,17.25002,13.03323,11.39889,11.3861,11.39007,11.36944,11.35003,5.641076,51.78878,11.53299,5.972139,54.61466,11.36306,230807,144054,23.669,41.38,42.46,27.6,54.52,4.62,7.81,31.56,0.95,0.96,6.3,19.36,3.46,3.39,2.391,6.13,12.43,0,"NAN","NAN"
