"TOA5","CR300Series_FCRWeir","CR300","5318","CR310.Std.08.01","CPU:CR310_20211122.CR300","61691","FCRWeir"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTemp_C","Lvl_psi","wtr_weir"
"TS","RN","Volts","Deg C","Deg C","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2023-02-03 10:45:00",7559,12.24,4.556,3.932,0.138,2.569
"2023-02-03 11:00:00",7560,12.17,4.45,3.938,0.137,2.608
"2023-02-03 11:15:00",7561,12.36,5.511,4.746,0.137,2.695
"2023-02-03 11:30:00",7562,12.34,5.912,4.814,0.137,2.862
"2023-02-03 11:45:00",7563,12.22,5.825,5.986,0.136,2.929
"2023-02-03 12:00:00",7564,12.15,6.172,5.767,0.137,3.064
"2023-02-03 12:15:00",7565,12.24,6.659,6.177,0.137,3.148
"2023-02-03 12:30:00",7566,12.13,7.156,6.413,0.136,3.24
"2023-02-03 12:45:00",7567,12.35,7.525,6.51,0.137,3.333
"2023-02-03 13:00:00",7568,12.4,7.955,7.051,0.137,3.481
"2023-02-03 13:15:00",7569,12.65,9.6,8.69,0.136,3.647
"2023-02-03 13:30:00",7570,12.82,10.45,9.61,0.136,3.769
"2023-02-03 13:45:00",7571,12.66,8.97,7.804,0.136,3.792
"2023-02-03 14:00:00",7572,12.21,8.04,6.977,0.136,3.812
"2023-02-03 14:15:00",7573,12.41,8.66,7.933,0.136,3.864
"2023-02-03 14:30:00",7574,12.34,8.59,7.668,0.137,3.826
"2023-02-03 14:45:00",7575,12.94,6.283,5.78,0.136,3.819
"2023-02-03 15:00:00",7576,12.78,5.797,4.4,0.136,3.83
"2023-02-03 15:15:00",7577,12.68,4.326,3.045,0.137,3.746
"2023-02-03 15:30:00",7578,12.67,3.463,2.32,0.136,3.635
"2023-02-03 15:45:00",7579,12.65,2.794,1.764,0.136,3.513
"2023-02-03 16:00:00",7580,12.63,2.558,1.682,0.135,3.38
"2023-02-03 16:15:00",7581,12.54,2.136,1.339,0.136,3.213
"2023-02-03 16:30:00",7582,12.6,1.978,1.121,0.135,3.094
"2023-02-03 16:45:00",7583,12.53,1.682,0.879,0.135,2.991
"2023-02-03 17:00:00",7584,12.6,1.306,0.265,0.136,2.826
"2023-02-03 17:15:00",7585,12.45,0.864,-0.189,0.135,2.713
"2023-02-03 17:30:00",7586,12.51,0.374,-0.709,0.136,2.58
"2023-02-03 17:45:00",7587,12.5,-0.019,-1.045,0.135,2.423
"2023-02-03 18:00:00",7588,12.42,-0.457,-1.459,0.135,2.294
"2023-02-03 18:15:00",7589,12.4,-0.782,-1.693,0.135,2.13
"2023-02-03 18:30:00",7590,12.24,0.869,0.126,0.135,1.97
"2023-02-03 18:45:00",7591,12.28,1.589,0.434,0.135,1.849
"2023-02-03 19:00:00",7592,12.45,0.025,-1.48,0.135,1.747
"2023-02-03 19:15:00",7593,12.35,-0.31,-1.716,0.134,1.632
"2023-02-03 19:30:00",7594,12.45,-0.932,-2.121,0.134,1.475
"2023-02-03 19:45:00",7595,12.45,-1.405,-2.508,0.134,1.402
"2023-02-03 20:00:00",7596,12.49,-1.774,-2.809,0.134,1.333
"2023-02-03 20:15:00",7597,12.49,-2.06,-3.032,0.134,1.262
"2023-02-03 20:30:00",7598,12.39,-2.277,-3.216,0.134,1.193
"2023-02-03 20:45:00",7599,12.47,-2.461,-3.37,0.134,1.119
"2023-02-03 21:00:00",7600,12.48,-2.482,-3.391,0.134,1.057
"2023-02-03 21:15:00",7601,12.5,-2.756,-3.671,0.134,0.98
"2023-02-03 21:30:00",7602,12.46,-2.892,-3.776,0.134,0.904
