"DateTime","EXOChla_RFU_1","EXOCond_uScm_1","EXODepth_m_1","EXOfDOM_QSU_1","EXOfDOM_RFU_1","EXODOsat_percent_1","EXODO_mgL_1","EXOPressure_psi_1","EXOSpCond_uScm_1","EXOBGAPC_RFU_1","EXOTDS_mgL_1","EXOWiper_V_1","EXOTemp_C_1","EXOBattery_V_1","EXOCablepower_V_1"
2023-07-14 10:10:00,0.26,83.8,1.011,5.34,1.81,104.8,8.29,1.431,80.2,-0.34,52,1.202,27.378,6.08,0
2023-07-14 10:20:00,0.25,84.2,1.079,5.42,1.84,102.8,8.12,1.527,80.3,-0.23,52,1.202,27.513,6.06,0
2023-07-14 10:30:00,0.31,84.1,1.097,5.41,1.84,102.7,8.11,1.553,80.2,-0.34,52,1.202,27.53,6.07,0
2023-07-14 10:40:00,0.28,83.8,1.104,5.39,1.83,102.2,8.06,1.563,79.9,-0.44,52,1.202,27.534,6.06,0
2023-07-14 10:50:00,0.29,83.7,1.109,5.49,1.86,101.8,8.03,1.57,79.8,-0.37,52,1.202,27.535,6.07,0
2023-07-14 11:00:00,0.29,83.6,1.111,5.45,1.85,103.2,8.14,1.573,79.8,-0.38,52,1.197,27.528,6.08,0
2023-07-14 11:10:00,0.28,83.5,1.109,5.54,1.88,102.8,8.12,1.57,79.7,-0.38,52,1.197,27.512,6.08,0
2023-07-14 11:20:00,0.27,83.6,1.108,5.47,1.86,102.5,8.09,1.568,79.7,-0.37,52,1.197,27.517,6.08,0
2023-07-14 11:30:00,0.22,83.6,1.104,5.44,1.85,102.9,8.11,1.563,79.7,-0.39,52,1.197,27.56,6.08,0
2023-07-14 11:40:00,0.22,83.6,1.102,5.54,1.88,102.9,8.12,1.559,79.7,-0.42,52,1.197,27.551,6.08,0
2023-07-14 11:50:00,0.33,83.6,1.101,5.58,1.89,103,8.13,1.558,79.7,-0.39,52,1.197,27.545,6.08,0
2023-07-14 12:00:00,0.31,83.6,1.099,5.53,1.88,103.7,8.18,1.556,79.7,-0.37,52,1.193,27.522,6.08,0
2023-07-14 12:10:00,0.35,83.6,1.098,5.45,1.85,102.4,8.08,1.555,79.7,-0.39,52,1.193,27.528,6.09,0
2023-07-14 12:20:00,0.27,83.4,1.101,5.54,1.88,104.1,8.23,1.559,79.7,-0.39,52,1.193,27.399,6.15,0
2023-07-14 12:30:00,0.3,83.5,1.1,5.41,1.84,102.9,8.13,1.558,79.8,-0.36,52,1.193,27.463,6.15,0
2023-07-14 12:40:00,0.3,83.7,1.094,5.41,1.84,102.2,8.06,1.549,79.8,-0.4,52,1.193,27.587,6.15,0
2023-07-14 12:50:00,0.29,83.7,1.093,5.45,1.85,103.1,8.13,1.547,79.8,-0.41,52,1.193,27.56,6.15,0
2023-07-14 13:00:00,0.28,83.6,1.093,5.41,1.84,104.6,8.25,1.547,79.8,-0.41,52,1.205,27.54,6.15,0
2023-07-14 13:10:00,0.26,83.9,1.089,5.49,1.86,104,8.2,1.542,79.9,-0.39,52,1.205,27.567,6.15,0
2023-07-14 13:20:00,0.27,83.7,1.089,5.41,1.84,103.1,8.13,1.541,79.8,-0.38,52,1.205,27.578,6.15,0
2023-07-14 13:30:00,0.26,83.8,1.087,5.34,1.81,104.1,8.2,1.539,79.8,-0.41,52,1.205,27.622,6.15,0
2023-07-14 13:40:00,0.22,83.8,1.083,5.3,1.8,104,8.19,1.533,79.8,-0.45,52,1.205,27.634,6.15,0
2023-07-14 13:50:00,0.25,83.8,1.082,5.3,1.8,104.7,8.25,1.531,79.8,-0.4,52,1.205,27.648,6.15,0
2023-07-14 14:00:00,0.23,83.9,1.079,5.31,1.8,105.5,8.31,1.527,79.8,-0.41,52,1.203,27.667,6.15,0
2023-07-14 14:10:00,0.29,83.8,1.077,5.31,1.8,105.6,8.31,1.524,79.8,-0.43,52,1.203,27.666,6.15,0
2023-07-14 14:20:00,0.26,83.8,1.076,5.27,1.79,105.5,8.31,1.522,79.7,-0.43,52,1.203,27.676,6.14,0
2023-07-14 14:30:00,0.29,83.9,1.073,5.27,1.79,105.4,8.3,1.519,79.8,-0.43,52,1.203,27.705,6.15,0
2023-07-14 14:40:00,0.27,83.9,1.072,5.22,1.77,105.9,8.33,1.517,79.8,-0.39,52,1.203,27.73,6.15,0
2023-07-14 14:50:00,0.35,83.9,1.067,5.25,1.78,106,8.34,1.511,79.8,-0.4,52,1.203,27.716,6.14,0
2023-07-14 15:00:00,0.27,84,1.067,5.2,1.77,105.9,8.33,1.51,79.8,-0.43,52,1.198,27.751,6.15,0
2023-07-14 15:10:00,0.29,84.1,1.067,5.09,1.73,106.1,8.33,1.51,79.8,-0.42,52,1.198,27.817,6.15,0
2023-07-14 15:20:00,0.3,84.1,1.067,5.11,1.74,105.9,8.32,1.51,79.8,-0.4,52,1.198,27.824,6.14,0
2023-07-14 15:30:00,0.3,84.2,1.065,5.1,1.73,106,8.32,1.508,79.8,-0.45,52,1.198,27.839,6.15,0
2023-07-14 15:40:00,0.3,84.2,1.071,5.12,1.74,106.7,8.38,1.515,79.8,-0.39,52,1.198,27.842,6.14,0
2023-07-14 15:50:00,0.31,84.1,1.072,5.04,1.71,106.6,8.36,1.517,79.7,-0.45,52,1.198,27.899,6.14,0
2023-07-14 16:00:00,0.29,84,1.069,5.02,1.71,106.6,8.36,1.513,79.6,-0.41,52,1.193,27.914,6.14,0
2023-07-14 16:10:00,0.3,84.1,1.069,5.01,1.7,105.5,8.27,1.513,79.7,-0.44,52,1.193,27.924,6.14,0
2023-07-14 16:20:00,0.31,83.9,1.077,5.23,1.78,106.4,8.36,1.525,79.8,-0.39,52,1.193,27.741,6.13,0
2023-07-14 16:30:00,0.27,84,1.078,5.08,1.73,107,8.41,1.526,79.7,-0.44,52,1.193,27.816,6.13,0
2023-07-14 16:40:00,0.27,84.2,1.076,5.01,1.71,107.1,8.39,1.523,79.7,-0.44,52,1.193,27.946,6.13,0
